股票代码,公司全称,年份,行业分类代码,行业分类名称,涉农业务_保守不重叠口径,工作表采用涉农业务营业收入_元,严格口径营业收入_元,扩展口径营业收入_元,公司营业收入_元,工作表采用涉农收入占比,严格口径收入占比,扩展口径收入占比,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,复核说明,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,记录类型,复核日期
002234,山东民和牧业股份有限公司,2014,3.0,畜牧业,雏鸡、淘汰鸡及鸡肉制品（扩展口径）,1075195638.77,523597123.50,1075195638.77,1186417366.13,0.90625413,0.44132625,0.90625413,否,是,否,否（仅使用同一分产品维度）,直接畜牧养殖收入占44.13%，未达50%；加入同一产品维度的农产品初加工收入后占90.63%，纳入扩展样本。,13,52,https://static.cninfo.com.cn/finalpage/2015-03-20/1200718869.PDF,本次新增跨年快速复核,2026-08-11
002234,山东民和牧业股份有限公司,2015,3.0,畜牧业,雏鸡、淘汰鸡及鸡肉制品（扩展口径）,830477098.91,330711297.41,830477098.91,900799701.79,0.92193314,0.36713078,0.92193314,否,是,否,否（仅使用同一分产品维度）,直接畜牧养殖收入占36.71%，未达50%；加入同一产品维度的农产品初加工收入后占92.19%，纳入扩展样本。,9-10,51,https://static.cninfo.com.cn/finalpage/2016-04-23/1202226091.PDF,本次新增跨年快速复核,2026-08-11
002234,山东民和牧业股份有限公司,2016,3.0,畜牧业,雏鸡及淘汰鸡,801958311.20,801958311.20,1361051099.24,1408702921.15,0.56928846,0.56928846,0.96617326,是,是,否,否（仅使用同一分产品维度）,直接畜牧养殖收入占56.93%，超过合并营业收入50%；未叠加行业、产品或地区等交叉披露维度。,15-16,54,https://static.cninfo.com.cn/finalpage/2017-03-25/1203194868.PDF,本次新增跨年快速复核,2026-08-11
002234,山东民和牧业股份有限公司,2017,3.0,畜牧业,雏鸡、淘汰鸡及鸡肉制品（扩展口径）,1009123926.57,428782903.18,1009123926.57,1067502353.94,0.94531307,0.40166928,0.94531307,否,是,否,否（仅使用同一分产品维度）,直接畜牧养殖收入占40.17%，未达50%；加入同一产品维度的农产品初加工收入后占94.53%，纳入扩展样本。,15-16,55,https://static.cninfo.com.cn/finalpage/2018-04-27/1204800904.PDF,本次新增跨年快速复核,2026-08-11
002234,山东民和牧业股份有限公司,2018,3.0,畜牧业,雏鸡及淘汰鸡,1019590553.10,1019590553.10,1737290799.75,1817711386.36,0.56091994,0.56091994,0.95575723,是,是,否,否（仅使用同一分产品维度）,直接畜牧养殖收入占56.09%，超过合并营业收入50%；未叠加行业、产品或地区等交叉披露维度。,15-16,59,https://static.cninfo.com.cn/finalpage/2019-02-27/1205852140.PDF,本次新增跨年快速复核,2026-08-11
002234,山东民和牧业股份有限公司,2019,3.0,畜牧业,雏鸡及淘汰鸡,2351883895.77,2351883895.77,3202945064.62,3276052000.43,0.71790188,0.71790188,0.97768444,是,是,否,否（仅使用同一分产品维度）,直接畜牧养殖收入占71.79%，超过合并营业收入50%；未叠加行业、产品或地区等交叉披露维度。,15-16,59,https://static.cninfo.com.cn/finalpage/2020-04-21/1207538014.PDF,本次新增跨年快速复核,2026-08-11
002234,山东民和牧业股份有限公司,2020,3.0,畜牧业,雏鸡及淘汰鸡,924777610.80,924777610.80,1589098958.61,1681883981.38,0.54984626,0.54984626,0.94483269,是,是,否,否（仅使用同一分产品维度）,直接畜牧养殖收入占54.98%，超过合并营业收入50%；未叠加行业、产品或地区等交叉披露维度。,17,65,https://static.cninfo.com.cn/finalpage/2021-04-27/1209810808.PDF,本次新增跨年快速复核,2026-08-11
002234,山东民和牧业股份有限公司,2021,3.0,畜牧业,雏鸡及淘汰鸡,997973934.12,997973934.12,1666596638.90,1775432179.30,0.56210197,0.56210197,0.93869913,是,是,否,否（仅使用同一分产品维度）,直接畜牧养殖收入占56.21%，超过合并营业收入50%；未叠加行业、产品或地区等交叉披露维度。,17-18,73,https://static.cninfo.com.cn/finalpage/2022-03-26/1212685630.PDF,本次新增跨年快速复核,2026-08-11
002458,山东益生种畜禽股份有限公司,2016,3.0,畜牧业,鸡、猪、牛奶,1586466270.15,1586466270.15,1586466270.15,1611132544.74,0.98469010,0.98469010,0.98469010,是,是,否,否（仅使用同一分行业维度）,直接畜牧养殖收入占98.47%，超过合并营业收入50%；未叠加行业、产品或地区等交叉披露维度。,13-14,72,https://static.cninfo.com.cn/finalpage/2017-03-21/1203179920.PDF,本次新增跨年快速复核,2026-08-11
002458,山东益生种畜禽股份有限公司,2017,3.0,畜牧业,鸡、猪、牛奶,635130404.29,635130404.29,635130404.29,656404863.44,0.96758942,0.96758942,0.96758942,是,是,否,否（仅使用同一分行业维度）,直接畜牧养殖收入占96.76%，超过合并营业收入50%；未叠加行业、产品或地区等交叉披露维度。,15,65,https://static.cninfo.com.cn/finalpage/2018-04-27/1204801962.PDF,本次新增跨年快速复核,2026-08-11
002458,山东益生种畜禽股份有限公司,2019,3.0,畜牧业,鸡、猪、牛奶,3454297955.82,3454297955.82,3454297955.82,3583534105.26,0.96393612,0.96393612,0.96393612,是,是,否,否（仅使用同一分行业维度）,直接畜牧养殖收入占96.39%，超过合并营业收入50%；未叠加行业、产品或地区等交叉披露维度。,15,73,https://static.cninfo.com.cn/finalpage/2020-02-20/1207314355.PDF,本次新增跨年快速复核,2026-08-11
002458,山东益生种畜禽股份有限公司,2021,3.0,畜牧业,鸡、猪、牛奶,1985303867.17,1985303867.17,1985303867.17,2089921928.63,0.94994164,0.94994164,0.94994164,是,是,否,否（仅使用同一分行业维度）,直接畜牧养殖收入占94.99%，超过合并营业收入50%；未叠加行业、产品或地区等交叉披露维度。,18-19,76,https://static.cninfo.com.cn/finalpage/2022-02-26/1212457495.PDF,本次新增跨年快速复核,2026-08-11
