股票代码,公司全称,年份,行业分类代码,行业分类名称,入口依据,行业入口候选,龙头身份关系已核实候选,涉农业务名称,涉农业务营业收入,公司营业收入,涉农收入占比,是否存在分部收入重叠,严格样本结论,扩展样本结论,边界样本结论,纳入或剔除理由,当年曾ST_已核实,年末ST_已核实,当年退市整理期_已核实,年报链接,年报主营业务表PDF页序号,利润表PDF页序号,复核状态,口径提示
002311,广东海大集团股份有限公司,2023,,,龙头企业身份核实候选,0,1,养殖行业、饲料行业,116117168742.97,116117168742.97,1.0,否（同一披露维度；不符合范围的业务未计入）,否,是,否,养殖收入严格口径13.34%；养殖与饲料分行业收入合计等于营业收入，扩展口径100%，两行业为并列不重叠口径。,,,,https://static.cninfo.com.cn/finalpage/2024-04-23/1219735739.PDF,21,119,已人工复核（龙头独有第一批）,严格口径占比=0.1334176；扩展口径占比=1.0；详见2023龙头企业独有候选_年报复核第一批12家_v1.csv
002321,河南华英农业发展股份有限公司,2023,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,1,1,鸭苗、种蛋、冻鸭、鸭毛、饲料、羽绒,3076209534.81,3704949528.49,0.83029729,否（采用分产品不重叠口径）,否,是,否,鸭苗与种蛋严格口径0.91%；加入鸭产品初加工、农业投入品及羽绒初加工后扩展口径83.03%。熟食、租赁等未计入；2023年曾ST。,是,否,,https://static.cninfo.com.cn/finalpage/2024-04-20/1219690595.PDF,25,110,已人工复核（第三批）,严格口径占比=0.00914762；扩展口径占比=0.83029729；两套分子详见2023年报主营业务人工复核_第三批10家_v1.csv
002329,皇氏集团股份有限公司,2023,,,龙头企业身份核实候选,0,1,低温奶、常温奶原奶初加工,2000910399.03,2892839473.25,0.69167696,按分产品或分行业同一维度；合并披露时保持待核实,否,是,否,低温奶和常温奶合计占69.17%，按原奶初加工计入扩展口径；直接奶牛养殖收入未单列。,,,,https://static.cninfo.com.cn/finalpage/2024-04-26/1219842467.PDF,25,113,已人工复核（龙头独有第二批）,严格口径占比=0.0；扩展口径占比=0.69167696；详见2023龙头企业独有候选_年报复核第二批12家_v1.csv
002385,北京大北农科技集团股份有限公司,2023,,,龙头企业身份核实候选,0,1,生猪养殖、种业、饲料、植保、疫苗、兽药,31629839198.29,33390129865.04,0.94728111,按分产品或分行业同一维度；合并披露时保持待核实,否,是,否,养猪和种业严格口径21.29%；加入农业投入品后扩展口径94.73%。,,,,https://static.cninfo.com.cn/finalpage/2024-04-26/1219831744.PDF,24,216,已人工复核（龙头独有第二批）,严格口径占比=0.21286346；扩展口径占比=0.94728111；详见2023龙头企业独有候选_年报复核第二批12家_v1.csv
002458,山东益生种畜禽股份有限公司,2023,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,1,1,鸡、猪、乳品,3094339371.59,3224676928.89,0.9595812,否（采用同一拆分维度；已排除重复维度）,是,是,否,种畜禽及乳品收入严格口径95.96%；加入畜牧设备后扩展口径99.04%。,,,,https://static.cninfo.com.cn/finalpage/2024-03-07/1219249443.PDF,20,80,已人工复核（第二批）,严格口径占比=0.9595812；扩展口径占比=0.99038036；两套分子详见2023年报主营业务人工复核_第二批8家_v1.csv
002481,烟台双塔食品股份有限公司,2023,,,龙头企业身份核实候选,0,1,食用蛋白、豌豆干淀粉、膳食纤维,1483932885.31,2455941328.95,0.60422164,按分产品或分行业同一维度；合并披露时保持待核实,否,是,否,三项豌豆初加工产品合计占60.42%，扩展口径达标；粉丝和其他收入未计入。,,,,https://static.cninfo.com.cn/finalpage/2024-04-20/1219699565.PDF,16,68,已人工复核（龙头独有第二批）,严格口径占比=0.0；扩展口径占比=0.60422164；详见2023龙头企业独有候选_年报复核第二批12家_v1.csv
002548,深圳市金新农科技股份有限公司,2023,,,龙头企业身份核实候选,0,1,畜牧养殖、饲料加工,3741156573.98,4040387757.83,0.92593998,按分产品或分行业同一维度；合并披露时保持待核实,否,是,否,养殖收入占28.30%，未达严格门槛；加入饲料后扩展口径92.59%，原料贸易未计入。,,,,https://static.cninfo.com.cn/finalpage/2024-04-30/1219919082.PDF,24,101|109,已人工复核（龙头独有第二批）,严格口径占比=0.28297887；扩展口径占比=0.92593998；详见2023龙头企业独有候选_年报复核第二批12家_v1.csv
002567,唐人神集团股份有限公司,2023,,,龙头企业身份核实候选,0,1,养殖、饲料,25209934173.12,26949042863.28,0.93546677,按分产品或分行业同一维度；合并披露时保持待核实,否,是,否,养殖收入占19.12%；加入饲料后扩展口径93.55%。,,,,https://static.cninfo.com.cn/finalpage/2024-04-30/1219910967.PDF,21,166,已人工复核（龙头独有第二批）,严格口径占比=0.19119351；扩展口径占比=0.93546677；详见2023龙头企业独有候选_年报复核第二批12家_v1.csv
002679,福建金森林业股份有限公司,2023,2.0,林业,行业分类候选,1,0,林业,145501169.23,147650078.15,0.98544593,否（采用同一拆分维度；已排除重复维度）,是,是,否,林业分行业收入占98.54%，达到严格样本门槛。,,,,https://static.cninfo.com.cn/finalpage/2024-07-06/1220543069.PDF,13,71,已人工复核（第二批）,严格口径占比=0.98544593；扩展口径占比=0.98544593；两套分子详见2023年报主营业务人工复核_第二批8家_v1.csv
002688,金河生物科技股份有限公司,2023,,,龙头企业身份核实候选,0,1,兽用化学药品、兽用疫苗、药物饲料添加剂,1366180836.72,2174131033.42,0.62838017,否（同一披露维度；不符合范围的食品未计入）,否,是,否,三类农业投入品合计占62.84%，扩展口径达标；淀粉加工未用于扩大分子。,,,,https://static.cninfo.com.cn/finalpage/2024-04-29/1219863960.PDF,27,129,已人工复核（龙头独有第三批）,严格口径占比=0.0；扩展口径占比=0.62838017；详见2023龙头企业独有候选_年报复核第三批12家_v1.csv
002696,百洋产业投资集团股份有限公司,2023,,,龙头企业身份核实候选,0,1,饲料、水产品加工,2495054505.49,2720215725.75,0.9172267,否（同一披露维度；不符合范围的食品未计入）,否,是,否,饲料与水产品初加工合计占91.72%，进入扩展样本。,,,,https://static.cninfo.com.cn/finalpage/2024-04-27/1219860895.PDF,19,80,已人工复核（龙头独有第三批）,严格口径占比=0.0；扩展口径占比=0.9172267；详见2023龙头企业独有候选_年报复核第三批12家_v1.csv
002714,牧原食品集团股份有限公司,2023,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,1,1,养殖业务（生猪）,108224321673.98,110860727714.4,0.97621876,否（采用同一拆分维度；已排除重复维度）,是,是,否,养殖业务收入占97.62%，达到严格样本门槛。屠宰业务与养殖存在内部交易抵销，本次不重复相加。,,,,https://static.cninfo.com.cn/finalpage/2024-04-27/1219861302.PDF,22,139,已人工复核（第二批）,严格口径占比=0.97621876；扩展口径占比=0.97621876；两套分子详见2023年报主营业务人工复核_第二批8家_v1.csv
002746,山东仙坛集团股份有限公司,2023,,,龙头企业身份核实候选,0,1,肉鸡养殖、屠宰食品加工、饲料加工,5770748589.13,5781232561.22,0.99818655,否（同一披露维度；不符合范围的食品未计入）,否,是,否,单列养殖收入仅2.26%；养殖、鸡肉初加工和饲料合计占99.82%，扩展口径达标。,,,,https://static.cninfo.com.cn/finalpage/2024-04-23/1219735516.PDF,23,89,已人工复核（龙头独有第三批）,严格口径占比=0.02258417；扩展口径占比=0.99818655；详见2023龙头企业独有候选_年报复核第三批12家_v1.csv
002772,天水众兴菌业科技股份有限公司,2023,1.0,农业,行业分类候选+龙头企业身份核实候选,1,1,农业种植业（食用菌）,1930925770.36,1931077659.25,0.99992135,否（采用同一拆分维度；已排除重复维度）,是,是,否,农业种植业收入占99.99%，达到严格样本门槛；厂房租赁未计入。,,,,https://static.cninfo.com.cn/finalpage/2024-03-26/1219405509.PDF,15,102,已人工复核（第二批）,严格口径占比=0.99992135；扩展口径占比=0.99992135；两套分子详见2023年报主营业务人工复核_第二批8家_v1.csv
002852,道道全粮油股份有限公司,2023,,,龙头企业身份核实候选,0,1,食用植物油及粕类加工,6974260413.37,7000856821.01,0.99620098,否（同一披露维度；不符合范围的食品未计入）,否,是,否,食品加工板块为食用油和粕类等农产品初加工，占99.62%，进入扩展样本。,,,,https://static.cninfo.com.cn/finalpage/2024-04-27/1219862164.PDF,14,64|72,已人工复核（龙头独有第三批）,严格口径占比=0.0；扩展口径占比=0.99620098；详见2023龙头企业独有候选_年报复核第三批12家_v1.csv
002910,兰州庄园牧场股份有限公司,2023,,,龙头企业身份核实候选,0,1,巴氏杀菌乳、灭菌乳,490598217.75,955672655.71,0.51335383,否（同一披露维度；不符合范围的食品未计入）,否,是,否,巴氏杀菌乳和灭菌乳按原奶初加工合计占51.34%，扩展口径达标；调制乳、发酵乳和含乳饮料未计入。,,,,https://static.cninfo.com.cn/finalpage/2024-04-27/1219871887.PDF,17,122,已人工复核（龙头独有第三批）,严格口径占比=0.0；扩展口径占比=0.51335383；详见2023龙头企业独有候选_年报复核第三批12家_v1.csv
002982,湖南湘佳牧业股份有限公司,2023,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,1,1,活禽、商品蛋、冰鲜产品,3564796386.99,3890122738.57,0.91637119,否（采用同一拆分维度；已排除重复维度）,否,是,否,活禽与商品蛋严格口径34.31%；加入冰鲜禽产品初加工后扩展口径91.64%。未把分行业‘养殖行业’100%机械视为直接养殖收入。,,,,https://static.cninfo.com.cn/finalpage/2024-04-10/1219550513.PDF,23,111,已人工复核（第二批）,严格口径占比=0.34314154；扩展口径占比=0.91637119；两套分子详见2023年报主营业务人工复核_第二批8家_v1.csv
300087,安徽荃银高科种业股份有限公司,2023,5.0,农、林、牧、渔专业及辅助性活动,行业分类候选+龙头企业身份核实候选,1,1,水稻、玉米、小麦、棉花、瓜菜、大豆及其他作物种子,2844711221.82,4102895157.95,0.69334241,否（采用同一拆分维度；已排除重复维度）,是,是,否,仅七类种子收入合计已占69.33%，达到严格样本门槛；未依赖边界业务扩大分子。,,,,https://static.cninfo.com.cn/finalpage/2024-03-23/1219389382.PDF,17,88,已人工复核（第二批）,严格口径占比=0.69334241；扩展口径占比=0.69334241；两套分子详见2023年报主营业务人工复核_第二批8家_v1.csv
300119,瑞普生物股份有限公司,2023,,,龙头企业身份核实候选,0,1,兽用生物制品、兽用制剂及原料药,2183106384.37,2248962053.98,0.97071731,否（同一披露维度；不符合范围的业务未计入）,否,是,否,兽用生物制品、兽用制剂及原料药按同一分行业维度合计占97.07%，属于农业投入品，进入扩展样本。,,,,https://static.cninfo.com.cn/finalpage/2024-03-30/1219465976.PDF,33,108,已人工复核（龙头独有第四批）,严格口径占比=0.0；扩展口径占比=0.97071731；详见2023龙头企业独有候选_年报复核第四批12家_v1.csv
300138,晨光生物科技集团股份有限公司,2023,,,龙头企业身份核实候选,0,1,棉籽类初加工业务,3548421149.37,6871515007.68,0.51639575,否（同一披露维度；不符合范围的业务未计入）,否,是,否,只计棉籽类初加工业务，占51.64%；天然色素、香辛料、营养及药用类产品和其他业务未计入。,,,,https://static.cninfo.com.cn/finalpage/2024-04-18/1219651002.PDF,29,112,已人工复核（龙头独有第四批）,严格口径占比=0.0；扩展口径占比=0.51639575；详见2023龙头企业独有候选_年报复核第四批12家_v1.csv
300189,海南神农种业科技股份有限公司,2023,5.0,农、林、牧、渔专业及辅助性活动,行业分类候选+龙头企业身份核实候选,1,1,杂交水稻、玉米、油菜及其他种子,155069173.68,166725377.15,0.93008741,否（采用分产品不重叠口径）,是,是,否,四类种子收入合计占93.01%，已达到严格样本门槛。,,,,https://static.cninfo.com.cn/finalpage/2024-04-26/1219833092.PDF,25,80,已人工复核（第三批）,严格口径占比=0.93008741；扩展口径占比=0.93008741；两套分子详见2023年报主营业务人工复核_第三批10家_v1.csv
300313,新疆天山畜牧生物工程股份有限公司,2023,3.0,畜牧业,行业分类候选,1,0,畜牧业,110513387.01,137499875.86,0.80373445,否（采用分行业口径）,是,是,否,畜牧业收入占80.37%，达到严格门槛；2023年曾ST，最终回归剔除。,是,是,,https://static.cninfo.com.cn/finalpage/2024-03-30/1219474293.PDF,20,80,已人工复核（第三批）,严格口径占比=0.80373445；扩展口径占比=0.80373445；两套分子详见2023年报主营业务人工复核_第三批10家_v1.csv
300498,温氏食品集团股份有限公司,2023,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,1,1,养殖行业,87844706272.81,89902322387.76,0.97711276,否（采用分行业口径）,是,是,否,养殖行业收入占营业收入97.71%，达到严格样本门槛；分母采用营业收入而非含利息收入的营业总收入。,,,,https://static.cninfo.com.cn/finalpage/2024-04-29/1219866693.PDF,32,187,已人工复核（第三批）,严格口径占比=0.97711276；扩展口径占比=0.97711276；两套分子详见2023年报主营业务人工复核_第三批10家_v1.csv
300511,上海雪榕生物科技股份有限公司,2023,1.0,农业,行业分类候选+龙头企业身份核实候选,1,1,食用菌种植,2534307562.89,2565144194.86,0.9879786,否（采用分行业口径）,是,是,否,食用菌行业收入占98.80%，达到严格样本门槛。,,,,https://static.cninfo.com.cn/finalpage/2024-04-26/1219839662.PDF,24,124,已人工复核（第三批）,严格口径占比=0.9879786；扩展口径占比=0.9879786；两套分子详见2023年报主营业务人工复核_第三批10家_v1.csv
300761,江苏立华食品集团股份有限公司,2023,3.0,畜牧业,行业分类候选,1,0,鸡、猪、鹅养殖,15267697502.53,15354096858.27,0.99437288,否（采用分产品不重叠口径）,是,是,否,鸡、猪、鹅三类养殖收入合计占99.44%，达到严格样本门槛；未计无法拆分的其他收入。,,,,https://static.cninfo.com.cn/finalpage/2024-04-22/1219693250.PDF,26,105,已人工复核（第三批）,严格口径占比=0.99437288；扩展口径占比=0.99437288；两套分子详见2023年报主营业务人工复核_第三批10家_v1.csv
300871,武汉回盛生物科技股份有限公司,2023,,,龙头企业身份核实候选,0,1,兽用原料药及制剂,942217427.49,1019758798.36,0.92396107,否（同一披露维度；不符合范围的业务未计入）,否,是,否,兽用原料药及制剂收入占92.40%，属于农业投入品，进入扩展样本。,,,,https://static.cninfo.com.cn/finalpage/2024-04-25/1219796102.PDF,22,104,已人工复核（龙头独有第四批）,严格口径占比=0.0；扩展口径占比=0.92396107；详见2023龙头企业独有候选_年报复核第四批12家_v1.csv
300967,宁夏晓鸣农牧股份有限公司,2023,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,1,1,养殖行业,830359022.41,830815831.8,0.99945017,否（采用分行业口径）,是,是,否,养殖行业收入占99.95%，达到严格样本门槛。,,,,https://static.cninfo.com.cn/finalpage/2024-04-19/1219670312.PDF,30,143,已人工复核（第三批）,严格口径占比=0.99945017；扩展口径占比=0.99945017；两套分子详见2023年报主营业务人工复核_第三批10家_v1.csv
300970,江苏华绿生物科技集团股份有限公司,2023,1.0,农业,行业分类候选+龙头企业身份核实候选,1,1,食用菌种植,996221375.81,996221375.81,1.0,否（采用分行业口径）,是,是,否,食用菌收入占100%，达到严格样本门槛。,,,,https://static.cninfo.com.cn/finalpage/2024-04-23/1219744144.PDF,15,89,已人工复核（第三批）,严格口径占比=1.0；扩展口径占比=1.0；两套分子详见2023年报主营业务人工复核_第三批10家_v1.csv
301116,江苏益客食品集团股份有限公司,2023,,,龙头企业身份核实候选,0,1,屠宰、饲料和种禽,20579511091.33,21888226740.9,0.94020915,否（同一披露维度；不符合范围的业务未计入）,否,是,否,种禽收入仅占5.74%；屠宰初加工、饲料和种禽按同一分行业维度合计占94.02%，进入扩展样本。,,,,https://static.cninfo.com.cn/finalpage/2024-04-26/1219826208.PDF,29,115,已人工复核（龙头独有第四批）,严格口径占比=0.05743878；扩展口径占比=0.94020915；详见2023龙头企业独有候选_年报复核第四批12家_v1.csv
600097,上海开创国际海洋资源股份有限公司,2023,4.0,渔业,行业分类候选,1,0,海洋捕捞、食品加工,1699323763.28,2014553819.25,0.84352364,已按同一拆分维度处理；无法拆分时保持待核实,否,是,否,海洋捕捞严格口径39.36%；加入水产品初加工后扩展口径84.35%，渔货贸易未计入。,,,,https://static.cninfo.com.cn/finalpage/2024-03-29/1219441413.PDF,10,53,已人工复核（第四批）,严格口径占比=0.39357945；扩展口径占比=0.84352364；两套分子详见2023年报主营业务人工复核_第四批13家_v1.csv
600108,甘肃亚盛实业(集团)股份有限公司,2023,1.0,农业,行业分类候选+龙头企业身份核实候选,1,1,农业种植,3113117945.76,4005115417.62,0.77728545,已按同一拆分维度处理；无法拆分时保持待核实,是,是,否,农业分行业收入占77.73%，达到严格门槛。,,,,https://static.cninfo.com.cn/finalpage/2024-04-25/1219788130.PDF,10,49,已人工复核（第四批）,严格口径占比=0.77728545；扩展口径占比=0.77728545；两套分子详见2023年报主营业务人工复核_第四批13家_v1.csv
600127,金健米业股份有限公司,2023,,,龙头企业身份核实候选,0,1,粮油食品初加工,2578952432.72,4867808810.78,0.5297974,否（同一披露维度；不符合范围的业务未计入）,否,是,否,粮油食品加工业收入占52.98%；年报税务说明确认相关米、面、油子公司从事农产品初加工。贸易、乳品和休闲食品未计入。,,,,https://static.cninfo.com.cn/finalpage/2024-03-30/1219466894.PDF,18,82,已人工复核（龙头独有剩余45家）,严格口径占比=0.0；扩展口径占比=0.5297974；详见2023龙头企业独有候选_年报复核剩余45家_v1.csv
600195,中牧实业股份有限公司,2023,,,龙头企业身份核实候选,0,1,兽用生物制品、化药和饲料,3298862981.04,5406312590.46,0.61018724,否（同一披露维度；不符合范围的业务未计入）,否,是,否,兽用生物制品、化药和饲料按同一产品维度合计占61.02%，进入扩展样本；贸易未计入。,,,,https://static.cninfo.com.cn/finalpage/2024-04-10/1219551316.PDF,12,80,已人工复核（龙头独有剩余45家）,严格口径占比=0.0；扩展口径占比=0.61018724；详见2023龙头企业独有候选_年报复核剩余45家_v1.csv
600251,新疆冠农股份有限公司,2023,,,龙头企业身份核实候选,0,1,番茄、糖业和饲料产品,2515417378.59,4342745318.41,0.57922286,否（同一披露维度；不符合范围的业务未计入）,否,是,否,不计棉花贸易，仅番茄、糖业和饲料产品已占57.92%，进入扩展样本。,,,,https://static.cninfo.com.cn/finalpage/2024-03-28/1219429441.PDF,14,74,已人工复核（龙头独有剩余45家）,严格口径占比=0.0；扩展口径占比=0.57922286；详见2023龙头企业独有候选_年报复核剩余45家_v1.csv
600257,大湖健康产业股份有限公司,2023,4.0,渔业,行业分类候选,1,0,水产品养殖,627113773.53,1193454619.46,0.52546093,已按同一拆分维度处理；无法拆分时保持待核实,是,是,否,农业水产品收入占52.55%，达到严格门槛；白酒、药品等未计入。,,,,https://static.cninfo.com.cn/finalpage/2024-04-18/1219651824.PDF,24,91,已人工复核（第四批）,严格口径占比=0.52546093；扩展口径占比=0.52546093；两套分子详见2023年报主营业务人工复核_第四批13家_v1.csv
600354,甘肃省敦煌种业集团股份有限公司,2023,5.0,农、林、牧、渔专业及辅助性活动,行业分类候选+龙头企业身份核实候选,1,1,种子,875670812.45,1157762417.27,0.75634759,已按同一拆分维度处理；无法拆分时保持待核实,是,是,否,种子收入占75.63%，达到严格门槛；食品、贸易、棉花未用于放大严格分子。,,,,https://static.cninfo.com.cn/finalpage/2024-03-22/1219375765.PDF,11,52,已人工复核（第四批）,严格口径占比=0.75634759；扩展口径占比=0.75634759；两套分子详见2023年报主营业务人工复核_第四批13家_v1.csv
600359,新疆塔里木农业综合开发股份有限公司,2023,1.0,农业,行业分类候选,1,0,农业分行业（含棉花初加工等）,353610347.54,548470528.13,0.64472078,已按同一拆分维度处理；无法拆分时保持待核实,否,是,否,可直接识别的种苗和畜牧收入占31.35%，未达严格门槛；农业板块含初加工后占64.47%，扩展口径达标。,,,,https://static.cninfo.com.cn/finalpage/2024-03-29/1219447486.PDF,13,78,已人工复核（第四批）,严格口径占比=0.31354459；扩展口径占比=0.64472078；两套分子详见2023年报主营业务人工复核_第四批13家_v1.csv
600371,万向德农股份有限公司,2023,5.0,农、林、牧、渔专业及辅助性活动,行业分类候选,1,0,玉米杂交种,300692394.38,319298968.77,0.94172679,已按同一拆分维度处理；无法拆分时保持待核实,是,是,否,玉米杂交种收入占94.17%，达到严格门槛；加入化肥后扩展口径98.05%。,,,,https://static.cninfo.com.cn/finalpage/2024-04-16/1219617366.PDF,15,55,已人工复核（第四批）,严格口径占比=0.94172679；扩展口径占比=0.98048486；两套分子详见2023年报主营业务人工复核_第四批13家_v1.csv
600467,山东好当家海洋发展股份有限公司,2023,4.0,渔业,行业分类候选+龙头企业身份核实候选,1,1,海水养殖、海洋捕捞,862527464.45,1563804509.83,0.55155709,已按同一拆分维度处理；无法拆分时保持待核实,是,是,否,养殖与捕捞合计占55.16%，达到严格门槛；加入水产品加工后扩展口径97.68%。,,,,https://static.cninfo.com.cn/finalpage/2024-04-25/1219786818.PDF,13,64,已人工复核（第四批）,严格口径占比=0.55155709；扩展口径占比=0.97675336；两套分子详见2023年报主营业务人工复核_第四批13家_v1.csv
