股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业收入公式,人参类或加工其他混合收入_元_上界,人参类或加工其他混合成本_元_反向证据,其他业务或产品其他收入_元_上界,其他业务或产品其他成本_元_反向证据,BT其他业务收入_元_排除证据,深加工或排除类别,深加工类别收入_元_反向证据,深加工类别成本_元_反向证据,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,补充证据说明,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
002566,吉林省集安益盛药业股份有限公司,2019,,,未单列中药材种植对外收入；人参类产品及产品“其他”仅作上界,,0.00,137022962.58,下界=0；上界=人参类产品63406775.66+未拆产品其他73616186.92=137022962.58,0,0.135298116705305264290134501591513954827026074865267594662381,未单列可确认的中药材初级加工收入；人参类产品及产品“其他”仅作上界,,0.00,137022962.58,下界=0；上界=人参类产品63406775.66+未拆产品其他73616186.92=137022962.58,0,0.135298116705305264290134501591513954827026074865267594662381,1012748483.99,合并利润表营业收入,63406775.66,33238123.81,73616186.92,29514751.27,,中成药、针剂、胶囊、饮片、健康食品和化妆品；人参类产品另作上界,,,人参类产品成本33238123.81+产品其他成本29514751.27=62752875.08，只作上界反向证据,否,否,否,人参类产品与产品“其他”为同一产品维度互斥项目；不叠加行业、地区或销售模式；种植基地内部供料不另计,公司披露人参种植基地和全产业链，但未单列种植对外收入；人参类产品混有饮片、红参制品及健康食品等加工品，不能整体纳入。,人参类产品及产品“其他”未拆中药材种植/初级加工与深加工收入，只作上界；上界仍低于30%。,13|14,61,2015年管理层明确披露人参深加工产品及红参膏/浓缩液；其他年份人参类亦含饮片、食品等混合品,https://static.cninfo.com.cn/finalpage/2020-04-16/1207505408.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批R组（未合并）,已人工复核（第十七批R组；主表未合并）,2026-08-11
002566,吉林省集安益盛药业股份有限公司,2020,,,未单列中药材种植对外收入；人参类产品及产品“其他”仅作上界,,0.00,120512616.93,下界=0；上界=人参类产品68072833.83+未拆产品其他52439783.10=120512616.93,0,0.143026418810733444078117425440363485130596823769900826795928,未单列可确认的中药材初级加工收入；人参类产品及产品“其他”仅作上界,,0.00,120512616.93,下界=0；上界=人参类产品68072833.83+未拆产品其他52439783.10=120512616.93,0,0.143026418810733444078117425440363485130596823769900826795928,842589907.04,合并利润表营业收入,68072833.83,31567445.40,52439783.10,22898414.25,,中成药、针剂、胶囊、饮片、健康食品和化妆品；人参类产品另作上界,,,人参类产品成本31567445.40+产品其他成本22898414.25=54465859.65，只作上界反向证据,否,否,否,人参类产品与产品“其他”为同一产品维度互斥项目；不叠加行业、地区或销售模式；种植基地内部供料不另计,公司披露人参种植基地和全产业链，但未单列种植对外收入；人参类产品混有饮片、红参制品及健康食品等加工品，不能整体纳入。,人参类产品及产品“其他”未拆中药材种植/初级加工与深加工收入，只作上界；上界仍低于30%。,14|15,61,2015年管理层明确披露人参深加工产品及红参膏/浓缩液；其他年份人参类亦含饮片、食品等混合品,https://static.cninfo.com.cn/finalpage/2021-04-17/1209711313.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批R组（未合并）,已人工复核（第十七批R组；主表未合并）,2026-08-11
002566,吉林省集安益盛药业股份有限公司,2021,,,未单列中药材种植对外收入；人参类产品及产品“其他”仅作上界,,0.00,130303629.32,下界=0；上界=人参类产品77423738.94+未拆产品其他52879890.38=130303629.32,0,0.148421511183555053704060292240908134455395618513192164612740,未单列可确认的中药材初级加工收入；人参类产品及产品“其他”仅作上界,,0.00,130303629.32,下界=0；上界=人参类产品77423738.94+未拆产品其他52879890.38=130303629.32,0,0.148421511183555053704060292240908134455395618513192164612740,877929541.89,合并利润表营业收入,77423738.94,30220404.19,52879890.38,22525759.17,,中成药、针剂、胶囊、饮片、健康食品和化妆品；人参类产品另作上界,,,人参类产品成本30220404.19+产品其他成本22525759.17=52746163.36，只作上界反向证据,否,否,否,人参类产品与产品“其他”为同一产品维度互斥项目；不叠加行业、地区或销售模式；种植基地内部供料不另计,公司披露人参种植基地和全产业链，但未单列种植对外收入；人参类产品混有饮片、红参制品及健康食品等加工品，不能整体纳入。,人参类产品及产品“其他”未拆中药材种植/初级加工与深加工收入，只作上界；上界仍低于30%。,14|15,63,2015年管理层明确披露人参深加工产品及红参膏/浓缩液；其他年份人参类亦含饮片、食品等混合品,https://static.cninfo.com.cn/finalpage/2022-04-20/1212973798.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批R组（未合并）,已人工复核（第十七批R组；主表未合并）,2026-08-11
002566,吉林省集安益盛药业股份有限公司,2022,待核实,待核实,未单列中药材种植对外收入；人参类产品及产品“其他”仅作上界,,0.00,108140569.44,下界=0；上界=人参类产品52161798.63+未拆产品其他55978770.81=108140569.44,0,0.130283356168324741060461625732542821929764544512103734868804,未单列可确认的中药材初级加工收入；人参类产品及产品“其他”仅作上界,,0.00,108140569.44,下界=0；上界=人参类产品52161798.63+未拆产品其他55978770.81=108140569.44,0,0.130283356168324741060461625732542821929764544512103734868804,830041323.93,合并利润表营业收入,52161798.63,23204099.97,55978770.81,23597912.93,,中成药、针剂、胶囊、饮片、健康食品和化妆品；人参类产品另作上界,,,人参类产品成本23204099.97+产品其他成本23597912.93=46802012.90，只作上界反向证据,否,否,否,人参类产品与产品“其他”为同一产品维度互斥项目；不叠加行业、地区或销售模式；种植基地内部供料不另计,公司披露人参种植基地和全产业链，但未单列种植对外收入；人参类产品混有饮片、红参制品及健康食品等加工品，不能整体纳入。,人参类产品及产品“其他”未拆中药材种植/初级加工与深加工收入，只作上界；上界仍低于30%。,14|15,62,2015年管理层明确披露人参深加工产品及红参膏/浓缩液；其他年份人参类亦含饮片、食品等混合品,https://static.cninfo.com.cn/finalpage/2023-04-19/1216454064.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批R组（未合并）,已人工复核（第十七批R组；主表未合并）,2026-08-11
600211,西藏诺迪康药业股份有限公司,2014,,,未单列藏药材/中药材种植对外收入；加工类、其他业务只作上界,,0.00,7710943.68,下界=0；上界=未拆加工类956845.22+审计其他业务6754098.46=7710943.68,0,0.00462276802632207402251034056992446330537505940953089548500681,未单列中药材初级加工或农业投入品收入；未拆项目只作上界,,0.00,7710943.68,下界=0；上界=未拆加工类956845.22+审计其他业务6754098.46=7710943.68,0,0.00462276802632207402251034056992446330537505940953089548500681,1668036041.63,合并利润表营业收入,956845.22,647771.84,6754098.46,2016299.72,,生物制药、藏药、中药、化学药及医药商业贸易,,,加工类成本647771.84+其他业务成本2016299.72=2664071.56，只作上界反向证据,否,否,否,加工及其他属于主营产品维度，其他业务属于互斥收入层级，可相加作上界；不叠加行业和地区维度,藏药材种植基地和农业资源子公司证明业务存在，但销售端未单列种植或初加工收入；药品及医药贸易不纳入。,加工类和审计其他业务未拆具体性质，只作上界；上界不足1%。,13,56,公司披露藏药材基地/农业资源子公司，但生产性生物资产未列金额，主营收入仍按药品制造、贸易及加工类披露,https://static.cninfo.com.cn/finalpage/2015-06-11/1201133756.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批R组（未合并）,已人工复核（第十七批R组；主表未合并）,2026-08-11
600211,西藏诺迪康药业股份有限公司,2015,,,未单列藏药材/中药材种植对外收入；加工类、其他业务只作上界,,0.00,8272082.26,下界=0；上界=未拆加工类1242624.95+审计其他业务7029457.31=8272082.26,0,0.00598231601459639295105491948327586611176299531369142921206824,未单列中药材初级加工或农业投入品收入；未拆项目只作上界,,0.00,8272082.26,下界=0；上界=未拆加工类1242624.95+审计其他业务7029457.31=8272082.26,0,0.00598231601459639295105491948327586611176299531369142921206824,1382755815.61,合并利润表营业收入,1242624.95,1340348.42,7029457.31,2863431.68,,生物制药、藏药、中药、化学药及医药商业贸易,,,加工类成本1340348.42+其他业务成本2863431.68=4203780.10，只作上界反向证据,否,否,否,加工及其他属于主营产品维度，其他业务属于互斥收入层级，可相加作上界；不叠加行业和地区维度,藏药材种植基地和农业资源子公司证明业务存在，但销售端未单列种植或初加工收入；药品及医药贸易不纳入。,加工类和审计其他业务未拆具体性质，只作上界；上界不足1%。,11|12,55,公司披露藏药材基地/农业资源子公司，但生产性生物资产未列金额，主营收入仍按药品制造、贸易及加工类披露,https://static.cninfo.com.cn/finalpage/2016-03-19/1202058359.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批R组（未合并）,已人工复核（第十七批R组；主表未合并）,2026-08-11
600211,西藏诺迪康药业股份有限公司,2018,,,未单列藏药材/中药材种植对外收入；药品加工及其他、其他业务只作上界,,0.00,7048816.20,下界=0；上界=未拆药品加工及其他811323.41+审计其他业务6237492.79=7048816.20,0,0.00685763086670172248545471756336033219709842207525290906036181,未单列中药材初级加工或农业投入品收入；未拆项目只作上界,,0.00,7048816.20,下界=0；上界=未拆药品加工及其他811323.41+审计其他业务6237492.79=7048816.20,0,0.00685763086670172248545471756336033219709842207525290906036181,1027879210.33,合并利润表营业收入,811323.41,1022969.54,6237492.79,2150567.13,,生物制药、藏药、中药、化学药及医药商业贸易,,,药品加工及其他成本1022969.54+其他业务成本2150567.13=3173536.67，只作上界反向证据,否,否,否,加工及其他属于主营产品维度，其他业务属于互斥收入层级，可相加作上界；不叠加行业和地区维度,藏药材种植基地和农业资源子公司证明业务存在，但销售端未单列种植或初加工收入；药品及医药贸易不纳入。,药品加工及其他和审计其他业务未拆具体性质，只作上界；上界不足1%。,10|11,57,公司披露藏药材基地/农业资源子公司，但生产性生物资产未列金额，主营收入仍按药品制造、贸易及加工类披露,https://static.cninfo.com.cn/finalpage/2019-03-15/1205899941.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批R组（未合并）,已人工复核（第十七批R组；主表未合并）,2026-08-11
600211,西藏诺迪康药业股份有限公司,2019,,,未单列藏药材/中药材种植对外收入；药品加工及其他、其他业务只作上界,,0.00,7800602.33,下界=0；上界=未拆药品加工及其他802596.59+审计其他业务6998005.74=7800602.33,0,0.00621056206989035619604746973792154726403559015283351752684489,未单列中药材初级加工或农业投入品收入；未拆项目只作上界,,0.00,7800602.33,下界=0；上界=未拆药品加工及其他802596.59+审计其他业务6998005.74=7800602.33,0,0.00621056206989035619604746973792154726403559015283351752684489,1256021957.79,合并利润表营业收入,802596.59,837052.66,6998005.74,2022308.05,,生物制药、藏药、中药、化学药及医药商业贸易,,,药品加工及其他成本837052.66+其他业务成本2022308.05=2859360.71，只作上界反向证据,否,否,否,加工及其他属于主营产品维度，其他业务属于互斥收入层级，可相加作上界；不叠加行业和地区维度,藏药材种植基地和农业资源子公司证明业务存在，但销售端未单列种植或初加工收入；药品及医药贸易不纳入。,药品加工及其他和审计其他业务未拆具体性质，只作上界；上界不足1%。,10|11,58,公司披露藏药材基地/农业资源子公司，但生产性生物资产未列金额，主营收入仍按药品制造、贸易及加工类披露,https://static.cninfo.com.cn/finalpage/2020-03-13/1207368821.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批R组（未合并）,已人工复核（第十七批R组；主表未合并）,2026-08-11
600211,西藏诺迪康药业股份有限公司,2020,,,未单列藏药材/中药材种植对外收入；外加工类、其他业务只作上界,,0.00,11958878.50,下界=0；上界=未拆外加工类466800.00+审计其他业务11492078.50=11958878.50,0,0.00870936860608271528205135838211497804578132732981291860801989,未单列中药材初级加工或农业投入品收入；未拆项目只作上界,,0.00,11958878.50,下界=0；上界=未拆外加工类466800.00+审计其他业务11492078.50=11958878.50,0,0.00870936860608271528205135838211497804578132732981291860801989,1373105105.65,合并利润表营业收入,466800.00,531000.00,11492078.50,6309774.43,,生物制药、藏药、中药、化学药及医药商业贸易,,,外加工类成本531000.00+其他业务成本6309774.43=6840774.43，只作上界反向证据；年报以万元列示且保留两位小数，换算为元后的精度至百元,否,否,否,加工及其他属于主营产品维度，其他业务属于互斥收入层级，可相加作上界；不叠加行业和地区维度,藏药材种植基地和农业资源子公司证明业务存在，但销售端未单列种植或初加工收入；药品及医药贸易不纳入。,外加工类和审计其他业务未拆具体性质，只作上界；上界不足1%。,11,59,公司披露藏药材基地/农业资源子公司，但生产性生物资产未列金额，主营收入仍按药品制造、贸易及加工类披露,https://static.cninfo.com.cn/finalpage/2021-03-12/1209371503.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批R组（未合并）,已人工复核（第十七批R组；主表未合并）,2026-08-11
600211,西藏诺迪康药业股份有限公司,2021,,,未单列藏药材/中药材种植对外收入；外加工类、其他业务只作上界,,0.00,12647161.42,下界=0；上界=未拆外加工类592100.00+审计其他业务12055061.42=12647161.42,0,0.00591379451264676131589490604743614461306019804675628920193139,未单列中药材初级加工或农业投入品收入；未拆项目只作上界,,0.00,12647161.42,下界=0；上界=未拆外加工类592100.00+审计其他业务12055061.42=12647161.42,0,0.00591379451264676131589490604743614461306019804675628920193139,2138586552.67,合并利润表营业收入,592100.00,658400.00,12055061.42,9391477.69,,生物制药、藏药、中药、化学药及医药商业贸易,,,外加工类成本658400.00+其他业务成本9391477.69=10049877.69，只作上界反向证据；年报以万元列示且保留两位小数，换算为元后的精度至百元,否,否,否,加工及其他属于主营产品维度，其他业务属于互斥收入层级，可相加作上界；不叠加行业和地区维度,藏药材种植基地和农业资源子公司证明业务存在，但销售端未单列种植或初加工收入；药品及医药贸易不纳入。,外加工类和审计其他业务未拆具体性质，只作上界；上界不足1%。,12,64,公司披露藏药材基地/农业资源子公司，但生产性生物资产未列金额，主营收入仍按药品制造、贸易及加工类披露,https://static.cninfo.com.cn/finalpage/2022-03-12/1212547573.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批R组（未合并）,已人工复核（第十七批R组；主表未合并）,2026-08-11
600211,西藏诺迪康药业股份有限公司,2022,待核实,待核实,未单列藏药材/中药材种植对外收入；外加工类、其他业务只作上界,,0.00,10796030.48,下界=0；上界=未拆外加工类1105200.00+审计其他业务9690830.48=10796030.48,0,0.00422609886685114357505092656454574570737859267597882611259967,未单列中药材初级加工或农业投入品收入；未拆项目只作上界,,0.00,10796030.48,下界=0；上界=未拆外加工类1105200.00+审计其他业务9690830.48=10796030.48,0,0.00422609886685114357505092656454574570737859267597882611259967,2554609066.22,合并利润表营业收入,1105200.00,1403000.00,9690830.48,5182138.20,,生物制药、藏药、中药、化学药及医药商业贸易,,,外加工类成本1403000.00+其他业务成本5182138.20=6585138.20，只作上界反向证据；年报以万元列示且保留两位小数，换算为元后的精度至百元,否,否,否,加工及其他属于主营产品维度，其他业务属于互斥收入层级，可相加作上界；不叠加行业和地区维度,藏药材种植基地和农业资源子公司证明业务存在，但销售端未单列种植或初加工收入；药品及医药贸易不纳入。,外加工类和审计其他业务未拆具体性质，只作上界；上界不足1%。2022行业分类仍待核实。,12,65,公司披露藏药材基地/农业资源子公司，但生产性生物资产未列金额，主营收入仍按药品制造、贸易及加工类披露,https://static.cninfo.com.cn/finalpage/2023-03-11/1216093815.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十七批R组（未合并）,已人工复核（第十七批R组；主表未合并）,2026-08-11
