股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业成本_元_反向证据,公司营业收入公式,严格口径成本下界_元_反向证据,严格口径成本上界_元_反向证据,扩展口径成本下界_元_反向证据,扩展口径成本上界_元_反向证据,单列初加工或农业投入品收入_元,单列初加工或农业投入品成本_元_反向证据,未拆上界项目,未拆上界项目收入_元,未拆上界项目成本_元_反向证据,明确排除类别,明确排除收入_元_反向证据,明确排除成本_元_反向证据,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,补充证据说明,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
603345,安井食品集团股份有限公司,2018,,,未单列直接农业收入；其他/其他业务仅作上界,,0.00,3228204.15,下界=0；上界=其他/其他业务3228204.15,0,0.000757956283608441994268416512189123312094218315787871773509573,未单列可确认初加工或农业投入品收入；其他/其他业务仅作上界,,0.00,3228204.15,下界=0；上界=其他/其他业务3228204.15,0,0.000757956283608441994268416512189123312094218315787871773509573,4259090161.02,3129917104.83,合并利润表营业收入,0.00,3165624.00,0.00,3165624.00,,,其他/其他业务,3228204.15,3165624.00,速冻面米、肉、鱼糜、菜肴及休闲食品等深加工产品,4255861956.87,3126751480.83,收入决定纳入范围；同维度成本仅作反向核对，不用成本率推算或拆分收入,否,否,否,使用同一产品维度；农副产品和其他业务与其余产品互斥，不叠加地区、渠道或采购金额,速冻食品属于食品深加工；“农副产品”名称及原料采购不能证明直接农业生产，未拆金额仅作上界。,其他/其他业务未拆直接农业、初加工与非涉农收入；上界低于30%。,14|15,81,2021—2022“农副产品”仅为产品行名称，未见可审计的直接农业或初加工收入拆分，故不进入下界,https://static.cninfo.com.cn/finalpage/2019-04-22/1206064323.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批W组（未合并）,已人工复核（第十九批W组；主表未合并）,2026-08-11
603345,安井食品集团股份有限公司,2019,,,未单列直接农业收入；其他/其他业务仅作上界,,0.00,8233468.32,下界=0；上界=其他/其他业务8233468.32,0,0.00156331785729964182246459522140191300887553409794327619726096,未单列可确认初加工或农业投入品收入；其他/其他业务仅作上界,,0.00,8233468.32,下界=0；上界=其他/其他业务8233468.32,0,0.00156331785729964182246459522140191300887553409794327619726096,5266663002.38,3909785513.94,合并利润表营业收入,0.00,6951235.86,0.00,6951235.86,,,其他/其他业务,8233468.32,6951235.86,速冻面米、肉、鱼糜、菜肴及休闲食品等深加工产品,5258429534.06,3902834278.08,收入决定纳入范围；同维度成本仅作反向核对，不用成本率推算或拆分收入,否,否,否,使用同一产品维度；农副产品和其他业务与其余产品互斥，不叠加地区、渠道或采购金额,速冻食品属于食品深加工；“农副产品”名称及原料采购不能证明直接农业生产，未拆金额仅作上界。,其他/其他业务未拆直接农业、初加工与非涉农收入；上界低于30%。,14|15,79,2021—2022“农副产品”仅为产品行名称，未见可审计的直接农业或初加工收入拆分，故不进入下界,https://static.cninfo.com.cn/finalpage/2020-04-14/1207491272.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批W组（未合并）,已人工复核（第十九批W组；主表未合并）,2026-08-11
603345,安井食品集团股份有限公司,2020,,,未单列直接农业收入；其他/其他业务仅作上界,,0.00,7119446.74,下界=0；上界=其他/其他业务7119446.74,0,0.00102215781836086154845985812766382050084079177238568137036035,未单列可确认初加工或农业投入品收入；其他/其他业务仅作上界,,0.00,7119446.74,下界=0；上界=其他/其他业务7119446.74,0,0.00102215781836086154845985812766382050084079177238568137036035,6965114987.25,5176465007.55,合并利润表营业收入,0.00,4255702.52,0.00,4255702.52,,,其他/其他业务,7119446.74,4255702.52,速冻面米、肉、鱼糜、菜肴及休闲食品等深加工产品,6957995540.51,5172209305.03,收入决定纳入范围；同维度成本仅作反向核对，不用成本率推算或拆分收入,否,否,否,使用同一产品维度；农副产品和其他业务与其余产品互斥，不叠加地区、渠道或采购金额,速冻食品属于食品深加工；“农副产品”名称及原料采购不能证明直接农业生产，未拆金额仅作上界。,其他/其他业务未拆直接农业、初加工与非涉农收入；上界低于30%。,14,82,2021—2022“农副产品”仅为产品行名称，未见可审计的直接农业或初加工收入拆分，故不进入下界,https://static.cninfo.com.cn/finalpage/2021-04-13/1209678508.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批W组（未合并）,已人工复核（第十九批W组；主表未合并）,2026-08-11
603345,安井食品集团股份有限公司,2021,,,未单列直接农业收入；名称笼统的农副产品+其他业务仅作上界,,0.00,166152216.46,下界=0；上界=名称笼统的农副产品+其他业务166152216.46,0,0.0179193920038802469576586390038158341945124372150166586934421,未单列可确认初加工或农业投入品收入；名称笼统的农副产品+其他业务仅作上界,,0.00,166152216.46,下界=0；上界=名称笼统的农副产品+其他业务166152216.46,0,0.0179193920038802469576586390038158341945124372150166586934421,9272201669.79,7221274324.12,合并利润表营业收入,0.00,135796406.37,0.00,135796406.37,,,名称笼统的农副产品+其他业务,166152216.46,135796406.37,速冻面米、肉、鱼糜、菜肴及休闲食品等深加工产品,9106049453.33,7085477917.75,收入决定纳入范围；同维度成本仅作反向核对，不用成本率推算或拆分收入,否,否,否,使用同一产品维度；农副产品和其他业务与其余产品互斥，不叠加地区、渠道或采购金额,速冻食品属于食品深加工；“农副产品”名称及原料采购不能证明直接农业生产，未拆金额仅作上界。,名称笼统的农副产品+其他业务未拆直接农业、初加工与非涉农收入；上界低于30%。,14|15,85,2021—2022“农副产品”仅为产品行名称，未见可审计的直接农业或初加工收入拆分，故不进入下界,https://static.cninfo.com.cn/finalpage/2022-04-26/1213109574.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批W组（未合并）,已人工复核（第十九批W组；主表未合并）,2026-08-11
603345,安井食品集团股份有限公司,2022,待核实,待核实,未单列直接农业收入；名称笼统的农副产品+其他业务仅作上界,,0.00,404222676.06,下界=0；上界=名称笼统的农副产品+其他业务404222676.06,0,0.0331801570887757832490090640608115084281276067489258184723828,未单列可确认初加工或农业投入品收入；名称笼统的农副产品+其他业务仅作上界,,0.00,404222676.06,下界=0；上界=名称笼统的农副产品+其他业务404222676.06,0,0.0331801570887757832490090640608115084281276067489258184723828,12182663119.36,9507716843.77,合并利润表营业收入,0.00,292562332.35,0.00,292562332.35,,,名称笼统的农副产品+其他业务,404222676.06,292562332.35,速冻面米、肉、鱼糜、菜肴及休闲食品等深加工产品,11778440443.30,9215154511.42,收入决定纳入范围；同维度成本仅作反向核对，不用成本率推算或拆分收入,否,否,否,使用同一产品维度；农副产品和其他业务与其余产品互斥，不叠加地区、渠道或采购金额,速冻食品属于食品深加工；“农副产品”名称及原料采购不能证明直接农业生产，未拆金额仅作上界。,名称笼统的农副产品+其他业务未拆直接农业、初加工与非涉农收入；上界低于30%。2022行业分类字段仍待核实。,18|19,96,2021—2022“农副产品”仅为产品行名称，未见可审计的直接农业或初加工收入拆分，故不进入下界,https://static.cninfo.com.cn/finalpage/2023-04-25/1216556384.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批W组（未合并）,已人工复核（第十九批W组；主表未合并）,2026-08-11
603708,家家悦集团股份有限公司,2018,,,未单列直接农业生产收入；工业及其他及商业主营表外未分类收入残差仅作上界,,0.00,907936143.40,下界=0；上界=合并收入12730711830.05-商业零售11822775686.65=907936143.40,0,0.0713185684760279482012435594176777326385461128899084266174537,未单列初加工、农业投入品或生产性服务收入；工业及其他及商业主营表外未分类收入残差仅作上界,,0.00,907936143.40,下界=0；上界=合并收入12730711830.05-商业零售11822775686.65=907936143.40,0,0.0713185684760279482012435594176777326385461128899084266174537,12730711830.05,9958622005.98,合并利润表营业收入,0.00,194875588.88,0.00,194875588.88,,,工业及其他及商业主营表外未分类收入残差,907936143.40,194875588.88,生鲜、食品化洗、百货等商业零售,11822775686.65,9763746417.10,收入决定纳入范围；同维度成本仅作反向核对，不用成本率推算或拆分收入,否,否,否,商业零售为行业维度排除项；仅以合并收入减商业收入形成互斥残差，不叠加生鲜产品或采购金额,公司主营为连锁商超零售；销售生鲜商品不等于从事农业生产，采购额亦不替代涉农收入。,工业及其他和商业主营表外收入未拆具体性质，仅作上界；上界低于30%。,11|12,74,2020执行新收入准则后联营业务按净额法确认；统一采用当年合并利润表收入和当年披露商业收入，不采用总额法可比数,https://static.cninfo.com.cn/finalpage/2019-04-19/1206055176.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批W组（未合并）,已人工复核（第十九批W组；主表未合并）,2026-08-11
603708,家家悦集团股份有限公司,2019,,,未单列直接农业生产收入；工业及其他及商业主营表外未分类收入残差仅作上界,,0.00,1083458629.05,下界=0；上界=合并收入15263757862.93-商业零售14180299233.88=1083458629.05,0,0.0709824303280726623855619194951185877813252036088521358020326,未单列初加工、农业投入品或生产性服务收入；工业及其他及商业主营表外未分类收入残差仅作上界,,0.00,1083458629.05,下界=0；上界=合并收入15263757862.93-商业零售14180299233.88=1083458629.05,0,0.0709824303280726623855619194951185877813252036088521358020326,15263757862.93,11929238208.08,合并利润表营业收入,0.00,239811765.09,0.00,239811765.09,,,工业及其他及商业主营表外未分类收入残差,1083458629.05,239811765.09,生鲜、食品化洗、百货等商业零售,14180299233.88,11689426442.99,收入决定纳入范围；同维度成本仅作反向核对，不用成本率推算或拆分收入,否,否,否,商业零售为行业维度排除项；仅以合并收入减商业收入形成互斥残差，不叠加生鲜产品或采购金额,公司主营为连锁商超零售；销售生鲜商品不等于从事农业生产，采购额亦不替代涉农收入。,工业及其他和商业主营表外收入未拆具体性质，仅作上界；上界低于30%。,14|15,104,2020执行新收入准则后联营业务按净额法确认；统一采用当年合并利润表收入和当年披露商业收入，不采用总额法可比数,https://static.cninfo.com.cn/finalpage/2020-04-21/1207542875.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批W组（未合并）,已人工复核（第十九批W组；主表未合并）,2026-08-11
603708,家家悦集团股份有限公司,2020,,,未单列直接农业生产收入；工业及其他及商业主营表外未分类收入残差仅作上界,,0.00,1298283098.35,下界=0；上界=合并收入16678468932.04-商业零售15380185833.69=1298283098.35,0,0.0778418632813439308248337145846959480019381051229410579685146,未单列初加工、农业投入品或生产性服务收入；工业及其他及商业主营表外未分类收入残差仅作上界,,0.00,1298283098.35,下界=0；上界=合并收入16678468932.04-商业零售15380185833.69=1298283098.35,0,0.0778418632813439308248337145846959480019381051229410579685146,16678468932.04,12762813149.31,合并利润表营业收入,0.00,334356619.18,0.00,334356619.18,,,工业及其他及商业主营表外未分类收入残差,1298283098.35,334356619.18,生鲜、食品化洗、百货等商业零售,15380185833.69,12428456530.13,收入决定纳入范围；同维度成本仅作反向核对，不用成本率推算或拆分收入,否,否,否,商业零售为行业维度排除项；仅以合并收入减商业收入形成互斥残差，不叠加生鲜产品或采购金额,公司主营为连锁商超零售；销售生鲜商品不等于从事农业生产，采购额亦不替代涉农收入。,工业及其他和商业主营表外收入未拆具体性质，仅作上界；上界低于30%。,13,83,2020执行新收入准则后联营业务按净额法确认；统一采用当年合并利润表收入和当年披露商业收入，不采用总额法可比数,https://static.cninfo.com.cn/finalpage/2021-04-30/1209879936.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批W组（未合并）,已人工复核（第十九批W组；主表未合并）,2026-08-11
603708,家家悦集团股份有限公司,2021,,,未单列直接农业生产收入；工业及其他及商业主营表外未分类收入残差仅作上界,,0.00,1417524530.94,下界=0；上界=合并收入17432792405.09-商业零售16015267874.15=1417524530.94,0,0.0813136815950445988607782073856761424180619758365311883707200,未单列初加工、农业投入品或生产性服务收入；工业及其他及商业主营表外未分类收入残差仅作上界,,0.00,1417524530.94,下界=0；上界=合并收入17432792405.09-商业零售16015267874.15=1417524530.94,0,0.0813136815950445988607782073856761424180619758365311883707200,17432792405.09,13378244447.89,合并利润表营业收入,0.00,375399023.98,0.00,375399023.98,,,工业及其他及商业主营表外未分类收入残差,1417524530.94,375399023.98,生鲜、食品化洗、百货等商业零售,16015267874.15,13002845423.91,收入决定纳入范围；同维度成本仅作反向核对，不用成本率推算或拆分收入,否,否,否,商业零售为行业维度排除项；仅以合并收入减商业收入形成互斥残差，不叠加生鲜产品或采购金额,公司主营为连锁商超零售；销售生鲜商品不等于从事农业生产，采购额亦不替代涉农收入。,工业及其他和商业主营表外收入未拆具体性质，仅作上界；上界低于30%。,13|14,82,2020执行新收入准则后联营业务按净额法确认；统一采用当年合并利润表收入和当年披露商业收入，不采用总额法可比数,https://static.cninfo.com.cn/finalpage/2022-04-30/1213272241.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批W组（未合并）,已人工复核（第十九批W组；主表未合并）,2026-08-11
603708,家家悦集团股份有限公司,2022,待核实,待核实,未单列直接农业生产收入；工业及其他及商业主营表外未分类收入残差仅作上界,,0.00,1460929539.81,下界=0；上界=合并收入18183817809.52-商业零售16722888269.71=1460929539.81,0,0.0803422886829157192577370827300272978103718199840992838011924,未单列初加工、农业投入品或生产性服务收入；工业及其他及商业主营表外未分类收入残差仅作上界,,0.00,1460929539.81,下界=0；上界=合并收入18183817809.52-商业零售16722888269.71=1460929539.81,0,0.0803422886829157192577370827300272978103718199840992838011924,18183817809.52,13955708440.43,合并利润表营业收入,0.00,402083974.36,0.00,402083974.36,,,工业及其他及商业主营表外未分类收入残差,1460929539.81,402083974.36,生鲜、食品化洗、百货等商业零售,16722888269.71,13553624466.07,收入决定纳入范围；同维度成本仅作反向核对，不用成本率推算或拆分收入,否,否,否,商业零售为行业维度排除项；仅以合并收入减商业收入形成互斥残差，不叠加生鲜产品或采购金额,公司主营为连锁商超零售；销售生鲜商品不等于从事农业生产，采购额亦不替代涉农收入。,工业及其他和商业主营表外收入未拆具体性质，仅作上界；上界低于30%。2022行业分类字段仍待核实。,13|14,79,2020执行新收入准则后联营业务按净额法确认；统一采用当年合并利润表收入和当年披露商业收入，不采用总额法可比数,https://static.cninfo.com.cn/finalpage/2023-07-27/1217394123.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批W组（未合并）,已人工复核（第十九批W组；主表未合并）,2026-08-11
