股票代码,公司全称,年份,行业分类代码,行业分类名称,直接涉农业务_保守不重叠口径,直接涉农业务营业收入_元,公司营业收入_元,直接涉农收入占比,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,复核说明,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,记录类型,复核日期
002458,山东益生种畜禽股份有限公司,2015,3.0,畜牧业,鸡、猪、牛奶,592871066.56,604290341.75,0.98110300,是,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,仅合计同一分行业维度的鸡、猪和牛奶收入，排除其他及农牧设备；直接畜牧业务保守占比超过50%。,12,61,https://static.cninfo.com.cn/finalpage/2016-04-26/1202240523.PDF,本次新增跨年快速复核,2026-08-10
002458,山东益生种畜禽股份有限公司,2018,3.0,畜牧业,鸡、猪、牛奶,1453310378.71,1473118954.89,0.98655331,是,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,仅合计同一分行业维度的鸡、猪和牛奶收入，排除其他及农牧设备；直接畜牧业务保守占比超过50%。,16,68,https://static.cninfo.com.cn/finalpage/2019-02-20/1205842282.PDF,本次新增跨年快速复核,2026-08-10
002458,山东益生种畜禽股份有限公司,2020,3.0,畜牧业,鸡、猪、牛奶,1574681582.79,1751036372.39,0.89928548,是,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,仅合计同一分行业维度的鸡、猪和牛奶收入，排除其他及农牧设备；直接畜牧业务保守占比超过50%。,19,80,https://static.cninfo.com.cn/finalpage/2021-03-03/1209324835.PDF,本次新增跨年快速复核,2026-08-10
002679,福建金森林业股份有限公司,2013,2.0,林业,木材、种苗及林业经济作物（主营业务合计）,165084179.62,174263656.50,0.94732420,是,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,直接林业收入保守占比超过50%；未叠加其他披露维度。,17,69,https://static.cninfo.com.cn/finalpage/2014-04-23/63896122.PDF,本次新增跨年快速复核,2026-08-10
002679,福建金森林业股份有限公司,2014,2.0,林业,木材、种苗及林业经济作物（主营业务合计）,176193042.60,190206399.58,0.92632552,是,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,直接林业收入保守占比超过50%；未叠加其他披露维度。,15,72,https://static.cninfo.com.cn/finalpage/2015-04-17/1200848813.PDF,本次新增跨年快速复核,2026-08-10
002679,福建金森林业股份有限公司,2015,2.0,林业,林业,150873376.60,198786732.91,0.75897106,是,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,直接林业收入保守占比超过50%；未叠加其他披露维度。,13,76,https://static.cninfo.com.cn/finalpage/2016-04-23/1202230093.PDF,本次新增跨年快速复核,2026-08-10
002679,福建金森林业股份有限公司,2016,2.0,林业,林业,113484097.38,137628739.26,0.82456686,是,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,直接林业收入保守占比超过50%；未叠加其他披露维度。,12,70,https://static.cninfo.com.cn/finalpage/2017-04-26/1203388813.PDF,本次新增跨年快速复核,2026-08-10
002679,福建金森林业股份有限公司,2017,2.0,林业,林业,134301043.21,174898144.88,0.76788146,是,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,直接林业收入保守占比超过50%；未叠加其他披露维度。,13,75,https://static.cninfo.com.cn/finalpage/2018-04-27/1204806149.PDF,本次新增跨年快速复核,2026-08-10
002679,福建金森林业股份有限公司,2018,2.0,林业,林业（不含林业技术服务）,148704712.08,168492923.19,0.88255761,是,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,直接林业收入保守占比超过50%；未叠加其他披露维度。,11,77,https://static.cninfo.com.cn/finalpage/2019-04-25/1206091379.PDF,本次新增跨年快速复核,2026-08-10
002679,福建金森林业股份有限公司,2019,2.0,林业,林业,122658320.60,128552232.82,0.95415162,是,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,直接林业收入保守占比超过50%；未叠加其他披露维度。,11,16|79,https://static.cninfo.com.cn/finalpage/2020-04-29/1207666531.PDF,本次新增跨年快速复核,2026-08-10
002679,福建金森林业股份有限公司,2020,2.0,林业,林业,141538235.09,148031923.45,0.95613319,是,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,直接林业收入保守占比超过50%；未叠加其他披露维度。,11,16|76,https://static.cninfo.com.cn/finalpage/2021-04-29/1209848726.PDF,本次新增跨年快速复核,2026-08-10
002679,福建金森林业股份有限公司,2021,2.0,林业,林业（原木等直接林业业务）,189886506.97,189886506.97,1.00000000,是,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,直接林业收入保守占比超过50%；未叠加其他披露维度。,13,17|77,https://static.cninfo.com.cn/finalpage/2022-04-30/1213253319.PDF,本次新增跨年快速复核,2026-08-10
002746,山东仙坛集团股份有限公司,2015,3.0,畜牧业,肉鸡养殖及屠宰加工,1755788002.76,1755788002.76,1.00000000,否,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,肉鸡养殖与屠宰加工合并行业收入达到50%；该合并口径含屠宰初加工，不能据此证明直接养殖收入达到50%，故仅纳入扩展样本。,18,80,https://static.cninfo.com.cn/finalpage/2016-04-16/1202185525.PDF,本次新增跨年快速复核,2026-08-10
002746,山东仙坛集团股份有限公司,2016,3.0,畜牧业,肉鸡养殖及屠宰加工,2095018758.69,2095018758.69,1.00000000,否,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,肉鸡养殖与屠宰加工合并行业收入达到50%；该合并口径含屠宰初加工，不能据此证明直接养殖收入达到50%，故仅纳入扩展样本。,18,83,https://static.cninfo.com.cn/finalpage/2017-04-28/1203410675.PDF,本次新增跨年快速复核,2026-08-10
002746,山东仙坛集团股份有限公司,2017,3.0,畜牧业,肉鸡养殖及屠宰加工,2164000029.75,2164000029.75,1.00000000,否,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,肉鸡养殖与屠宰加工合并行业收入达到50%；该合并口径含屠宰初加工，不能据此证明直接养殖收入达到50%，故仅纳入扩展样本。,18,81,https://static.cninfo.com.cn/finalpage/2018-04-24/1204695928.PDF,本次新增跨年快速复核,2026-08-10
002746,山东仙坛集团股份有限公司,2018,3.0,畜牧业,肉鸡养殖及屠宰加工,2577797691.84,2577797691.84,1.00000000,否,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,肉鸡养殖与屠宰加工合并行业收入达到50%；该合并口径含屠宰初加工，不能据此证明直接养殖收入达到50%，故仅纳入扩展样本。,18,81,https://static.cninfo.com.cn/finalpage/2019-04-23/1206066951.PDF,本次新增跨年快速复核,2026-08-10
002746,山东仙坛集团股份有限公司,2019,3.0,畜牧业,肉鸡养殖及屠宰加工,3533387137.43,3533387137.43,1.00000000,否,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,肉鸡养殖与屠宰加工合并行业收入达到50%；该合并口径含屠宰初加工，不能据此证明直接养殖收入达到50%，故仅纳入扩展样本。,18,89,https://static.cninfo.com.cn/finalpage/2020-03-24/1207393304.PDF,本次新增跨年快速复核,2026-08-10
002746,山东仙坛集团股份有限公司,2020,3.0,畜牧业,肉鸡养殖及屠宰加工,3188320694.09,3188320694.09,1.00000000,否,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,肉鸡养殖与屠宰加工合并行业收入达到50%；该合并口径含屠宰初加工，不能据此证明直接养殖收入达到50%，故仅纳入扩展样本。,22,95,https://static.cninfo.com.cn/finalpage/2021-03-30/1209473048.PDF,本次新增跨年快速复核,2026-08-10
002746,山东仙坛集团股份有限公司,2021,,,肉鸡养殖及屠宰加工,3311775720.74,3311775720.74,1.00000000,否,是,否,否（仅取同一分行业或分产品维度；采用保守分子）,肉鸡养殖与屠宰加工合并行业收入达到50%；该合并口径含屠宰初加工，不能据此证明直接养殖收入达到50%，故仅纳入扩展样本。,22,92,https://static.cninfo.com.cn/finalpage/2022-04-26/1213098650.PDF,本次新增跨年快速复核,2026-08-10
