股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业收入公式,液态或液体乳收入_元_初加工候选或上界,液态或液体乳成本_元_反向证据,农业生产候选收入上界_元,农业相关成本_元_反向证据,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,收入分项证据PDF页序号,公司营业收入证据PDF页序号,年报链接,记录类型,复核状态,复核日期
600429,北京三元食品股份有限公司,2019,待核实,待核实,当年未披露可识别的合并外部农业生产收入,0.00,0.00,0.00,下界=上界=0（当年未单列畜牧业外部收入；其他业务收入不属于农业证据）,0,0,液态奶大类混合纯奶、发酵奶等产品，仅作扩展上界,,0.00,4559010613.28,下界=0；上界=液态奶4559010613.28,0,0.559339073706904883878473422231297920676744518390819560941607,8150710056.90,合并利润表‘营业收入’（非自行汇总分部收入）,4559010613.28,3235798700.69,0.00,,采用营业收入列；成本仅作反向证据，未进入分子,否,待核实,待核实,存在潜在口径重叠；内部原奶不与乳制品成品收入相加，上下界采用同一产品/行业层级,"严格区间[0, 0]；扩展区间[0, 0.559339073706904883878473422231297920676744518390819560941607]。液态奶未拆原奶初加工与发酵等深加工，扩展正式分子留空；固态奶、冰淇淋、涂抹酱不计入。排除营业收入与主营业务收入的差额（其他业务收入）73198446.58：该值不是畜牧业披露，2020年报还明示当年差额与主营业务无关。",需取得产品明细或分部附注明确外销自产原奶、初加工乳品、深加工乳品及贸易收入；未拆分前不得按上界写入正式分子。,11|12,74,https://static.cninfo.com.cn/finalpage/2020-04-25/1207611026.PDF,跨年快速复核第十三批F组（未合并）,已人工复核（第十三批F组；主表未合并）,2026-08-11
600429,北京三元食品股份有限公司,2020,待核实,待核实,当年未披露可识别的合并外部农业生产收入,0.00,0.00,0.00,下界=上界=0（当年未单列畜牧业外部收入；其他业务收入不属于农业证据）,0,0,液态奶大类混合纯奶、发酵奶等产品，仅作扩展上界,,0.00,4308134165.95,下界=0；上界=液态奶4308134165.95,0,0.585874104458771897545006072540258685088499714921564677311719,7353344572.09,合并利润表‘营业收入’（非自行汇总分部收入）,4308134165.95,3582532203.63,0.00,,采用营业收入列；成本仅作反向证据，未进入分子,否,待核实,待核实,存在潜在口径重叠；内部原奶不与乳制品成品收入相加，上下界采用同一产品/行业层级,"严格区间[0, 0]；扩展区间[0, 0.585874104458771897545006072540258685088499714921564677311719]。液态奶未拆原奶初加工与发酵等深加工，扩展正式分子留空；固态奶、冰淇淋、涂抹酱不计入。排除营业收入与主营业务收入的差额（其他业务收入）65446370.85：该值不是畜牧业披露，2020年报还明示当年差额与主营业务无关。",需取得产品明细或分部附注明确外销自产原奶、初加工乳品、深加工乳品及贸易收入；未拆分前不得按上界写入正式分子。,12|13,69,https://static.cninfo.com.cn/finalpage/2021-04-24/1209791390.PDF,跨年快速复核第十三批F组（未合并）,已人工复核（第十三批F组；主表未合并）,2026-08-11
600429,北京三元食品股份有限公司,2021,待核实,待核实,当年未披露可识别的合并外部农业生产收入,0.00,0.00,0.00,下界=上界=0（当年未单列畜牧业外部收入；其他业务收入不属于农业证据）,0,0,液态奶大类混合纯奶、发酵奶等产品，仅作扩展上界,,0.00,4775039226.99,下界=0；上界=液态奶4775039226.99,0,0.617670413595113255533047281565346130236922023754027135460450,7730723573.43,合并利润表‘营业收入’（非自行汇总分部收入）,4775039226.99,3813873390.98,0.00,,采用营业收入列；成本仅作反向证据，未进入分子,否,待核实,待核实,存在潜在口径重叠；内部原奶不与乳制品成品收入相加，上下界采用同一产品/行业层级,"严格区间[0, 0]；扩展区间[0, 0.617670413595113255533047281565346130236922023754027135460450]。液态奶未拆原奶初加工与发酵等深加工，扩展正式分子留空；固态奶、冰淇淋、涂抹酱不计入。排除营业收入与主营业务收入的差额（其他业务收入）98120748.85：该值不是畜牧业披露，2020年报还明示当年差额与主营业务无关。",需取得产品明细或分部附注明确外销自产原奶、初加工乳品、深加工乳品及贸易收入；未拆分前不得按上界写入正式分子。,13,76,https://static.cninfo.com.cn/finalpage/2022-04-22/1213029774.PDF,跨年快速复核第十三批F组（未合并）,已人工复核（第十三批F组；主表未合并）,2026-08-11
600429,北京三元食品股份有限公司,2022,待核实,待核实,畜牧业外部收入未拆分自产原奶与饲料/贸易，仅作严格上界,,0.00,794162778.71,下界=0；上界=畜牧业794162778.71（原奶与饲料/贸易未拆）,0,0.0992388353379337839617663049123591230325541009063674210695454,液态奶大类混合纯奶、发酵奶等产品，仅作扩展上界,,0.00,5451535657.73,下界=0；上界=畜牧业794162778.71+液态奶4657372879.02,0,0.681225642877802831658216280372706995243510198942502272142792,8002540295.90,合并利润表‘营业收入’（非自行汇总分部收入）,4657372879.02,3420258309.08,794162778.71,787842339.39,采用营业收入列；成本仅作反向证据，未进入分子,否,待核实,待核实,存在潜在口径重叠；内部原奶不与乳制品成品收入相加，上下界采用同一产品/行业层级,"严格区间[0, 0.0992388353379337839617663049123591230325541009063674210695454]；扩展区间[0, 0.681225642877802831658216280372706995243510198942502272142792]。液态奶未拆原奶初加工与发酵等深加工，扩展正式分子留空；固态奶、冰淇淋、涂抹酱不计入。",需取得产品明细或分部附注明确外销自产原奶、初加工乳品、深加工乳品及贸易收入；未拆分前不得按上界写入正式分子。,18|19,94,https://static.cninfo.com.cn/finalpage/2023-04-27/1216625021.PDF,跨年快速复核第十三批F组（未合并）,已人工复核（第十三批F组；主表未合并）,2026-08-11
600597,光明乳业股份有限公司,2014,待核实,待核实,年报未单列牧业或可识别的合并外部农业生产收入,0.00,0.00,0.00,下界=上界=0（年报未披露牧业收入；算术残差及‘其他’均排除）,0,0,液态奶混合鲜奶、酸奶、常温奶及乳饮料，仅作扩展上界,,0.00,15090409419.00,下界=0；上界=液态奶15090409419,0,0.740268021407736641604649202626435413027308793785773955987639,20385061873.00,合并利润表‘营业收入’（非自行汇总分部收入）,15090409419,8665017889,0.00,,采用营业收入列；成本仅作反向证据，未进入分子,否,待核实,待核实,存在潜在口径重叠；内部原奶不与乳制品成品收入相加，上下界采用同一产品/行业层级,"严格区间[0, 0]；扩展区间[0, 0.740268021407736641604649202626435413027308793785773955987639]。液态奶未拆初深加工，不直接写入正式分子。总收入减液态奶及其他乳制品的算术残差1311410342不是牧业披露；年报‘其他’1156478482也无农业属性证据，二者均排除。",需取得产品明细或分部附注明确外销自产原奶、初加工乳品、深加工乳品及贸易收入；未拆分前不得按上界写入正式分子。,12,51,https://static.cninfo.com.cn/finalpage/2015-03-28/1200756228.PDF,跨年快速复核第十三批F组（未合并）,已人工复核（第十三批F组；主表未合并）,2026-08-11
600597,光明乳业股份有限公司,2015,待核实,待核实,自有牧场原奶与农牧产品/饲料贸易未拆，已披露牧业类仅作上界,,0.00,1615274783.00,下界=0；上界=牧业1615274783（含潜在农牧产品/饲料贸易）,0,0.0833767970169885003187842081477692055858518222191221493012583,液态奶混合鲜奶、酸奶、常温奶及乳饮料，仅作扩展上界,,0.00,15880859555.00,下界=0；上界=牧业1615274783+液态奶14265584772,0,0.819733718069526330624753359965385803006641925457897331913603,19373193032.00,合并利润表‘营业收入’（非自行汇总分部收入）,14265584772,8010074885,1615274783.00,1456323528,采用营业收入列；成本仅作反向证据，未进入分子,否,待核实,待核实,存在潜在口径重叠；内部原奶不与乳制品成品收入相加，上下界采用同一产品/行业层级,"严格区间[0, 0.0833767970169885003187842081477692055858518222191221493012583]；扩展区间[0, 0.819733718069526330624753359965385803006641925457897331913603]。液态奶未拆初深加工，不直接写入正式分子。年报明确部分年度牧业收入含农牧产品贸易，牧业类也不直接写入正式分子。",需取得产品明细或分部附注明确外销自产原奶、初加工乳品、深加工乳品及贸易收入；未拆分前不得按上界写入正式分子。,9|10,43,https://static.cninfo.com.cn/finalpage/2016-04-19/1202197697.PDF,跨年快速复核第十三批F组（未合并）,已人工复核（第十三批F组；主表未合并）,2026-08-11
600597,光明乳业股份有限公司,2018,待核实,待核实,自有牧场原奶与农牧产品/饲料贸易未拆，已披露牧业类仅作上界,,0.00,2382422630.00,下界=0；上界=牧业2382422630（含潜在农牧产品/饲料贸易）,0,0.113526757676056795478862389157724126267099746001264731153071,液态奶混合鲜奶、酸奶、常温奶及乳饮料，仅作扩展上界,,0.00,14812468094.00,下界=0；上界=牧业2382422630+液态奶12430045464,0,0.705840959835015028698972940336534728930711302704188095229917,20985560398.00,合并利润表‘营业收入’（非自行汇总分部收入）,12430045464,6828891535,2382422630.00,2140837169,采用营业收入列；成本仅作反向证据，未进入分子,否,待核实,待核实,存在潜在口径重叠；内部原奶不与乳制品成品收入相加，上下界采用同一产品/行业层级,"严格区间[0, 0.113526757676056795478862389157724126267099746001264731153071]；扩展区间[0, 0.705840959835015028698972940336534728930711302704188095229917]。液态奶未拆初深加工，不直接写入正式分子。年报明确部分年度牧业收入含农牧产品贸易，牧业类也不直接写入正式分子。",需取得产品明细或分部附注明确外销自产原奶、初加工乳品、深加工乳品及贸易收入；未拆分前不得按上界写入正式分子。,11|12,50,https://static.cninfo.com.cn/finalpage/2019-03-26/1205938085.PDF,跨年快速复核第十三批F组（未合并）,已人工复核（第十三批F组；主表未合并）,2026-08-11
600597,光明乳业股份有限公司,2019,待核实,待核实,自有牧场原奶与农牧产品/饲料贸易未拆，已披露牧业类仅作上界,,0.00,1669266858.00,下界=0；上界=牧业1669266858（含潜在农牧产品/饲料贸易）,0,0.0739817106645952276391785541538795298676424356152125178826720,液态奶混合鲜奶、酸奶、常温奶及乳饮料，仅作扩展上界,,0.00,15470959360.00,下界=0；上界=牧业1669266858+液态奶13801692502,0,0.685671097817501482831021470563593609020303391427165962415634,22563236819.00,合并利润表‘营业收入’（非自行汇总分部收入）,13801692502,8108866369,1669266858.00,1464010025,采用营业收入列；成本仅作反向证据，未进入分子,否,待核实,待核实,存在潜在口径重叠；内部原奶不与乳制品成品收入相加，上下界采用同一产品/行业层级,"严格区间[0, 0.0739817106645952276391785541538795298676424356152125178826720]；扩展区间[0, 0.685671097817501482831021470563593609020303391427165962415634]。液态奶未拆初深加工，不直接写入正式分子。年报明确部分年度牧业收入含农牧产品贸易，牧业类也不直接写入正式分子。",需取得产品明细或分部附注明确外销自产原奶、初加工乳品、深加工乳品及贸易收入；未拆分前不得按上界写入正式分子。,11|12,52,https://static.cninfo.com.cn/finalpage/2020-04-21/1207542401.PDF,跨年快速复核第十三批F组（未合并）,已人工复核（第十三批F组；主表未合并）,2026-08-11
600597,光明乳业股份有限公司,2020,待核实,待核实,自有牧场原奶与农牧产品/饲料贸易未拆，已披露牧业类仅作上界,,0.00,2026991952.00,下界=0；上界=牧业2026991952（含潜在农牧产品/饲料贸易）,0,0.0803637465026513156271570726690710259255353341594220607098914,液态奶混合鲜奶、酸奶、常温奶及乳饮料，仅作扩展上界,,0.00,16295875101.00,下界=0；上界=牧业2026991952+液态奶14268883149,0,0.646079316873198618804126924290798636668912009584654100132525,25222715966.00,合并利润表‘营业收入’（非自行汇总分部收入）,14268883149,9405892312,2026991952.00,1797049024,采用营业收入列；成本仅作反向证据，未进入分子,否,待核实,待核实,存在潜在口径重叠；内部原奶不与乳制品成品收入相加，上下界采用同一产品/行业层级,"严格区间[0, 0.0803637465026513156271570726690710259255353341594220607098914]；扩展区间[0, 0.646079316873198618804126924290798636668912009584654100132525]。液态奶未拆初深加工，不直接写入正式分子。年报明确部分年度牧业收入含农牧产品贸易，牧业类也不直接写入正式分子。",需取得产品明细或分部附注明确外销自产原奶、初加工乳品、深加工乳品及贸易收入；未拆分前不得按上界写入正式分子。,13,57,https://static.cninfo.com.cn/finalpage/2021-03-30/1209473510.PDF,跨年快速复核第十三批F组（未合并）,已人工复核（第十三批F组；主表未合并）,2026-08-11
600597,光明乳业股份有限公司,2021,待核实,待核实,自有牧场原奶与农牧产品/饲料贸易未拆，已披露牧业类仅作上界,,0.00,2289551805.00,下界=0；上界=牧业2289551805（含潜在农牧产品/饲料贸易）,0,0.0783932202894355223729673684058327918119032634423038713156364,液态奶混合鲜奶、酸奶、常温奶及乳饮料，仅作扩展上界,,0.00,19390510119.00,下界=0；上界=牧业2289551805+液态奶17100958314,0,0.663922313512925996173768450340917989514865148214943312636126,29205992515.00,合并利润表‘营业收入’（非自行汇总分部收入）,17100958314,12458225574,2289551805.00,2222630389,采用营业收入列；成本仅作反向证据，未进入分子,否,待核实,待核实,存在潜在口径重叠；内部原奶不与乳制品成品收入相加，上下界采用同一产品/行业层级,"严格区间[0, 0.0783932202894355223729673684058327918119032634423038713156364]；扩展区间[0, 0.663922313512925996173768450340917989514865148214943312636126]。液态奶未拆初深加工，不直接写入正式分子。年报明确部分年度牧业收入含农牧产品贸易，牧业类也不直接写入正式分子。",需取得产品明细或分部附注明确外销自产原奶、初加工乳品、深加工乳品及贸易收入；未拆分前不得按上界写入正式分子。,16|17,83,https://static.cninfo.com.cn/finalpage/2022-03-29/1212709644.PDF,跨年快速复核第十三批F组（未合并）,已人工复核（第十三批F组；主表未合并）,2026-08-11
