股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业收入公式,直接农业收入_元,确认初加工收入_元,直接农业成本_元_反向证据,确认初加工成本_元_反向证据,食用植物油混合大类收入_元_扩展上界,食用植物油混合大类成本_元_反向证据,食用植物油混合大类制造成本_元_反向证据,未拆其他营业收入上界增量_元,未拆其他营业成本_元_反向证据,未拆其他制造成本_元_反向证据,深加工或混合类别,深加工或混合类别收入_元_反向证据,深加工或混合类别成本_元_反向证据,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
002582,好想你健康食品股份有限公司,2019,待核实,待核实,未单列公司自营种植或其他直接农业收入,,0.00,796344820.20,下界=0；上界=混合红枣类734812453.66+未拆其他业务61532366.54=796344820.20,0,0.133588712257265037961095190882384135468850516388526530557172,红枣类混合类别（可能含原枣初加工，也含枣类休闲食品深加工）,,0.00,796344820.20,下界=0；上界=混合红枣类734812453.66+未拆其他业务61532366.54=796344820.20,0,0.133588712257265037961095190882384135468850516388526530557172,5961168475.57,合并利润表营业收入,0.00,0.00,0.00,0.00,,,,61532366.54,50815470.18,,红枣类（初加工与枣类休闲食品深加工混合类别）,734812453.66,490717617.99,红枣类对应成本490717617.99；其他业务成本50815470.18，仅作反向核对,否,否,否,产品维度与主营/其他业务维度不机械相加；上界只加互斥的其他业务，原料基地和采购均不作收入,公司采购红枣及设原料基地不等于公司农业生产收入；2014—2015单列原枣类按扩展初加工纳入，后续混合红枣类别不能拆分。,"红枣类未拆原枣初加工与休闲食品深加工；其他业务亦未拆，均仅作上界。 管理层产品表列其他业务61,493,991.41元，其主营产品小计5,899,674,484.16元；审计附注/营业收入扣除表列其他业务61,532,366.54元、主营业务5,899,636,109.03元，两端均差38,375.13元；采用审计附注数。",16|17,92,https://static.cninfo.com.cn/finalpage/2020-04-25/1207607568.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批P组（未合并）,已人工复核（第十六批P组；主表未合并）,2026-08-11
002582,好想你健康食品股份有限公司,2020,待核实,待核实,未单列公司自营种植或其他直接农业收入,,0.00,714509569.01,下界=0；上界=混合红枣及相关类665709589.37+未拆其他业务48799979.64=714509569.01,0,0.238060692102553002539559019170211695002086253252059768284409,红枣及相关类混合类别（可能含原枣初加工，也含枣类休闲食品深加工）,,0.00,714509569.01,下界=0；上界=混合红枣及相关类665709589.37+未拆其他业务48799979.64=714509569.01,0,0.238060692102553002539559019170211695002086253252059768284409,3001375668.95,合并利润表营业收入,0.00,0.00,0.00,0.00,,,,48799979.64,46482534.71,,红枣及相关类（初加工与枣类休闲食品深加工混合类别）,665709589.37,470407959.64,红枣及相关类对应成本470407959.64；其他业务成本46482534.71，仅作反向核对,否,否,否,产品维度与主营/其他业务维度不机械相加；上界只加互斥的其他业务，原料基地和采购均不作收入,公司采购红枣及设原料基地不等于公司农业生产收入；2014—2015单列原枣类按扩展初加工纳入，后续混合红枣类别不能拆分。,红枣及相关类未拆原枣初加工与休闲食品深加工；其他业务亦未拆，均仅作上界。,19|20|21,94,https://static.cninfo.com.cn/finalpage/2021-04-29/1209855515.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批P组（未合并）,已人工复核（第十六批P组；主表未合并）,2026-08-11
002582,好想你健康食品股份有限公司,2021,待核实,待核实,未单列公司自营种植或其他直接农业收入,,0.00,1030965900.22,下界=0；上界=混合红枣及相关类984559606.51+未拆其他业务46406293.71=1030965900.22,0,0.804736245164622902171706050221858350099931342950582687959930,红枣及相关类混合类别（可能含原枣初加工，也含枣类休闲食品深加工）,,0.00,1030965900.22,下界=0；上界=混合红枣及相关类984559606.51+未拆其他业务46406293.71=1030965900.22,0,0.804736245164622902171706050221858350099931342950582687959930,1281122736.07,合并利润表营业收入,0.00,0.00,0.00,0.00,,,,46406293.71,36522847.98,,红枣及相关类（初加工与枣类休闲食品深加工混合类别）,984559606.51,711704998.00,红枣及相关类对应成本711704998.00；其他业务成本36522847.98，仅作反向核对,待核实,待核实,待核实,产品维度与主营/其他业务维度不机械相加；上界只加互斥的其他业务，原料基地和采购均不作收入,公司采购红枣及设原料基地不等于公司农业生产收入；2014—2015单列原枣类按扩展初加工纳入，后续混合红枣类别不能拆分。,红枣及相关类未拆原枣初加工与休闲食品深加工；其他业务亦未拆，均仅作上界。,20|21,88,https://static.cninfo.com.cn/finalpage/2022-04-29/1213207137.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批P组（未合并）,已人工复核（第十六批P组；主表未合并）,2026-08-11
002582,好想你健康食品股份有限公司,2022,待核实,待核实,未单列公司自营种植或其他直接农业收入,,0.00,1015509394.29,下界=0；上界=混合红枣及相关类955215978.76+未拆其他业务60293415.53=1015509394.29,0,0.725109707115198816195509591351533182230921305190173564263637,红枣及相关类混合类别（可能含原枣初加工，也含枣类休闲食品深加工）,,0.00,1015509394.29,下界=0；上界=混合红枣及相关类955215978.76+未拆其他业务60293415.53=1015509394.29,0,0.725109707115198816195509591351533182230921305190173564263637,1400490690.34,合并利润表营业收入,0.00,0.00,0.00,0.00,,,,60293415.53,52110644.84,,红枣及相关类（初加工与枣类休闲食品深加工混合类别）,955215978.76,698859945.63,红枣及相关类对应成本698859945.63；其他业务成本52110644.84，仅作反向核对,待核实,待核实,待核实,产品维度与主营/其他业务维度不机械相加；上界只加互斥的其他业务，原料基地和采购均不作收入,公司采购红枣及设原料基地不等于公司农业生产收入；2014—2015单列原枣类按扩展初加工纳入，后续混合红枣类别不能拆分。,红枣及相关类未拆原枣初加工与休闲食品深加工；其他业务亦未拆，均仅作上界。,21|22,93,https://static.cninfo.com.cn/finalpage/2023-04-28/1216661557.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批P组（未合并）,已人工复核（第十六批P组；主表未合并）,2026-08-11
002650,加加食品集团股份有限公司,2014,待核实,待核实,未单列直接农业生产收入,,0.00,52951308.48,下界=0；上界=未拆产品其他52951308.48,0,0.0314297604818886876370443511280259375845560472722404027856385,未单列可确认农产品初加工或农业投入品收入；产品“其他”仅作上界,,0.00,52951308.48,下界=0；上界=未拆产品其他52951308.48,0,0.0314297604818886876370443511280259375845560472722404027856385,1684750620.69,合并利润表营业收入,0.00,0.00,0.00,0.00,,,,52951308.48,,41682358.62,酱油、味精、食醋、鸡精等深加工食品（食用植物油混合大类另列扩展上界）,1631799312.21,,产品其他仅取得制造成本表成本41682358.62；2014植物油维持排除，不以成本比例拆分收入,否,否,否,产品维度覆盖营业收入，仅取产品“其他”作上界；不再叠加行业维度“其他”,调味品属于深加工；2015年后食用植物油大类同时存在精炼/分装与茶籽油项目、压榨花生油等初加工候选，不能整体确认为初加工。,产品“其他”未拆业务性质。,16,72,https://static.cninfo.com.cn/finalpage/2015-03-20/1200719958.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批P组（未合并）,已人工复核（第十六批P组；主表未合并）,2026-08-11
002650,加加食品集团股份有限公司,2015,待核实,待核实,未单列直接农业生产收入,,0.00,84351458.49,下界=0；上界=未拆产品其他84351458.49,0,0.0480632695374847170531016441670592728578507990109130190394410,食用植物油混合大类（含茶籽油项目/压榨花生油初加工候选）及产品“其他”，仅作扩展上界,,0.00,587821024.42,下界=0；上界=食用植物油混合大类503469565.93+产品其他84351458.49=587821024.42,0,0.334939085135655796865736589265074358883941542077186834084808,1755008747.88,合并利润表营业收入,0.00,0.00,0.00,0.00,503469565.93,441126730.67,445042934.46,84351458.49,,60310645.68,酱油、味精、食醋、鸡精等深加工食品（食用植物油混合大类另列扩展上界）,1167187723.46,,食用植物油摘要成本441126730.67、制造成本表成本445042934.46；产品其他仅取得制造成本表成本60310645.68。摘要与制造成本表口径差异单列，不跨口径倒算或按成本比例拆分收入,否,否,是,产品维度覆盖营业收入，仅取产品“其他”作上界；不再叠加行业维度“其他”,调味品属于深加工；2015年后食用植物油大类同时存在精炼/分装与茶籽油项目、压榨花生油等初加工候选，不能整体确认为初加工。,食用植物油未拆初加工与精炼/分装收入，产品“其他”亦未拆，均只作扩展上界。,13|14|15,83,https://static.cninfo.com.cn/finalpage/2016-04-22/1202217500.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批P组（未合并）,已人工复核（第十六批P组；主表未合并）,2026-08-11
002650,加加食品集团股份有限公司,2018,待核实,待核实,未单列直接农业生产收入,,0.00,94003840.40,下界=0；上界=未拆产品其他94003840.40,0,0.0525626813889634526090684075597474693766819716755780834196498,食用植物油混合大类（含茶籽油项目/压榨花生油初加工候选）及产品“其他”，仅作扩展上界,,0.00,612771399.68,下界=0；上界=食用植物油混合大类518767559.28+产品其他94003840.40=612771399.68,0,0.342633957385096591858221528162748870388569241239915311483281,1788414097.53,合并利润表营业收入,0.00,0.00,0.00,0.00,518767559.28,471304692.10,471304692.10,94003840.40,,65051319.98,酱油、味精、食醋、鸡精等深加工食品（食用植物油混合大类另列扩展上界）,1175642697.85,,食用植物油摘要成本471304692.10、制造成本表成本471304692.10；产品其他仅取得制造成本表成本65051319.98。摘要与制造成本表口径差异单列，不跨口径倒算或按成本比例拆分收入,否,否,是,产品维度覆盖营业收入，仅取产品“其他”作上界；不再叠加行业维度“其他”,调味品属于深加工；2015年后食用植物油大类同时存在精炼/分装与茶籽油项目、压榨花生油等初加工候选，不能整体确认为初加工。,食用植物油未拆初加工与精炼/分装收入，产品“其他”亦未拆，均只作扩展上界。,13|14|15,93,https://static.cninfo.com.cn/finalpage/2019-04-26/1206098722.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批P组（未合并）,已人工复核（第十六批P组；主表未合并）,2026-08-11
002650,加加食品集团股份有限公司,2019,待核实,待核实,未单列直接农业生产收入,,0.00,138121243.78,下界=0；上界=未拆产品其他138121243.78,0,0.0677146969110494260219215222188875270414962361823889508033858,食用植物油混合大类（含茶籽油项目/压榨花生油初加工候选）及产品“其他”，仅作扩展上界,,0.00,747242703.20,下界=0；上界=食用植物油混合大类609121459.42+产品其他138121243.78=747242703.20,0,0.366339831451098326110288236799863965163974474727641117047967,2039752817.05,合并利润表营业收入,0.00,0.00,0.00,0.00,609121459.42,531319509.12,531319509.12,138121243.78,,92223023.37,酱油、味精、食醋、鸡精等深加工食品（食用植物油混合大类另列扩展上界）,1292510113.85,,食用植物油摘要成本531319509.12、制造成本表成本531319509.12；产品其他仅取得制造成本表成本92223023.37。摘要与制造成本表口径差异单列，不跨口径倒算或按成本比例拆分收入,否,否,是,产品维度覆盖营业收入，仅取产品“其他”作上界；不再叠加行业维度“其他”,调味品属于深加工；2015年后食用植物油大类同时存在精炼/分装与茶籽油项目、压榨花生油等初加工候选，不能整体确认为初加工。,食用植物油未拆初加工与精炼/分装收入，产品“其他”亦未拆，均只作扩展上界。,15|16,106,https://static.cninfo.com.cn/finalpage/2020-07-11/1208023957.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批P组（未合并）,已人工复核（第十六批P组；主表未合并）,2026-08-11
002650,加加食品集团股份有限公司,2020,待核实,待核实,未单列直接农业生产收入,,0.00,148253906.40,下界=0；上界=未拆产品其他148253906.40,0,0.0715287240744212142813963415532278146447492530576513854690793,食用植物油混合大类（含茶籽油项目/压榨花生油初加工候选）及产品“其他”，仅作扩展上界,,0.00,789844751.26,下界=0；上界=食用植物油混合大类641590844.86+产品其他148253906.40=789844751.26,0,0.381079923264041545164685475293372946213276704905709337825714,2072648552.29,合并利润表营业收入,0.00,0.00,0.00,0.00,641590844.86,523632323.44,523632323.44,148253906.40,111316489.78,104593298.23,酱油、味精、食醋、鸡精等深加工食品（食用植物油混合大类另列扩展上界）,1282803801.03,,食用植物油摘要成本523632323.44、制造成本表成本523632323.44；产品其他摘要成本111316489.78、制造成本表成本104593298.23。摘要与制造成本表口径差异单列，不跨口径倒算或按成本比例拆分收入,否,否,是,产品维度覆盖营业收入，仅取产品“其他”作上界；不再叠加行业维度“其他”,调味品属于深加工；2015年后食用植物油大类同时存在精炼/分装与茶籽油项目、压榨花生油等初加工候选，不能整体确认为初加工。,食用植物油未拆初加工与精炼/分装收入，产品“其他”亦未拆，均只作扩展上界。,17|18,100,https://static.cninfo.com.cn/finalpage/2021-04-29/1209857062.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批P组（未合并）,已人工复核（第十六批P组；主表未合并）,2026-08-11
002650,加加食品集团股份有限公司,2021,待核实,待核实,未单列直接农业生产收入,,0.00,125591894.03,下界=0；上界=未拆产品其他125591894.03,0,0.0715752206788924764025837774127709324446659945009217512790522,食用植物油混合大类（含茶籽油项目/压榨花生油初加工候选）及产品“其他”，仅作扩展上界,,0.00,676247311.44,下界=0；上界=食用植物油混合大类550655417.41+产品其他125591894.03=676247311.44,0,0.385395498042762726253718578024901709385322225242359129857574,1754683993.13,合并利润表营业收入,0.00,0.00,0.00,0.00,550655417.41,526570507.68,526570507.68,125591894.03,91282030.73,85722614.39,酱油、味精、食醋、鸡精等深加工食品（食用植物油混合大类另列扩展上界）,1078436681.69,,食用植物油摘要成本526570507.68、制造成本表成本526570507.68；产品其他摘要成本91282030.73、制造成本表成本85722614.39。摘要与制造成本表口径差异单列，不跨口径倒算或按成本比例拆分收入,否,否,是,产品维度覆盖营业收入，仅取产品“其他”作上界；不再叠加行业维度“其他”,调味品属于深加工；2015年后食用植物油大类同时存在精炼/分装与茶籽油项目、压榨花生油等初加工候选，不能整体确认为初加工。,食用植物油未拆初加工与精炼/分装收入，产品“其他”亦未拆，均只作扩展上界。,19|20,111,https://static.cninfo.com.cn/finalpage/2022-04-21/1213000148.PDF,沿用v26原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十六批P组（未合并）,已人工复核（第十六批P组；主表未合并）,2026-08-11
