股票代码,公司全称,年份,行业分类代码,行业分类名称,涉农业务_保守不重叠口径,工作表采用涉农业务营业收入_元,严格口径营业收入_元,扩展口径营业收入_元,公司营业收入_元,工作表采用涉农收入占比,严格口径收入占比,扩展口径收入占比,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,复核说明,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,记录类型,复核日期
600354,甘肃省敦煌种业集团股份有限公司,2015,1.0,农业,种子,873453457.30,873453457.30,873453457.30,1304026666.04,0.66981257,0.66981257,0.66981257,是,是,否,否（仅使用同一分行业维度）,种子收入占66.98%，达到50%严格门槛；食品与贸易、棉花、果蔬及其他业务均未用于放大分子。,10,45,https://static.cninfo.com.cn/finalpage/2016-04-15/1202181741.PDF,本次新增跨年快速复核,2026-08-11
600354,甘肃省敦煌种业集团股份有限公司,2016,1.0,农业,种子,422224211.85,422224211.85,422224211.85,655137590.83,0.64448174,0.64448174,0.64448174,是,是,否,否（仅使用同一分行业维度）,种子收入占64.45%，达到50%严格门槛；食品与贸易、棉花、果蔬及其他业务均未用于放大分子。,11,59,https://static.cninfo.com.cn/finalpage/2017-04-28/1203417719.PDF,本次新增跨年快速复核,2026-08-11
600354,甘肃省敦煌种业集团股份有限公司,2017,1.0,农业,种子,253342332.80,253342332.80,253342332.80,485178519.19,0.52216313,0.52216313,0.52216313,是,是,否,否（仅使用同一分行业维度）,种子收入占52.22%，达到50%严格门槛；食品与贸易、棉花、果蔬及其他业务均未用于放大分子。,11,63,https://static.cninfo.com.cn/finalpage/2018-04-27/1204808308.PDF,本次新增跨年快速复核,2026-08-11
600354,甘肃省敦煌种业集团股份有限公司,2018,1.0,农业,种子,338570901.99,338570901.99,338570901.99,767469079.12,0.44115250,0.44115250,0.44115250,否,否,是,否（仅使用同一分行业维度）,种子收入占44.12%，处于30%—50%，列为边界样本；食品与贸易、棉花、果蔬及其他业务均未计入。,11,66,https://static.cninfo.com.cn/finalpage/2019-03-30/1205968819.PDF,本次新增跨年快速复核,2026-08-11
600354,甘肃省敦煌种业集团股份有限公司,2019,1.0,农业,种子,338316962.70,338316962.70,338316962.70,1183712575.19,0.28581006,0.28581006,0.28581006,否,否,否,否（仅使用同一分行业维度）,种子收入占28.58%，低于30%，不纳入严格、扩展或边界样本；食品与贸易、棉花、果蔬及其他业务均未计入。,11,67,https://static.cninfo.com.cn/finalpage/2020-03-20/1207387346.PDF,本次新增跨年快速复核,2026-08-11
600354,甘肃省敦煌种业集团股份有限公司,2020,1.0,农业,种子,389762957.24,389762957.24,389762957.24,954210631.49,0.40846637,0.40846637,0.40846637,否,否,是,否（仅使用同一分行业维度）,种子收入占40.85%，处于30%—50%，列为边界样本；食品与贸易、棉花、果蔬及其他业务均未计入。,10,52,https://static.cninfo.com.cn/finalpage/2021-04-29/1209857637.PDF,本次新增跨年快速复核,2026-08-11
600354,甘肃省敦煌种业集团股份有限公司,2021,1.0,农业,种子,605636998.38,605636998.38,605636998.38,922131315.29,0.65677956,0.65677956,0.65677956,是,是,否,否（仅使用同一分行业维度）,种子收入占65.68%，达到50%严格门槛；食品与贸易、棉花、果蔬及其他业务均未用于放大分子。,10,56,https://static.cninfo.com.cn/finalpage/2022-05-18/1213385071.PDF,本次新增跨年快速复核,2026-08-11
600354,甘肃省敦煌种业集团股份有限公司,2022,待核实,待核实,种子,738441249.75,738441249.75,738441249.75,1004680753.38,0.73500089,0.73500089,0.73500089,是,是,否,否（仅使用同一分行业维度）,种子收入占73.50%，达到50%严格门槛；食品与贸易、棉花、果蔬及其他业务均未用于放大分子。,10,58,https://static.cninfo.com.cn/finalpage/2023-04-20/1216478318.PDF,本次新增跨年快速复核,2026-08-11
600975,湖南新五丰股份有限公司,2013,3.0,畜牧业,畜牧业（生猪）,572810599.98,572810599.98,713977977.47,1130087615.49,0.50687273,0.50687273,0.63178993,是,是,否,否（仅使用同一分行业维度）,畜牧业收入占50.69%，达到50%严格门槛；同一行业维度加入饲料加工后占63.18%。批发零售未计入。,13,47,https://static.cninfo.com.cn/finalpage/2014-03-25/63717879.PDF,本次新增跨年快速复核,2026-08-11
600975,湖南新五丰股份有限公司,2014,3.0,畜牧业,畜牧业（生猪）、饲料加工,730752275.11,559401796.02,730752275.11,1302493866.31,0.56104086,0.42948517,0.56104086,否,是,否,否（仅使用同一分行业维度）,畜牧业收入占42.95%，未达严格门槛；同一行业维度加入农业投入品饲料加工后占56.10%，达到扩展样本门槛。批发零售未计入。,13,59,https://static.cninfo.com.cn/finalpage/2015-04-30/1200948765.PDF,本次新增跨年快速复核,2026-08-11
600975,湖南新五丰股份有限公司,2015,3.0,畜牧业,畜牧业（生猪）、饲料加工,741303078.01,610404414.43,741303078.01,1326036664.34,0.55903664,0.46032243,0.55903664,否,是,否,否（仅使用同一分行业维度）,畜牧业收入占46.03%，未达严格门槛；同一行业维度加入农业投入品饲料加工后占55.90%，达到扩展样本门槛。批发零售未计入。,14,61,https://static.cninfo.com.cn/finalpage/2016-04-23/1202229848.PDF,本次新增跨年快速复核,2026-08-11
600975,湖南新五丰股份有限公司,2016,3.0,畜牧业,畜牧业（生猪）,885580075.40,885580075.40,978701885.14,1691374321.68,0.52358609,0.52358609,0.57864298,是,是,否,否（仅使用同一分行业维度）,畜牧业收入占52.36%，达到50%严格门槛；同一行业维度加入饲料加工后占57.86%。批发零售未计入。,16,78,https://static.cninfo.com.cn/finalpage/2017-04-28/1203416866.PDF,本次新增跨年快速复核,2026-08-11
600975,湖南新五丰股份有限公司,2017,3.0,畜牧业,畜牧业（生猪）、饲料加工,937312670.05,859308658.00,937312670.05,1723720756.85,0.54377292,0.49851964,0.54377292,否,是,否,否（仅使用同一分行业维度）,畜牧业收入占49.85%，未达严格门槛；同一行业维度加入农业投入品饲料加工后占54.38%，达到扩展样本门槛。批发零售未计入。,16,87,https://static.cninfo.com.cn/finalpage/2018-03-24/1204510963.PDF,本次新增跨年快速复核,2026-08-11
600975,湖南新五丰股份有限公司,2018,3.0,畜牧业,畜牧业（生猪）、饲料加工,1067593098.63,1015482383.55,1067593098.63,2041039866.32,0.52306332,0.49753187,0.52306332,否,是,否,否（仅使用同一分行业维度）,畜牧业收入占49.75%，未达严格门槛；同一行业维度加入农业投入品饲料加工后占52.31%，达到扩展样本门槛。批发零售未计入。,16,94,https://static.cninfo.com.cn/finalpage/2019-03-26/1205937427.PDF,本次新增跨年快速复核,2026-08-11
600975,湖南新五丰股份有限公司,2019,3.0,畜牧业,畜牧业（生猪）、饲料加工,1037924708.10,1010503847.68,1037924708.10,2130425322.84,0.48719131,0.47432024,0.48719131,否,否,是,否（仅使用同一分行业维度）,畜牧业收入占47.43%；同一行业维度加入饲料加工后占48.72%，处于30%—50%，列为边界样本。批发零售未计入。,17,97,https://static.cninfo.com.cn/finalpage/2020-04-14/1207491867.PDF,本次新增跨年快速复核,2026-08-11
600975,湖南新五丰股份有限公司,2020,3.0,畜牧业,畜牧业（生猪）、饲料加工,1346329665.73,1327309581.14,1346329665.73,2723731158.81,0.49429609,0.48731299,0.49429609,否,否,是,否（仅使用同一分行业维度）,畜牧业收入占48.73%；同一行业维度加入饲料加工后占49.43%，处于30%—50%，列为边界样本。批发零售未计入。,20,91,https://static.cninfo.com.cn/finalpage/2021-03-16/1209385266.PDF,本次新增跨年快速复核,2026-08-11
600975,湖南新五丰股份有限公司,2021,3.0,畜牧业,畜牧业（生猪）、饲料加工,884349580.65,869569202.59,884349580.65,2002862891.24,0.44154275,0.43416312,0.44154275,否,否,是,否（仅使用同一分行业维度）,畜牧业收入占43.42%；同一行业维度加入饲料加工后占44.15%，处于30%—50%，列为边界样本。批发零售未计入。,20,120,https://static.cninfo.com.cn/finalpage/2022-04-28/1213176458.PDF,本次新增跨年快速复核,2026-08-11
600975,湖南新五丰股份有限公司,2022,待核实,待核实,畜牧业（生猪）,2731125858.15,2731125858.15,2733243543.15,4932239352.73,0.55372938,0.55372938,0.55415874,是,是,否,否（仅使用同一分行业维度）,畜牧业收入占55.37%，达到50%严格门槛；同一行业维度加入饲料加工后占55.42%。批发零售未计入。,23,211,https://static.cninfo.com.cn/finalpage/2023-04-25/1216564468.PDF,本次新增跨年快速复核,2026-08-11
