stock_code,risk_warning_type,start_date,end_date,start_source_url,end_source_url,interval_status,start_date_basis,note
002477,*ST退市风险警示,2019-04-26,2019-10-22,https://static.cninfo.com.cn/finalpage/2019-04-25/1206091348.PDF,https://www.szse.cn/disclosure/notice/general/t20191028_571600.html,区间因证券登记终止闭合,公告明示起点_交易所注销日期作为终点,入口池仅含2013至2018年记录故不影响入口年剔除
002650,ST其他风险警示,2020-06-15,2021-07-28,https://static.cninfo.com.cn/finalpage/2020-06-12/1207919359.PDF,https://static.cninfo.com.cn/finalpage/2021-07-27/1210573032.PDF,区间已闭合,公告明示实际生效日,
002650,ST其他风险警示,2024-04-30,,https://static.cninfo.com.cn/finalpage/2026-04-27/1225188969.PDF,,区间起点已核实_终点待闭合,后续公告追溯明示实际生效日,起始日晚于论文样本期
002719,*ST退市风险警示,2020-05-06,2021-12-20,https://static.cninfo.com.cn/finalpage/2020-04-30/1207687740.PDF,https://static.cninfo.com.cn/finalpage/2021-12-17/1211934918.PDF,区间已闭合,公告明示实际生效日,2020年末为ST；2021年内曾ST但年末已撤销
300313,ST及*ST连续风险警示,2021-04-28,,https://static.cninfo.com.cn/finalpage/2021-04-27/1209817663.PDF,,样本期内起点已核实_终点待闭合,公告明示实际生效日,2023年4月26日起叠加退市风险警示且原其他风险警示继续
600238,ST及*ST连续风险警示,2018-04-26,2021-04-09,https://static.cninfo.com.cn/finalpage/2018-04-25/1204741333.PDF,https://static.cninfo.com.cn/finalpage/2021-04-08/1209648005.PDF,区间已闭合,公告明示实际生效日,2019年4月26日由退市风险警示转为其他风险警示但状态连续
600238,*ST退市及其他风险警示,2025-05-06,,https://static.cninfo.com.cn/finalpage/2025-04-30/1223425798.PDF,,区间起点已核实_终点待闭合,公告明示实际生效日,起始日晚于论文样本期
600265,ST及*ST连续风险警示,2013-01-01,,https://static.cninfo.com.cn/finalpage/2013-05-02/62447733.PDF,,样本期左截断_终点待闭合,样本期首日已处于风险警示状态,2013年5月公告证券简称已为ST景谷并于5月3日转为*ST；其后多次ST与*ST转换但未发现风险警示中断
600300,ST其他风险警示,2021-04-27,2022-04-12,https://static.cninfo.com.cn/finalpage/2021-04-26/1209800026.PDF,https://static.cninfo.com.cn/finalpage/2022-04-11/1212869835.PDF,区间已闭合,公告明示实际生效日,
600354,*ST退市风险警示,2020-03-23,2021-05-19,https://static.cninfo.com.cn/finalpage/2020-03-20/1207387347.PDF,https://static.cninfo.com.cn/finalpage/2021-05-18/1209995935.PDF,区间已闭合,公告明示实际生效日,
600359,*ST退市风险警示,2012-05-03,2013-04-10,https://static.cninfo.com.cn/finalpage/2013-04-09/62335731.PDF,https://static.cninfo.com.cn/finalpage/2013-04-09/62335731.PDF,区间已闭合,撤销公告追溯起点并明示实际撤销日,样本期2013年内曾ST但年末已撤销
600506,*ST退市风险警示,2021-04-28,2022-05-10,https://static.cninfo.com.cn/finalpage/2021-04-27/1209808179.PDF,https://static.cninfo.com.cn/finalpage/2022-05-09/1213291869.PDF,区间已闭合,公告明示实际生效日,
600540,*ST退市风险警示,2017-05-02,2018-04-09,https://static.cninfo.com.cn/finalpage/2017-04-28/1203419548.PDF,https://static.cninfo.com.cn/finalpage/2018-04-04/1204587114.PDF,区间已闭合,公告明示实际生效日,
600543,*ST退市风险警示,2023-05-04,,https://static.cninfo.com.cn/finalpage/2023-04-28/1216663507.PDF,,样本期内起点已核实_终点待闭合,公告明示实际生效日,2023年内及年末均为ST
600598,*ST退市风险警示,2014-03-28,2015-04-03,https://static.cninfo.com.cn/finalpage/2014-03-27/63733624.PDF,https://static.cninfo.com.cn/finalpage/2015-04-02/1200779981.PDF,区间已闭合,公告明示实际生效日,
600962,*ST退市风险警示,2015-04-30,2016-04-07,https://static.cninfo.com.cn/finalpage/2015-04-29/1200935322.PDF,https://static.cninfo.com.cn/finalpage/2016-04-06/1202140134.PDF,区间已闭合,公告明示实际生效日,
600965,*ST退市及其他风险警示,2026-05-06,,https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260429/8844b17e5f8b4d57950f67f08dc2b23f.PDF,,区间起点已核实_终点待闭合,公告明示实际生效日,起始日晚于论文样本期
603517,ST其他风险警示,2025-09-23,,https://static.cninfo.com.cn/finalpage/2025-09-20/1224672367.PDF,,区间起点已核实_终点待闭合,公告明示实际生效日,起始日晚于论文样本期
