股票代码,公司全称,年份,行业分类代码,行业分类名称,入口依据,行业入口候选,龙头身份关系已核实候选,涉农业务名称,涉农业务营业收入,公司营业收入,涉农收入占比,是否存在分部收入重叠,严格样本结论,扩展样本结论,边界样本结论,纳入或剔除理由,当年曾ST_已核实,年末ST_已核实,当年退市整理期_已核实,年报链接,年报主营业务表PDF页序号,利润表PDF页序号,复核状态,口径提示
300189,海南神农种业科技股份有限公司,2023,5.0,农、林、牧、渔专业及辅助性活动,行业分类候选+龙头企业身份核实候选,1,1,杂交水稻、玉米、油菜及其他种子,155069173.68,166725377.15,0.93008741,否（采用分产品不重叠口径）,是,是,否,四类种子收入合计占93.01%，已达到严格样本门槛。,,,,https://static.cninfo.com.cn/finalpage/2024-04-26/1219833092.PDF,25,80,已人工复核（第三批）,严格口径占比=0.93008741；扩展口径占比=0.93008741；两套分子详见2023年报主营业务人工复核_第三批10家_v1.csv
300313,新疆天山畜牧生物工程股份有限公司,2023,3.0,畜牧业,行业分类候选,1,0,畜牧业,110513387.01,137499875.86,0.80373445,否（采用分行业口径）,是,是,否,畜牧业收入占80.37%，达到严格门槛；2023年曾ST，最终回归剔除。,是,是,,https://static.cninfo.com.cn/finalpage/2024-03-30/1219474293.PDF,20,80,已人工复核（第三批）,严格口径占比=0.80373445；扩展口径占比=0.80373445；两套分子详见2023年报主营业务人工复核_第三批10家_v1.csv
300498,温氏食品集团股份有限公司,2023,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,1,1,养殖行业,87844706272.81,89902322387.76,0.97711276,否（采用分行业口径）,是,是,否,养殖行业收入占营业收入97.71%，达到严格样本门槛；分母采用营业收入而非含利息收入的营业总收入。,,,,https://static.cninfo.com.cn/finalpage/2024-04-29/1219866693.PDF,32,187,已人工复核（第三批）,严格口径占比=0.97711276；扩展口径占比=0.97711276；两套分子详见2023年报主营业务人工复核_第三批10家_v1.csv
300511,上海雪榕生物科技股份有限公司,2023,1.0,农业,行业分类候选+龙头企业身份核实候选,1,1,食用菌种植,2534307562.89,2565144194.86,0.9879786,否（采用分行业口径）,是,是,否,食用菌行业收入占98.80%，达到严格样本门槛。,,,,https://static.cninfo.com.cn/finalpage/2024-04-26/1219839662.PDF,24,124,已人工复核（第三批）,严格口径占比=0.9879786；扩展口径占比=0.9879786；两套分子详见2023年报主营业务人工复核_第三批10家_v1.csv
300761,江苏立华食品集团股份有限公司,2023,3.0,畜牧业,行业分类候选,1,0,鸡、猪、鹅养殖,15267697502.53,15354096858.27,0.99437288,否（采用分产品不重叠口径）,是,是,否,鸡、猪、鹅三类养殖收入合计占99.44%，达到严格样本门槛；未计无法拆分的其他收入。,,,,https://static.cninfo.com.cn/finalpage/2024-04-22/1219693250.PDF,26,105,已人工复核（第三批）,严格口径占比=0.99437288；扩展口径占比=0.99437288；两套分子详见2023年报主营业务人工复核_第三批10家_v1.csv
300967,宁夏晓鸣农牧股份有限公司,2023,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,1,1,养殖行业,830359022.41,830815831.8,0.99945017,否（采用分行业口径）,是,是,否,养殖行业收入占99.95%，达到严格样本门槛。,,,,https://static.cninfo.com.cn/finalpage/2024-04-19/1219670312.PDF,30,143,已人工复核（第三批）,严格口径占比=0.99945017；扩展口径占比=0.99945017；两套分子详见2023年报主营业务人工复核_第三批10家_v1.csv
300970,江苏华绿生物科技集团股份有限公司,2023,1.0,农业,行业分类候选+龙头企业身份核实候选,1,1,食用菌种植,996221375.81,996221375.81,1.0,否（采用分行业口径）,是,是,否,食用菌收入占100%，达到严格样本门槛。,,,,https://static.cninfo.com.cn/finalpage/2024-04-23/1219744144.PDF,15,89,已人工复核（第三批）,严格口径占比=1.0；扩展口径占比=1.0；两套分子详见2023年报主营业务人工复核_第三批10家_v1.csv
600108,甘肃亚盛实业(集团)股份有限公司,2023,1.0,农业,行业分类候选+龙头企业身份核实候选,1,1,农业种植,3113117945.76,4005115417.62,0.77728545,已按同一拆分维度处理；无法拆分时保持待核实,是,是,否,农业分行业收入占77.73%，达到严格门槛。,,,,https://static.cninfo.com.cn/finalpage/2024-04-25/1219788130.PDF,10,49,已人工复核（第四批）,严格口径占比=0.77728545；扩展口径占比=0.77728545；两套分子详见2023年报主营业务人工复核_第四批13家_v1.csv
600257,大湖健康产业股份有限公司,2023,4.0,渔业,行业分类候选,1,0,水产品养殖,627113773.53,1193454619.46,0.52546093,已按同一拆分维度处理；无法拆分时保持待核实,是,是,否,农业水产品收入占52.55%，达到严格门槛；白酒、药品等未计入。,,,,https://static.cninfo.com.cn/finalpage/2024-04-18/1219651824.PDF,24,91,已人工复核（第四批）,严格口径占比=0.52546093；扩展口径占比=0.52546093；两套分子详见2023年报主营业务人工复核_第四批13家_v1.csv
600354,甘肃省敦煌种业集团股份有限公司,2023,5.0,农、林、牧、渔专业及辅助性活动,行业分类候选+龙头企业身份核实候选,1,1,种子,875670812.45,1157762417.27,0.75634759,已按同一拆分维度处理；无法拆分时保持待核实,是,是,否,种子收入占75.63%，达到严格门槛；食品、贸易、棉花未用于放大严格分子。,,,,https://static.cninfo.com.cn/finalpage/2024-03-22/1219375765.PDF,11,52,已人工复核（第四批）,严格口径占比=0.75634759；扩展口径占比=0.75634759；两套分子详见2023年报主营业务人工复核_第四批13家_v1.csv
600371,万向德农股份有限公司,2023,5.0,农、林、牧、渔专业及辅助性活动,行业分类候选,1,0,玉米杂交种,300692394.38,319298968.77,0.94172679,已按同一拆分维度处理；无法拆分时保持待核实,是,是,否,玉米杂交种收入占94.17%，达到严格门槛；加入化肥后扩展口径98.05%。,,,,https://static.cninfo.com.cn/finalpage/2024-04-16/1219617366.PDF,15,55,已人工复核（第四批）,严格口径占比=0.94172679；扩展口径占比=0.98048486；两套分子详见2023年报主营业务人工复核_第四批13家_v1.csv
600467,山东好当家海洋发展股份有限公司,2023,4.0,渔业,行业分类候选+龙头企业身份核实候选,1,1,海水养殖、海洋捕捞,862527464.45,1563804509.83,0.55155709,已按同一拆分维度处理；无法拆分时保持待核实,是,是,否,养殖与捕捞合计占55.16%，达到严格门槛；加入水产品加工后扩展口径97.68%。,,,,https://static.cninfo.com.cn/finalpage/2024-04-25/1219786818.PDF,13,64,已人工复核（第四批）,严格口径占比=0.55155709；扩展口径占比=0.97675336；两套分子详见2023年报主营业务人工复核_第四批13家_v1.csv
600598,黑龙江北大荒农业股份有限公司,2023,1.0,农业,行业分类候选,1,0,农业土地承包及农产品经营,3590194105.74,5044443383.2,0.71171264,已按同一拆分维度处理；无法拆分时保持待核实,是,是,否,土地承包及农产品经营直接服务农业生产，合计占71.17%，按A05直接相关业务计入严格口径。,,,,https://static.cninfo.com.cn/finalpage/2024-03-29/1219444566.PDF,14,88,已人工复核（第四批）,严格口径占比=0.71171264；扩展口径占比=0.71171264；两套分子详见2023年报主营业务人工复核_第四批13家_v1.csv
600975,湖南新五丰股份有限公司,2023,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,1,1,畜牧业（生猪）,3754975937.03,5631944572.42,0.66672814,已按同一拆分维度处理；无法拆分时保持待核实,是,是,否,畜牧业收入占66.67%，达到严格门槛；加入饲料后扩展口径69.10%，批发零售未计入。,,,,https://static.cninfo.com.cn/finalpage/2024-04-20/1219705303.PDF,24,177,已人工复核（第四批）,严格口径占比=0.66672814；扩展口径占比=0.69100114；两套分子详见2023年报主营业务人工复核_第四批13家_v1.csv
603477,乐山巨星农牧股份有限公司,2023,3.0,畜牧业,行业分类候选,1,0,畜禽养殖,3946820977.02,4040713360.73,0.97676341,已按同一拆分维度处理；无法拆分时保持待核实,是,是,否,畜禽养殖收入占97.68%，达到严格门槛；皮革业务未计入。,,,,https://static.cninfo.com.cn/finalpage/2024-03-23/1219388580.PDF,19,86,已人工复核（第四批）,严格口径占比=0.97676341；扩展口径占比=0.97676341；两套分子详见2023年报主营业务人工复核_第四批13家_v1.csv
605296,云南神农农业产业集团股份有限公司,2023,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,1,1,畜牧养殖,2094682094.43,3891278625.2,0.53830175,已按同一拆分维度处理；无法拆分时保持待核实,是,是,否,畜牧养殖收入占53.83%，达到严格门槛；加入饲料后扩展口径66.64%，为避免内部交易重叠未叠加屠宰收入。,,,,https://static.cninfo.com.cn/finalpage/2024-04-26/1219837411.PDF,29,154,已人工复核（第四批）,严格口径占比=0.53830175；扩展口径占比=0.66638065；两套分子详见2023年报主营业务人工复核_第四批13家_v1.csv
