股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业收入公式,单列药材种植收入_元,单列药材种植成本_元_反向证据,中药材饮片或未拆产品收入_元_上界,中药材饮片或未拆产品成本_元_反向证据,审计其他业务收入_元_上界,审计其他业务成本_元_反向证据,上界对应成本合计_元_反向证据,深加工或排除类别,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,审计其他业务收入成本证据PDF页序号,补充证据说明,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
600129,重庆太极实业(集团)股份有限公司,2018,,,未单列上市公司本体药材种植对外收入；服务业及其他、其他业务仅作上界,,0.00,138388356.42,下界=0；上界=服务业及其他（万元表换算）42296400.00+审计其他业务96091956.42=138388356.42,0,0.0129463356144503731822492720748597303313020197461139446076954,未单列可确认的药材初加工或农业投入品收入；未拆项目仅作上界,,0.00,138388356.42,下界=0；上界=服务业及其他（万元表换算）42296400.00+审计其他业务96091956.42=138388356.42,0,0.0129463356144503731822492720748597303313020197461139446076954,10689384281.49,合并利润表营业收入,,,42296400.00,25210700.00,96091956.42,87606505.79,112817205.79,中西成药制造、医药商业、医疗及药品服务,服务业及其他成本（万元表换算）25210700.00+审计其他业务成本87606505.79=112817205.79，只作反向证据,否,否,否,服务业及其他属于主营行业维度，审计其他业务属于互斥收入层级；2021—2022分部抵销不另加，地区维度不叠加,医药工业、医药商业和药品均排除；药材基地、收购和受托管理种植公司不能替代上市公司本体的单列外销收入。,服务业及其他按年报万元口径换算，内部性质未拆；审计其他业务亦未拆，但合计上界不足2%。,15|16,91,167,药材基地面积、种植扶持、收购额和托管收益均不等于合并口径药材外销收入；审计附注页单独列示,https://static.cninfo.com.cn/finalpage/2019-04-16/1206022791.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批V组（未合并）,已人工复核（第十九批V组；主表未合并）,2026-08-11
600129,重庆太极实业(集团)股份有限公司,2019,,,未单列上市公司本体药材种植对外收入；服务业及其他、其他业务仅作上界,,0.00,162868291.20,下界=0；上界=服务业及其他（万元表换算）53651800.00+审计其他业务109216491.20=162868291.20,0,0.0139884109111772099413357840265530545729624361248876700883052,未单列可确认的药材初加工或农业投入品收入；未拆项目仅作上界,,0.00,162868291.20,下界=0；上界=服务业及其他（万元表换算）53651800.00+审计其他业务109216491.20=162868291.20,0,0.0139884109111772099413357840265530545729624361248876700883052,11643087426.74,合并利润表营业收入,,,53651800.00,21778300.00,109216491.20,104974053.42,126752353.42,中西成药制造、医药商业、医疗及药品服务,服务业及其他成本（万元表换算）21778300.00+审计其他业务成本104974053.42=126752353.42，只作反向证据,否,否,否,服务业及其他属于主营行业维度，审计其他业务属于互斥收入层级；2021—2022分部抵销不另加，地区维度不叠加,医药工业、医药商业和药品均排除；药材基地、收购和受托管理种植公司不能替代上市公司本体的单列外销收入。,服务业及其他按年报万元口径换算，内部性质未拆；审计其他业务亦未拆，但合计上界不足2%。,12,75,155,药材基地面积、种植扶持、收购额和托管收益均不等于合并口径药材外销收入；审计附注页单独列示,https://static.cninfo.com.cn/finalpage/2020-04-28/1207646549.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批V组（未合并）,已人工复核（第十九批V组；主表未合并）,2026-08-11
600129,重庆太极实业(集团)股份有限公司,2020,,,未单列上市公司本体药材种植对外收入；服务业及其他、其他业务仅作上界,,0.00,154665605.99,下界=0；上界=服务业及其他（万元表换算）50233600.00+审计其他业务104432005.99=154665605.99,0,0.0137998139481914896590087491010078270788377594286074377546301,未单列可确认的药材初加工或农业投入品收入；未拆项目仅作上界,,0.00,154665605.99,下界=0；上界=服务业及其他（万元表换算）50233600.00+审计其他业务104432005.99=154665605.99,0,0.0137998139481914896590087491010078270788377594286074377546301,11207803711.75,合并利润表营业收入,,,50233600.00,7874200.00,104432005.99,106856670.61,114730870.61,中西成药制造、医药商业、医疗及药品服务,服务业及其他成本（万元表换算）7874200.00+审计其他业务成本106856670.61=114730870.61，只作反向证据,否,否,否,服务业及其他属于主营行业维度，审计其他业务属于互斥收入层级；2021—2022分部抵销不另加，地区维度不叠加,医药工业、医药商业和药品均排除；药材基地、收购和受托管理种植公司不能替代上市公司本体的单列外销收入。,服务业及其他按年报万元口径换算，内部性质未拆；审计其他业务亦未拆，但合计上界不足2%。,13,72,154|155,药材基地面积、种植扶持、收购额和托管收益均不等于合并口径药材外销收入；审计附注页单独列示,https://static.cninfo.com.cn/finalpage/2021-04-24/1209789490.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批V组（未合并）,已人工复核（第十九批V组；主表未合并）,2026-08-11
600129,重庆太极实业(集团)股份有限公司,2021,,,未单列上市公司本体药材种植对外收入；服务业及其他、其他业务仅作上界,,0.00,119956219.22,下界=0；上界=服务业及其他（万元表换算）46596300.00+审计其他业务73359919.22=119956219.22,0,0.00987340084051911724211748649877973784432204735321577758892163,未单列可确认的药材初加工或农业投入品收入；未拆项目仅作上界,,0.00,119956219.22,下界=0；上界=服务业及其他（万元表换算）46596300.00+审计其他业务73359919.22=119956219.22,0,0.00987340084051911724211748649877973784432204735321577758892163,12149432719.04,合并利润表营业收入,,,46596300.00,32903500.00,73359919.22,61401572.61,94305072.61,中西成药制造、医药商业、医疗及药品服务,服务业及其他成本（万元表换算）32903500.00+审计其他业务成本61401572.61=94305072.61，只作反向证据,否,否,否,服务业及其他属于主营行业维度，审计其他业务属于互斥收入层级；2021—2022分部抵销不另加，地区维度不叠加,医药工业、医药商业和药品均排除；药材基地、收购和受托管理种植公司不能替代上市公司本体的单列外销收入。,服务业及其他按年报万元口径换算，内部性质未拆；审计其他业务亦未拆，但合计上界不足2%。,13|14,90,188|189,药材基地面积、种植扶持、收购额和托管收益均不等于合并口径药材外销收入；审计附注页单独列示,https://static.cninfo.com.cn/finalpage/2022-03-31/1212751154.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批V组（未合并）,已人工复核（第十九批V组；主表未合并）,2026-08-11
600129,重庆太极实业(集团)股份有限公司,2022,待核实,待核实,未单列上市公司本体药材种植对外收入；服务业及其他、其他业务仅作上界,,0.00,114468089.71,下界=0；上界=服务业及其他（万元表换算）45096500.00+审计其他业务69371589.71=114468089.71,0,0.00814681266845796568976600188689844173380599562044977789755665,未单列可确认的药材初加工或农业投入品收入；未拆项目仅作上界,,0.00,114468089.71,下界=0；上界=服务业及其他（万元表换算）45096500.00+审计其他业务69371589.71=114468089.71,0,0.00814681266845796568976600188689844173380599562044977789755665,14050659364.39,合并利润表营业收入,,,45096500.00,34135500.00,69371589.71,35773547.00,69909047.00,中西成药制造、医药商业、医疗及药品服务,服务业及其他成本（万元表换算）34135500.00+审计其他业务成本35773547.00=69909047.00，只作反向证据,否,否,否,服务业及其他属于主营行业维度，审计其他业务属于互斥收入层级；2021—2022分部抵销不另加，地区维度不叠加,医药工业、医药商业和药品均排除；药材基地、收购和受托管理种植公司不能替代上市公司本体的单列外销收入。,服务业及其他按年报万元口径换算，内部性质未拆；审计其他业务亦未拆，但合计上界不足2%。,13|14,90,165,药材基地面积、种植扶持、收购额和托管收益均不等于合并口径药材外销收入；审计附注页单独列示,https://static.cninfo.com.cn/finalpage/2023-03-31/1216274899.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批V组（未合并）,已人工复核（第十九批V组；主表未合并）,2026-08-11
600479,株洲千金药业股份有限公司,2018,,,未单列药材种植对外收入；中药材及饮片、产品其他和其他业务仅作上界,,0.00,936829698.86,下界=0；上界=中药材及饮片/未拆中药生产与产品其他893458953.73+其他业务43370745.13=936829698.86,0,0.281452459303918180736532018566162436839469195571906140898812,未单列可确认的药材初加工/农业投入品收入；未拆项目仅作上界,,0.00,936829698.86,下界=0；上界=中药材及饮片/未拆中药生产与产品其他893458953.73+其他业务43370745.13=936829698.86,0,0.281452459303918180736532018566162436839469195571906140898812,3328553963.17,合并利润表营业收入,,,893458953.73,323363112.30,43370745.13,12813229.51,336176341.81,中西药生产、饮片、药品批发零售、卫生用品和酒饮,混合产品成本323363112.30+其他业务成本12813229.51=336176341.81，只作上界反向证据,否,否,否,产品维度中的中药材及饮片/其他与审计其他业务属于互斥收入层级；不叠加行业、地区，基地内部供料不另计,西药、药品流通、卫生用品及酒饮均属药品/日化深加工或商业；中药材及饮片混含饮片，不能整体纳入。,2018未将中药材/饮片从中药生产拆出，故整项中药生产作上界；产品其他和其他业务亦作上界，合计仍低于30%。,16|18,93,,子公司药材种植、收购、加工基地及药材公司业务范围只证明业务存在，不替代合并口径对外收入,https://static.cninfo.com.cn/finalpage/2019-04-12/1206009408.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批V组（未合并）,已人工复核（第十九批V组；主表未合并）,2026-08-11
600479,株洲千金药业股份有限公司,2019,,,未单列药材种植对外收入；中药材及饮片、产品其他和其他业务仅作上界,,0.00,126615227.96,下界=0；上界=中药材及饮片/未拆中药生产与产品其他71778597.60+其他业务54836630.36=126615227.96,0,0.0359167873401829651036424620779491868609981505111388455242986,未单列可确认的药材初加工/农业投入品收入；未拆项目仅作上界,,0.00,126615227.96,下界=0；上界=中药材及饮片/未拆中药生产与产品其他71778597.60+其他业务54836630.36=126615227.96,0,0.0359167873401829651036424620779491868609981505111388455242986,3525238122.24,合并利润表营业收入,,,71778597.60,46835455.05,54836630.36,17895316.38,64730771.43,中西药生产、饮片、药品批发零售、卫生用品和酒饮,混合产品成本46835455.05+其他业务成本17895316.38=64730771.43，只作上界反向证据,否,否,否,产品维度中的中药材及饮片/其他与审计其他业务属于互斥收入层级；不叠加行业、地区，基地内部供料不另计,西药、药品流通、卫生用品及酒饮均属药品/日化深加工或商业；中药材及饮片混含饮片，不能整体纳入。,中药材及饮片未拆药材购销、初加工与饮片生产；产品其他和其他业务性质未拆，但上界不足4%。,14|15,87,,子公司药材种植、收购、加工基地及药材公司业务范围只证明业务存在，不替代合并口径对外收入,https://static.cninfo.com.cn/finalpage/2020-04-10/1207473983.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批V组（未合并）,已人工复核（第十九批V组；主表未合并）,2026-08-11
600479,株洲千金药业股份有限公司,2020,,,未单列药材种植对外收入；中药材及饮片、产品其他和其他业务仅作上界,,0.00,105826919.79,下界=0；上界=中药材及饮片/未拆中药生产与产品其他65128051.57+其他业务40698868.22=105826919.79,0,0.0291778021068423746914415456352602611703135933617856180049423,未单列可确认的药材初加工/农业投入品收入；未拆项目仅作上界,,0.00,105826919.79,下界=0；上界=中药材及饮片/未拆中药生产与产品其他65128051.57+其他业务40698868.22=105826919.79,0,0.0291778021068423746914415456352602611703135933617856180049423,3626966808.62,合并利润表营业收入,,,65128051.57,40423571.00,40698868.22,5237344.74,45660915.74,中西药生产、饮片、药品批发零售、卫生用品和酒饮,混合产品成本40423571.00+其他业务成本5237344.74=45660915.74，只作上界反向证据,否,否,否,产品维度中的中药材及饮片/其他与审计其他业务属于互斥收入层级；不叠加行业、地区，基地内部供料不另计,西药、药品流通、卫生用品及酒饮均属药品/日化深加工或商业；中药材及饮片混含饮片，不能整体纳入。,中药材及饮片未拆药材购销、初加工与饮片生产；产品其他和其他业务性质未拆，但上界不足4%。,15|16,80,,子公司药材种植、收购、加工基地及药材公司业务范围只证明业务存在，不替代合并口径对外收入,https://static.cninfo.com.cn/finalpage/2021-04-15/1209688970.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批V组（未合并）,已人工复核（第十九批V组；主表未合并）,2026-08-11
600479,株洲千金药业股份有限公司,2021,,,未单列药材种植对外收入；中药材及饮片、产品其他和其他业务仅作上界,,0.00,145020149.59,下界=0；上界=中药材及饮片/未拆中药生产与产品其他79897865.06+其他业务65122284.53=145020149.59,0,0.0395814137617854970488131479868299439808467132724210126519244,未单列可确认的药材初加工/农业投入品收入；未拆项目仅作上界,,0.00,145020149.59,下界=0；上界=中药材及饮片/未拆中药生产与产品其他79897865.06+其他业务65122284.53=145020149.59,0,0.0395814137617854970488131479868299439808467132724210126519244,3663844613.10,合并利润表营业收入,,,79897865.06,50406726.98,65122284.53,27273998.05,77680725.03,中西药生产、饮片、药品批发零售、卫生用品和酒饮,混合产品成本50406726.98+其他业务成本27273998.05=77680725.03，只作上界反向证据,否,否,否,产品维度中的中药材及饮片/其他与审计其他业务属于互斥收入层级；不叠加行业、地区，基地内部供料不另计,西药、药品流通、卫生用品及酒饮均属药品/日化深加工或商业；中药材及饮片混含饮片，不能整体纳入。,中药材及饮片未拆药材购销、初加工与饮片生产；产品其他和其他业务性质未拆，但上界不足4%。,14|16,88,,子公司药材种植、收购、加工基地及药材公司业务范围只证明业务存在，不替代合并口径对外收入,https://static.cninfo.com.cn/finalpage/2022-04-15/1212921027.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批V组（未合并）,已人工复核（第十九批V组；主表未合并）,2026-08-11
600479,株洲千金药业股份有限公司,2022,待核实,待核实,未单列药材种植对外收入；中药材及饮片、产品其他和其他业务仅作上界,,0.00,128607630.98,下界=0；上界=中药材及饮片/未拆中药生产与产品其他57261556.32+其他业务71346074.66=128607630.98,0,0.0319420596467439939738700544278338978797639116896695633295892,未单列可确认的药材初加工/农业投入品收入；未拆项目仅作上界,,0.00,128607630.98,下界=0；上界=中药材及饮片/未拆中药生产与产品其他57261556.32+其他业务71346074.66=128607630.98,0,0.0319420596467439939738700544278338978797639116896695633295892,4026278593.25,合并利润表营业收入,,,57261556.32,41126751.10,71346074.66,30161007.47,71287758.57,中西药生产、饮片、药品批发零售、卫生用品和酒饮,混合产品成本41126751.10+其他业务成本30161007.47=71287758.57，只作上界反向证据,否,否,否,产品维度中的中药材及饮片/其他与审计其他业务属于互斥收入层级；不叠加行业、地区，基地内部供料不另计,西药、药品流通、卫生用品及酒饮均属药品/日化深加工或商业；中药材及饮片混含饮片，不能整体纳入。,中药材及饮片未拆药材购销、初加工与饮片生产；产品其他和其他业务性质未拆，但上界不足4%。,15|16|17,95,,子公司药材种植、收购、加工基地及药材公司业务范围只证明业务存在，不替代合并口径对外收入,https://static.cninfo.com.cn/finalpage/2023-04-13/1216390724.PDF,沿用v30原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十九批V组（未合并）,已人工复核（第十九批V组；主表未合并）,2026-08-11
