股票代码,公司全称,年份,行业分类代码,行业分类名称,涉农业务_保守不重叠口径,工作表采用涉农业务营业收入_元,工作表采用收入公式,严格口径营业收入_元,严格口径收入公式,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,扩展口径营业收入_元,扩展口径收入公式,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,公司营业收入_元,公司营业收入公式,严格口径下界原始未四舍五入比例,严格口径上界原始未四舍五入比例,扩展口径下界原始未四舍五入比例,扩展口径上界原始未四舍五入比例,工作表采用涉农收入占比,严格口径收入占比,扩展口径收入占比,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,复核说明,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,记录类型,复核日期
002200,云南交投生态科技股份有限公司,2014,2.0,林业,苗木销售（不含租摆和绿化工程）,31714932.96,"花木销售31,714,932.96",31714932.96,"花木销售31,714,932.96",31714932.96,31714932.96,"花木销售31,714,932.96",31714932.96,"花木销售31,714,932.96",31714932.96,31714932.96,"花木销售31,714,932.96",730863861.53,合并利润表“营业收入”,0.04339376268188653232452019935,0.04339376268188653232452019935,0.04339376268188653232452019935,0.04339376268188653232452019935,0.04339376,0.04339376,0.04339376,否,否,否,否（只取分产品苗木销售）,苗木租摆、绿化/改造工程及设计施工不自动认定为农业生产性服务，均未计入。,2022逐公司行业分类及公司—年份入口仍待核实，本批不外推。,15,72,https://static.cninfo.com.cn/finalpage/2015-04-29/1200932991.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
002200,云南交投生态科技股份有限公司,2015,2.0,林业,苗木销售（不含租摆和绿化工程）,15113812.96,"苗木销售15,113,812.96",15113812.96,"苗木销售15,113,812.96",15113812.96,15113812.96,"苗木销售15,113,812.96",15113812.96,"苗木销售15,113,812.96",15113812.96,15113812.96,"苗木销售15,113,812.96",843267363.62,合并利润表“营业收入”,0.01792291936346146719620392843,0.01792291936346146719620392843,0.01792291936346146719620392843,0.01792291936346146719620392843,0.01792292,0.01792292,0.01792292,否,否,否,否（只取分产品苗木销售）,苗木租摆、绿化/改造工程及设计施工不自动认定为农业生产性服务，均未计入。,2022逐公司行业分类及公司—年份入口仍待核实，本批不外推。,13|14,72,https://static.cninfo.com.cn/finalpage/2016-04-30/1202280087.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
002200,云南交投生态科技股份有限公司,2016,2.0,林业,苗木销售（不含租摆和绿化工程）,12993024.88,"苗木销售12,993,024.88",12993024.88,"苗木销售12,993,024.88",12993024.88,12993024.88,"苗木销售12,993,024.88",12993024.88,"苗木销售12,993,024.88",12993024.88,12993024.88,"苗木销售12,993,024.88",1009742833.17,合并利润表“营业收入”,0.01286765744027073300866298438,0.01286765744027073300866298438,0.01286765744027073300866298438,0.01286765744027073300866298438,0.01286766,0.01286766,0.01286766,否,否,否,否（只取分产品苗木销售）,苗木租摆、绿化/改造工程及设计施工不自动认定为农业生产性服务，均未计入。,2022逐公司行业分类及公司—年份入口仍待核实，本批不外推。,12|13,69,https://static.cninfo.com.cn/finalpage/2017-04-27/1203405483.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
002200,云南交投生态科技股份有限公司,2017,2.0,林业,苗木销售（不含租摆和绿化工程）,7261216.54,"苗木销售7,261,216.54",7261216.54,"苗木销售7,261,216.54",7261216.54,7261216.54,"苗木销售7,261,216.54",7261216.54,"苗木销售7,261,216.54",7261216.54,7261216.54,"苗木销售7,261,216.54",675352381.59,合并利润表“营业收入”,0.01075174492300556573506285782,0.01075174492300556573506285782,0.01075174492300556573506285782,0.01075174492300556573506285782,0.01075174,0.01075174,0.01075174,否,否,否,否（只取分产品苗木销售）,苗木租摆、绿化/改造工程及设计施工不自动认定为农业生产性服务，均未计入。,2022逐公司行业分类及公司—年份入口仍待核实，本批不外推。,13|14,74,https://static.cninfo.com.cn/finalpage/2019-04-25/1206090415.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
002200,云南交投生态科技股份有限公司,2018,2.0,林业,苗木销售（不含租摆和绿化工程）,5656211.34,"苗木销售5,656,211.34",5656211.34,"苗木销售5,656,211.34",5656211.34,5656211.34,"苗木销售5,656,211.34",5656211.34,"苗木销售5,656,211.34",5656211.34,5656211.34,"苗木销售5,656,211.34",759638195.68,合并利润表“营业收入”,0.007445928038066554742043668269,0.007445928038066554742043668269,0.007445928038066554742043668269,0.007445928038066554742043668269,0.00744593,0.00744593,0.00744593,否,否,否,否（只取分产品苗木销售）,苗木租摆、绿化/改造工程及设计施工不自动认定为农业生产性服务，均未计入。,2022逐公司行业分类及公司—年份入口仍待核实，本批不外推。,13|14,80,https://static.cninfo.com.cn/finalpage/2019-04-25/1206090431.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
002200,云南交投生态科技股份有限公司,2019,2.0,林业,苗木销售（不含租摆和绿化工程）,4889675.67,"苗木销售4,889,675.67",4889675.67,"苗木销售4,889,675.67",4889675.67,4889675.67,"苗木销售4,889,675.67",4889675.67,"苗木销售4,889,675.67",4889675.67,4889675.67,"苗木销售4,889,675.67",682225076.39,合并利润表“营业收入”,0.007167247055581366007020338926,0.007167247055581366007020338926,0.007167247055581366007020338926,0.007167247055581366007020338926,0.00716725,0.00716725,0.00716725,否,否,否,否（只取分产品苗木销售）,苗木租摆、绿化/改造工程及设计施工不自动认定为农业生产性服务，均未计入。,2022逐公司行业分类及公司—年份入口仍待核实，本批不外推。,12|13,81,https://static.cninfo.com.cn/finalpage/2020-04-09/1207468747.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
002200,云南交投生态科技股份有限公司,2020,2.0,林业,苗木销售（不含租摆和绿化工程）,6017260.67,"苗木销售6,017,260.67",6017260.67,"苗木销售6,017,260.67",6017260.67,6017260.67,"苗木销售6,017,260.67",6017260.67,"苗木销售6,017,260.67",6017260.67,6017260.67,"苗木销售6,017,260.67",267712695.82,合并利润表“营业收入”,0.02247656074572489059028593962,0.02247656074572489059028593962,0.02247656074572489059028593962,0.02247656074572489059028593962,0.02247656,0.02247656,0.02247656,否,否,否,否（只取分产品苗木销售）,苗木租摆、绿化/改造工程及设计施工不自动认定为农业生产性服务，均未计入。,2022逐公司行业分类及公司—年份入口仍待核实，本批不外推。,13|14,101,https://static.cninfo.com.cn/finalpage/2021-06-10/1210211676.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
002200,云南交投生态科技股份有限公司,2021,2.0,林业,苗木销售（不含租摆和绿化工程）,2953197.00,"苗木销售2,953,197.00",2953197.00,"苗木销售2,953,197.00",2953197.00,2953197.00,"苗木销售2,953,197.00",2953197.00,"苗木销售2,953,197.00",2953197.00,2953197.00,"苗木销售2,953,197.00",392250219.03,合并利润表“营业收入”,0.007528860040672492776300591987,0.007528860040672492776300591987,0.007528860040672492776300591987,0.007528860040672492776300591987,0.00752886,0.00752886,0.00752886,否,否,否,否（只取分产品苗木销售）,苗木租摆、绿化/改造工程及设计施工不自动认定为农业生产性服务，均未计入。,2022逐公司行业分类及公司—年份入口仍待核实，本批不外推。,13|14,93,https://static.cninfo.com.cn/finalpage/2022-05-31/1213551383.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
300313,新疆天山畜牧生物工程股份有限公司,2013,3.0,畜牧业,自产冻精/胚胎、牛奶、自产活畜及代牧；牛羊初加工（扩展）,49931048.81,"采用可确认下界：自产普通冻精37,171,890.00+性控冻精2,543,000.00+牛奶8,277,044.81+后备牛羊1,939,114.00",,,49931048.81,51241051.81,"下界=自产普通冻精37,171,890.00+性控冻精2,543,000.00+牛奶8,277,044.81+后备牛羊1,939,114.00；上界再加来源未确认的育肥牛1,310,003.00",,,60870574.51,62180577.51,"下界=严格下界49,931,048.81+牛羊肉制品10,939,525.70；上界再加育肥牛1,310,003.00",82656575.60,合并利润表“营业收入”,0.6040783621575535001960569971,0.6199271072875174857836718801,0.7364274901076351873449739188,0.7522762352375991729325888018,0.60407836,,,是,是,否,否（产品维度；进口冻精和可识别进口活畜贸易排除，上界不写入正式分子）,畜牧育种产品按自产/服务与进口贸易拆分；无法拆分的活畜、种畜或冻精仅进入上界。,2018不在v20该公司待复核入口、2022逐公司行业分类仍缺；均不外推。本年上下界不能唯一确定门槛归属。,19,59,https://static.cninfo.com.cn/finalpage/2014-04-12/63828468.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
300313,新疆天山畜牧生物工程股份有限公司,2014,3.0,畜牧业,自产冻精/胚胎、牛奶、自产活畜及代牧；牛羊初加工（扩展）,64483455.87,"采用可确认下界：自产普通冻精37,025,681.87+性控冻精4,217,000.00+牛奶10,185,349.00+后备牛羊13,055,425.00",,,64483455.87,67979884.64,"下界=自产普通冻精37,025,681.87+性控冻精4,217,000.00+牛奶10,185,349.00+后备牛羊13,055,425.00；上界再加来源未确认的育肥牛3,000,428.77和其他496,000.00",,,71636715.59,75133144.36,"下界=严格下界64,483,455.87+牛羊肉制品7,153,259.72；上界再加育肥牛3,000,428.77和其他496,000.00",121943044.66,合并利润表“营业收入”,0.5287997855867214657423496219,0.5574724235362551755397510345,0.5874604475370985869888153078,0.6161330854866322967862167203,0.52879979,,,是,是,否,否（产品维度；进口冻精和可识别进口活畜贸易排除，上界不写入正式分子）,畜牧育种产品按自产/服务与进口贸易拆分；无法拆分的活畜、种畜或冻精仅进入上界。,2018不在v20该公司待复核入口、2022逐公司行业分类仍缺；均不外推。本年上下界不能唯一确定门槛归属。,17,69,https://static.cninfo.com.cn/finalpage/2015-03-28/1200755628.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
300313,新疆天山畜牧生物工程股份有限公司,2015,3.0,畜牧业,自产冻精/胚胎、牛奶、自产活畜及代牧；牛羊初加工（扩展）,,,,,45341626.24,162593499.33,"下界=普通冻精30,578,585.00+性控冻精692,020.00+牛奶12,200,906.24+后备牛羊1,870,115.00；上界再加来源未拆分的育肥牛113,562,592.03和其他3,689,281.06",,,79137739.79,196389612.82,"下界=严格下界45,341,626.24+牛羊肉制品33,796,113.55；上界=严格上界162,593,499.33+牛羊肉制品33,796,113.55",246867894.03,合并利润表“营业收入”,0.1836675701316185445161671921,0.6586255372285925276421008565,0.3205671604278480424318139917,0.7955251272817770551465339124,,,,待核实,待核实,待核实,否（产品维度；进口冻精和可识别进口活畜贸易排除，上界不写入正式分子）,畜牧育种产品按自产/服务与进口贸易拆分；无法拆分的活畜、种畜或冻精仅进入上界。,2018不在v20该公司待复核入口、2022逐公司行业分类仍缺；均不外推。本年上下界不能唯一确定门槛归属。,19|20|21,80,https://static.cninfo.com.cn/finalpage/2016-04-20/1202205446.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
300313,新疆天山畜牧生物工程股份有限公司,2016,3.0,畜牧业,自产冻精/胚胎、牛奶、自产活畜及代牧；牛羊初加工（扩展）,83385306.30,"采用可确认下界：严格下界28,522,479.00+牛羊肉制品54,862,827.30",,,28522479.00,56388536.57,"下界=普通/性控/羊冻精及胚胎10,811,185.00+牛奶9,807,646.00+后备牛羊4,991,996.20+育肥牛2,911,651.80；上界再加其他27,866,057.57",,,83385306.30,111251363.87,"下界=严格下界28,522,479.00+牛羊肉制品54,862,827.30；上界=严格上界56,388,536.57+牛羊肉制品54,862,827.30",375207065.81,合并利润表“营业收入”,0.07601796874060845661343597073,0.1502864463606728152836221771,0.2222381023661884860387352416,0.2965065799862528447089214479,0.22223810,,,否,否,否,否（产品维度；进口冻精和可识别进口活畜贸易排除，上界不写入正式分子）,畜牧育种产品按自产/服务与进口贸易拆分；无法拆分的活畜、种畜或冻精仅进入上界。,2018不在v20该公司待复核入口、2022逐公司行业分类仍缺；均不外推。本年上下界不能唯一确定门槛归属。,20|21|22,91,https://static.cninfo.com.cn/finalpage/2017-03-30/1203226226.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
300313,新疆天山畜牧生物工程股份有限公司,2017,3.0,畜牧业,自产冻精/胚胎、牛奶、自产活畜及代牧；牛羊初加工（扩展）,,,,,72561119.07,125070695.84,"下界=自产牛/羊冻精、胚胎、牛奶、后备牛羊、育肥牛及代牧72,561,119.07；上界再加来源混合的种畜42,652,019.54和其他9,857,557.23",,,93496147.11,146005723.88,"下界=严格下界72,561,119.07+牛羊肉制品20,935,028.04；上界=严格上界125,070,695.84+牛羊肉制品20,935,028.04",195305726.71,合并利润表“营业收入”,0.3715258138730488226962446349,0.6403841707402231451956588662,0.4787168747428890995881438688,0.7475752316100634220875581002,,,,待核实,待核实,待核实,否（产品维度；进口冻精和可识别进口活畜贸易排除，上界不写入正式分子）,畜牧育种产品按自产/服务与进口贸易拆分；无法拆分的活畜、种畜或冻精仅进入上界。,2018不在v20该公司待复核入口、2022逐公司行业分类仍缺；均不外推。本年上下界不能唯一确定门槛归属。,23|24|25,92,https://static.cninfo.com.cn/finalpage/2018-03-13/1204470167.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
300313,新疆天山畜牧生物工程股份有限公司,2019,3.0,畜牧业,自产冻精/胚胎、牛奶、自产活畜及代牧；牛羊初加工（扩展）,,,,,13464059.72,86789292.56,"下界=牛奶13,464,059.72；上界=畜牧业207,884,441.40-已由合同识别的进口母牛贸易121,095,148.84",,,13464059.72,86789292.56,无单列加工收入；扩展上下界同严格上下界,229005660.26,合并利润表“营业收入”,0.05879356739354683407247586431,0.3789831764920761090012369636,0.05879356739354683407247586431,0.3789831764920761090012369636,,,,否,否,待核实,否（产品维度；进口冻精和可识别进口活畜贸易排除，上界不写入正式分子）,畜牧育种产品按自产/服务与进口贸易拆分；无法拆分的活畜、种畜或冻精仅进入上界。,2018不在v20该公司待复核入口、2022逐公司行业分类仍缺；均不外推。本年上下界不能唯一确定门槛归属。,23|24,104,https://static.cninfo.com.cn/finalpage/2020-05-28/1207866388.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
300313,新疆天山畜牧生物工程股份有限公司,2020,3.0,畜牧业,自产冻精/胚胎、牛奶、自产活畜及代牧；牛羊初加工（扩展）,,,,,6784857.87,92998034.60,"下界=牛奶6,784,857.87；上界=畜牧业140,846,431.81-合同识别的进口母牛贸易47,848,397.21",,,6784857.87,92998034.60,无单列加工收入；扩展上下界同严格上下界,163309323.59,合并利润表“营业收入”,0.04154605334741255724283782149,0.5694594316824088194118519281,0.04154605334741255724283782149,0.5694594316824088194118519281,,,,待核实,待核实,待核实,否（产品维度；进口冻精和可识别进口活畜贸易排除，上界不写入正式分子）,畜牧育种产品按自产/服务与进口贸易拆分；无法拆分的活畜、种畜或冻精仅进入上界。,2018不在v20该公司待复核入口、2022逐公司行业分类仍缺；均不外推。本年上下界不能唯一确定门槛归属。,24|25,100,https://static.cninfo.com.cn/finalpage/2021-04-27/1209817650.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
300313,新疆天山畜牧生物工程股份有限公司,2021,3.0,畜牧业,自产冻精/胚胎、牛奶、自产活畜及代牧；牛羊初加工（扩展）,,,,,3788594.25,86776114.18,"下界=牛奶3,788,594.25；上界=畜牧业86,776,114.18（活畜和冻精未拆自产与贸易）",,,3788594.25,86776114.18,无单列加工收入；扩展上下界同严格上下界,107976195.34,合并利润表“营业收入”,0.03508731010636478312498392574,0.8036596761606177186127921592,0.03508731010636478312498392574,0.8036596761606177186127921592,,,,待核实,待核实,待核实,否（产品维度；进口冻精和可识别进口活畜贸易排除，上界不写入正式分子）,畜牧育种产品按自产/服务与进口贸易拆分；无法拆分的活畜、种畜或冻精仅进入上界。,2018不在v20该公司待复核入口、2022逐公司行业分类仍缺；均不外推。本年上下界不能唯一确定门槛归属。,22|23,104,https://static.cninfo.com.cn/finalpage/2022-04-27/1213145441.PDF,第十二批D组新增跨年快速复核（未合并）,2026-08-11
