股票代码,公司全称,年份,行业分类代码,行业分类名称,涉农业务_保守不重叠口径,工作表采用涉农业务营业收入_元,严格口径营业收入_元,扩展口径营业收入_元,公司营业收入_元,工作表采用涉农收入占比,严格口径收入占比,扩展口径收入占比,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,复核说明,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,记录类型,复核日期
600467,山东好当家海洋发展股份有限公司,2020,4.0,渔业,水产养殖、捕捞,705422086.32,705422086.32,705422086.32,1230137523.72,0.57344978,0.57344978,0.57344978,是,是,否,否（仅使用同一分行业维度）,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,12,54,https://static.cninfo.com.cn/finalpage/2021-04-24/1209787362.PDF,本次新增跨年快速复核,2026-08-11
600467,山东好当家海洋发展股份有限公司,2021,4.0,渔业,水产养殖、捕捞,680380539.53,680380539.53,680380539.53,1253664442.81,0.54271344,0.54271344,0.54271344,是,是,否,否（仅使用同一分行业维度）,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,12,64,https://static.cninfo.com.cn/finalpage/2022-04-26/1213099997.PDF,本次新增跨年快速复核,2026-08-11
600598,黑龙江北大荒农业股份有限公司,2013,1.0,农业,农业行业（土地承包及农产品经营）,3339524134.16,3339524134.16,3339524134.16,9409513052.16,0.35490935,0.35490935,0.35490935,否,否,是,否（仅使用同一分行业维度）,农业行业收入占35.49%，处于30%—50%；未将工业、商品流通或不同产品维度重复计入，列为边界样本。,12,75,https://static.cninfo.com.cn/finalpage/2014-03-27/63733625.PDF,本次新增跨年快速复核,2026-08-11
600598,黑龙江北大荒农业股份有限公司,2014,1.0,农业,农业行业（土地承包及农产品经营）,2771568795.49,2771568795.49,2771568795.49,5113819813.61,0.54197623,0.54197623,0.54197623,是,是,否,否（仅使用同一分行业维度）,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,9,58,https://static.cninfo.com.cn/finalpage/2015-03-31/1200763582.PDF,本次新增跨年快速复核,2026-08-11
600598,黑龙江北大荒农业股份有限公司,2015,1.0,农业,农业行业（土地承包及农产品经营）,2637577960.46,2637577960.46,2637577960.46,3654397734.62,0.72175449,0.72175449,0.72175449,是,是,否,否（仅使用同一分行业维度）,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,10,57,https://static.cninfo.com.cn/finalpage/2016-03-22/1202064999.PDF,本次新增跨年快速复核,2026-08-11
600598,黑龙江北大荒农业股份有限公司,2016,1.0,农业,农业行业（土地承包及农产品经营）,2563091960.64,2563091960.64,2563091960.64,3094778574.28,0.82819882,0.82819882,0.82819882,是,是,否,否（仅使用同一分行业维度）,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,10,63,https://static.cninfo.com.cn/finalpage/2017-03-28/1203209010.PDF,本次新增跨年快速复核,2026-08-11
600598,黑龙江北大荒农业股份有限公司,2017,1.0,农业,农业行业（土地承包及农产品经营）,2628324089.73,2628324089.73,2628324089.73,2992414562.19,0.87832887,0.87832887,0.87832887,是,是,否,否（仅使用同一分行业维度）,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,11,63|70,https://static.cninfo.com.cn/finalpage/2018-04-03/1204575674.PDF,本次新增跨年快速复核,2026-08-11
600598,黑龙江北大荒农业股份有限公司,2018,1.0,农业,农业行业（土地承包及农产品经营）,2697131614.70,2697131614.70,2697131614.70,3264778781.25,0.82612998,0.82612998,0.82612998,是,是,否,否（仅使用同一分行业维度）,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,11,70,https://static.cninfo.com.cn/finalpage/2019-04-04/1205991797.PDF,本次新增跨年快速复核,2026-08-11
600598,黑龙江北大荒农业股份有限公司,2019,1.0,农业,农业行业（土地承包费）,2675129872.46,2675129872.46,2675129872.46,3111306139.60,0.85980927,0.85980927,0.85980927,是,是,否,否（仅使用同一分行业维度）,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,12,70,https://static.cninfo.com.cn/finalpage/2020-03-30/1207423704.PDF,本次新增跨年快速复核,2026-08-11
600598,黑龙江北大荒农业股份有限公司,2020,1.0,农业,农业行业（土地承包及农产品经营）,2716126145.12,2716126145.12,2716126145.12,3240890962.86,0.83808008,0.83808008,0.83808008,是,是,否,否（仅使用同一分行业维度）,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,12,81,https://static.cninfo.com.cn/finalpage/2021-03-30/1209473690.PDF,本次新增跨年快速复核,2026-08-11
600598,黑龙江北大荒农业股份有限公司,2021,1.0,农业,农业行业（土地承包及农产品经营）,2842007878.60,2842007878.60,2842007878.60,3629374113.40,0.78305730,0.78305730,0.78305730,是,是,否,否（仅使用同一分行业维度）,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,14,89,https://static.cninfo.com.cn/finalpage/2022-03-30/1212721730.PDF,本次新增跨年快速复核,2026-08-11
