股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业成本_元_反向证据,公司营业收入公式,确认初加工收入_元,确认初加工成本_元_反向证据,混合乳品收入_元_扩展上界,混合乳品成本_元_反向证据,披露主营业务收入_元_核对,披露主营业务成本_元_核对,未拆其他收入_元_上界,深加工或排除类别,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,补充证据说明,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
603517,绝味食品股份有限公司,2022,待核实,待核实,未单列直接农业或合格初加工收入；分行业“其他”仅作保守上界,,0.00,728044404.89,下界=0；上界=未拆分行业其他728044404.89,0,0.109929339018828151632722283159114996658707017001257926790382,未单列直接农业或合格初加工收入；分行业“其他”仅作保守上界,,0.00,728044404.89,下界=0；上界=未拆分行业其他728044404.89,0,0.109929339018828151632722283159114996658707017001257926790382,6622839829.55,4929448355.22,合并利润表营业收入,,,,,6452465855.48,4799969962.55,728044404.89,鲜货卤制品、包装卤制品及加盟管理等休闲食品/服务,披露主营业务收入6452465855.48、成本4799969962.55，仅作排除口径反向核对,否,否,否,分行业与分产品为重叠维度；采用一套不重叠口径，不相加,禽畜蔬菜是卤制食品原料或成品类别，不等于上市公司直接养殖或农产品初加工；未拆“其他”不估算。,分行业“其他”性质未拆，但上下界均低于30%，不影响严格、扩展及边界结论。2022行业分类字段仍待核实。,22|23,84,分行业与分产品是重叠维度，只使用分行业/合计一次，不机械相加。,https://static.cninfo.com.cn/finalpage/2023-04-29/1216709701.PDF,沿用v31原值；待核实字段不插值、不复制相邻年份,跨年快速复核第二十批Z组（未合并）,已人工复核（第二十批Z组；主表未合并）,2026-08-11
605179,浙江一鸣食品股份有限公司,2020,,,未单列合并口径外销原奶或活畜收入；内部奶源不重复计入,,0.00,0.00,下界=上界=0（无单列合并口径外销原奶/活畜收入）,0,0,乳品混合巴氏杀菌乳与发酵乳、调制乳及特色乳饮品，仅作扩展上界,,0.00,1033660376.63,下界=0；上界=未拆乳品收入1033660376.63,0,0.530850510065025946260268903462707460951431337605756374430785,1947177891.01,1167537174.13,合并利润表营业收入,,,1033660376.63,617694032.54,1810982977.83,1078086496.04,,烘焙、其他食品，以及乳品中的发酵乳、调制乳和乳饮品,混合乳品成本617694032.54仅作反向证据，不按成本构成推算收入；食品主营成本1078086496.04,否,待核实,待核实,分行业与分产品为重叠维度；采用一套不重叠口径，不相加,自有牧场主要供应内部奶源，不形成可重复计入的合并外销收入；乳品行混合基础乳品与深加工乳品，不能整体纳入。,需取得乳品内部巴氏杀菌乳与发酵/调制乳收入拆分；2020扩展上界跨50%，2021—2022上界低于50%。,17|18,81,年报明确乳品包括低温巴氏杀菌乳、风味发酵乳、调制乳及蛋奶/热奶等特色乳饮品，且共线生产。,https://static.cninfo.com.cn/finalpage/2021-04-16/1209701699.PDF,沿用v31原值；待核实字段不插值、不复制相邻年份,跨年快速复核第二十批Z组（未合并）,已人工复核（第二十批Z组；主表未合并）,2026-08-11
605179,浙江一鸣食品股份有限公司,2021,,,未单列合并口径外销原奶或活畜收入；内部奶源不重复计入,,0.00,0.00,下界=上界=0（无单列合并口径外销原奶/活畜收入）,0,0,乳品混合巴氏杀菌乳与发酵乳、调制乳及特色乳饮品，仅作扩展上界,,0.00,1124943023.21,下界=0；上界=未拆乳品收入1124943023.21,0,0.485647127461120837909974040730827038809317477390664769969498,2316379444.25,1596599300.52,合并利润表营业收入,,,1124943023.21,763242483.86,2115503055.68,1421016152.33,,烘焙、其他食品，以及乳品中的发酵乳、调制乳和乳饮品,混合乳品成本763242483.86仅作反向证据，不按成本构成推算收入；食品主营成本1421016152.33,否,否,待核实,分行业与分产品为重叠维度；采用一套不重叠口径，不相加,自有牧场主要供应内部奶源，不形成可重复计入的合并外销收入；乳品行混合基础乳品与深加工乳品，不能整体纳入。,需取得乳品内部巴氏杀菌乳与发酵/调制乳收入拆分；2020扩展上界跨50%，2021—2022上界低于50%。,20|21,93,年报明确乳品包括低温巴氏杀菌乳、风味发酵乳、调制乳及蛋奶/热奶等特色乳饮品，且共线生产。,https://static.cninfo.com.cn/finalpage/2022-04-23/1213056816.PDF,沿用v31原值；待核实字段不插值、不复制相邻年份,跨年快速复核第二十批Z组（未合并）,已人工复核（第二十批Z组；主表未合并）,2026-08-11
605179,浙江一鸣食品股份有限公司,2022,待核实,待核实,未单列合并口径外销原奶或活畜收入；内部奶源不重复计入,,0.00,0.00,下界=上界=0（无单列合并口径外销原奶/活畜收入）,0,0,乳品混合巴氏杀菌乳与发酵乳、调制乳及特色乳饮品，仅作扩展上界,,0.00,1178091007.56,下界=0；上界=未拆乳品收入1178091007.56,0,0.484302589878069143634978196997401589157052245931723684053351,2432551533.24,1714703675.05,合并利润表营业收入,,,1178091007.56,821104755.70,2237121962.45,1540789874.10,,烘焙、其他食品，以及乳品中的发酵乳、调制乳和乳饮品,混合乳品成本821104755.70仅作反向证据，不按成本构成推算收入；食品主营成本1540789874.10,否,否,待核实,分行业与分产品为重叠维度；采用一套不重叠口径，不相加,自有牧场主要供应内部奶源，不形成可重复计入的合并外销收入；乳品行混合基础乳品与深加工乳品，不能整体纳入。,需取得乳品内部巴氏杀菌乳与发酵/调制乳收入拆分；2020扩展上界跨50%，2021—2022上界低于50%。2022行业分类字段仍待核实。,20|21,92,年报明确乳品包括低温巴氏杀菌乳、风味发酵乳、调制乳及蛋奶/热奶等特色乳饮品，且共线生产。,https://static.cninfo.com.cn/finalpage/2023-04-29/1216710851.PDF,沿用v31原值；待核实字段不插值、不复制相邻年份,跨年快速复核第二十批Z组（未合并）,已人工复核（第二十批Z组；主表未合并）,2026-08-11
605198,烟台北方安德利果汁股份有限公司,2020,,,未单列果树种植或其他直接农业生产外销收入,0.00,0.00,0.00,下界=上界=0（无单列直接种植收入）,0,0,浓缩果汁、香精和果渣等果品初加工（与既有2023已核实口径一致）,835579859.39,835579859.39,835579859.39,下界=上界=果汁/香精及果渣主营收入835579859.39,0.992351917933365881480950507009561028330640979366074189602027,0.992351917933365881480950507009561028330640979366074189602027,842019695.12,640995527.94,合并利润表营业收入,835579859.39,638702439.05,,,835579859.39,638702439.05,,公司营业收入与主营业务表之间未分类差额不纳入,初加工主营成本638702439.05仅作收入表反向核对，不以成本推算收入,否,是,否,分行业与分产品为重叠维度；采用一套不重叠口径，不相加,按项目既定且已用于2023的口径，浓缩果汁、香精及果渣属于果品初加工，计入扩展口径；原料果采购不计严格口径。,无影响结论的金额拆分缺口；未分类收入差额不纳入扩展分子。,13,70,采用产品合计作为单一披露维度；不再叠加相同金额的分行业、地区或销售模式。,https://static.cninfo.com.cn/finalpage/2021-03-31/1209496520.PDF,沿用v31原值；待核实字段不插值、不复制相邻年份,跨年快速复核第二十批Z组（未合并）,已人工复核（第二十批Z组；主表未合并）,2026-08-11
605198,烟台北方安德利果汁股份有限公司,2021,,,未单列果树种植或其他直接农业生产外销收入,0.00,0.00,0.00,下界=上界=0（无单列直接种植收入）,0,0,浓缩果汁、香精和果渣等果品初加工（与既有2023已核实口径一致）,861917167.76,861917167.76,861917167.76,下界=上界=果汁/香精及果渣主营收入861917167.76,0.988905124737237062024485002456421003366235799286473227096592,0.988905124737237062024485002456421003366235799286473227096592,871587320.36,691914568.76,合并利润表营业收入,861917167.76,687127067.00,,,861917167.76,687127067.00,,公司营业收入与主营业务表之间未分类差额不纳入,初加工主营成本687127067.00仅作收入表反向核对，不以成本推算收入,否,是,否,分行业与分产品为重叠维度；采用一套不重叠口径，不相加,按项目既定且已用于2023的口径，浓缩果汁、香精及果渣属于果品初加工，计入扩展口径；原料果采购不计严格口径。,无影响结论的金额拆分缺口；未分类收入差额不纳入扩展分子。,12|13|14,76,采用产品合计作为单一披露维度；不再叠加相同金额的分行业、地区或销售模式。,https://static.cninfo.com.cn/finalpage/2022-03-31/1212750571.PDF,沿用v31原值；待核实字段不插值、不复制相邻年份,跨年快速复核第二十批Z组（未合并）,已人工复核（第二十批Z组；主表未合并）,2026-08-11
605198,烟台北方安德利果汁股份有限公司,2022,待核实,待核实,未单列果树种植或其他直接农业生产外销收入,0.00,0.00,0.00,下界=上界=0（无单列直接种植收入）,0,0,浓缩果汁、香精和果渣等果品初加工（与既有2023已核实口径一致）,1053115862.71,1053115862.71,1053115862.71,下界=上界=果汁/香精及果渣主营收入1053115862.71,0.988442737155108648880401297758449065368854295049922263201060,0.988442737155108648880401297758449065368854295049922263201060,1065429309.28,852294128.44,合并利润表营业收入,1053115862.71,845280946.57,,,1053115862.71,845280946.57,,公司营业收入与主营业务表之间未分类差额不纳入,初加工主营成本845280946.57仅作收入表反向核对，不以成本推算收入,否,是,否,分行业与分产品为重叠维度；采用一套不重叠口径，不相加,按项目既定且已用于2023的口径，浓缩果汁、香精及果渣属于果品初加工，计入扩展口径；原料果采购不计严格口径。,无影响结论的金额拆分缺口；未分类收入差额不纳入扩展分子。2022行业分类字段仍待核实。,11|12,70,采用产品合计作为单一披露维度；不再叠加相同金额的分行业、地区或销售模式。,https://static.cninfo.com.cn/finalpage/2023-05-30/1216934323.PDF,沿用v31原值；待核实字段不插值、不复制相邻年份,跨年快速复核第二十批Z组（未合并）,已人工复核（第二十批Z组；主表未合并）,2026-08-11
605338,中饮巴比食品股份有限公司,2020,,,未单列直接农业生产或农产品初加工收入,0.00,0.00,0.00,下界=上界=0（无单列合格涉农外销收入）,0,0,未单列直接农业生产或农产品初加工收入,0.00,0.00,0.00,下界=上界=0（无单列合格涉农外销收入）,0,0,975090303.83,703069210.97,合并利润表营业收入,,,,,974211108.11,702812031.80,,面点/面米、馅料、外购食品、包装辅料及加盟管理,披露主营业务收入974211108.11、成本702812031.80，仅作排除口径反向核对,否,否,否,分行业与分产品为重叠维度；采用一套不重叠口径，不相加,面点、馅料等即食食品属于深加工，外购食品、包装辅料和加盟管理不属于农业生产或初加工。,年报业务类别均可按既定规则排除；未用原料采购、产销量或成本反推收入。,32|33,115,分行业与分产品是重叠维度，只使用分行业/合计一次，不机械相加。,https://static.cninfo.com.cn/finalpage/2021-04-28/1209844746.PDF,沿用v31原值；待核实字段不插值、不复制相邻年份,跨年快速复核第二十批Z组（未合并）,已人工复核（第二十批Z组；主表未合并）,2026-08-11
605338,中饮巴比食品股份有限公司,2021,,,未单列直接农业生产或农产品初加工收入,0.00,0.00,0.00,下界=上界=0（无单列合格涉农外销收入）,0,0,未单列直接农业生产或农产品初加工收入,0.00,0.00,0.00,下界=上界=0（无单列合格涉农外销收入）,0,0,1375446232.93,1022000212.70,合并利润表营业收入,,,,,1374617712.24,1021896176.73,,面点/面米、馅料、外购食品、包装辅料及加盟管理,披露主营业务收入1374617712.24、成本1021896176.73，仅作排除口径反向核对,否,否,否,分行业与分产品为重叠维度；采用一套不重叠口径，不相加,面点、馅料等即食食品属于深加工，外购食品、包装辅料和加盟管理不属于农业生产或初加工。,年报业务类别均可按既定规则排除；未用原料采购、产销量或成本反推收入。,18|19,95,分行业与分产品是重叠维度，只使用分行业/合计一次，不机械相加。,https://static.cninfo.com.cn/finalpage/2022-04-09/1212858280.PDF,沿用v31原值；待核实字段不插值、不复制相邻年份,跨年快速复核第二十批Z组（未合并）,已人工复核（第二十批Z组；主表未合并）,2026-08-11
605338,中饮巴比食品股份有限公司,2022,待核实,待核实,未单列直接农业生产或农产品初加工收入,0.00,0.00,0.00,下界=上界=0（无单列合格涉农外销收入）,0,0,未单列直接农业生产或农产品初加工收入,0.00,0.00,0.00,下界=上界=0（无单列合格涉农外销收入）,0,0,1525141412.03,1102557261.75,合并利润表营业收入,,,,,1523883991.40,1102485774.70,,面点/面米、馅料、外购食品、包装辅料及加盟管理,披露主营业务收入1523883991.40、成本1102485774.70，仅作排除口径反向核对,否,否,否,分行业与分产品为重叠维度；采用一套不重叠口径，不相加,面点、馅料等即食食品属于深加工，外购食品、包装辅料和加盟管理不属于农业生产或初加工。,年报业务类别均可按既定规则排除；未用原料采购、产销量或成本反推收入。2022行业分类字段仍待核实。,21|22,98,分行业与分产品是重叠维度，只使用分行业/合计一次，不机械相加。,https://static.cninfo.com.cn/finalpage/2023-04-07/1216345539.PDF,沿用v31原值；待核实字段不插值、不复制相邻年份,跨年快速复核第二十批Z组（未合并）,已人工复核（第二十批Z组；主表未合并）,2026-08-11
