股票代码,公司全称,年份,行业分类代码,行业分类名称,入口依据,涉农业务名称,涉农业务营业收入,公司营业收入,涉农收入占比,是否存在分部收入重叠,严格样本结论,扩展样本结论,边界样本结论,纳入或剔除理由,当年曾ST_已核实,年末ST_已核实,当年退市整理期_已核实,年报链接,年报主营业务表PDF页序号,利润表PDF页序号,复核状态,口径提示
300094,湛江国联水产开发股份有限公司,2014,4.0,渔业,行业分类候选+龙头企业身份核实候选,可确认的种苗/养殖；水产加工与贸易、深加工未可靠拆分,,2129362231.99,,是（合并披露含初加工、深加工及/或贸易，不能直接采用）,否,待核实,待核实,年报披露的直接种苗/养殖收入不足50%；水产品或加工销售合并口径包含初加工、精深加工及/或贸易，无法可靠得到符合扩展定义的收入分子，扩展和边界均待核实。,,,,https://static.cninfo.com.cn/finalpage/2015-04-30/1200945594.PDF,2014年报131；2015年报14（同期产品数）,63,已人工复核（跨年快速核对第八批）,逐年核对官方年报；混合披露收入只作审计上界，不写入正式涉农分子；无法拆分初加工、深加工、贸易或自产/外购时明确标记待核实。
300106,新疆西部牧业股份有限公司,2014,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,自产生鲜乳、种畜；单列饲料（扩展下界）,,771379830.66,,否（下界用同一分产品维度；上界仅作敏感性边界，不写入正式分子）,待核实,待核实,待核实,鲜乳为严格/扩展下界9.82%；种畜同时含自繁与集中采购且金额未拆分，鲜乳+全部种畜为上界54.88%，三项结论均不能确定。,,,,https://static.cninfo.com.cn/finalpage/2015-04-09/1200799700.PDF,17,73,已人工复核（跨年快速核对第十一批A组）,逐年核对官方年报；只使用营业收入或主营业务收入列，不使用营业成本列；同一维度计算并排除贸易、深加工及其他非涉农收入。 乳制品未拆分符合初加工定义的收入；早期“其他”未拆分饲料收入，禁止估算。另：2022逐公司行业分类及该公司2022公司—年份入口仍待核实，本批不外推新增。
600506,统一低碳科技(新疆)股份有限公司,2014,1.0,农业,行业分类候选,果品销售（仅作审计上限，正式分子待拆分自产与外购）,,111809729.71,,否（果品产品收入仅作上限；未与行业、地区或销售模式收入相加）,待核实,待核实,待核实,果品收入审计上限Decimal高精度门槛计算值=0.93985386435114028682325485607329441061395443024544；因自产与外购收入未拆分，不能据此判定50%或30%门槛。,,,,https://static.cninfo.com.cn/finalpage/2015-04-24/1200898900.PDF,12,39,已人工复核（跨年快速核对第十一批C组）,逐年核对官方年报；只使用营业收入或主营业务收入列，不使用营业成本列；同一维度计算并排除贸易、深加工及其他非涉农收入。 比例门槛采用Decimal 50位精度计算；文本值为高精度计算值，不表示无限精度小数 年报同时披露自产果品与外购果品购销，但未分别披露收入；不能把全部果品销售直接视为农业生产或初加工收入。
601118,海南天然橡胶产业集团股份有限公司,2014,1.0,农业,行业分类候选+龙头企业身份核实候选,自产天然橡胶收入未单列,,11198671739.1,,是（自产种植初加工与第三方贸易收入不可拆分）,待核实,待核实,待核实,"年报农业/天然橡胶合并披露收入为10,818,419,306.53元，但同时包含自产种植初加工和大规模第三方橡胶贸易；自产收入未单列，不能将合并金额作为涉农分子，严格、扩展及边界均待核实。",,,,https://static.cninfo.com.cn/finalpage/2015-04-15/1200834425.PDF,11,53,已人工复核（跨年快速核对第八批）,逐年核对官方年报；混合披露收入只作审计上界，不写入正式涉农分子；无法拆分初加工、深加工、贸易或自产/外购时明确标记待核实。
002069,獐子岛集团股份有限公司,2015,4.0,渔业,行业分类候选+龙头企业身份核实候选,水产养殖业；水产品加工仅作上下界（初加工与深加工不可拆分）,,2726780243.72,,加工合并披露风险：水产品加工整类无法拆分初加工与罐头/即食/调理/预制等深加工,否,待核实,待核实,严格原始占比0.33074059856017035437962770395746484552720345906526，未达50%；扩展下界占比0.33074059856017035437962770395746484552720345906526、上界占比0.66445054446640847543510160957504298636872918321732，因加工深浅层级不可拆分而待核实；贸易及其他业务未计入。,,,,https://static.cninfo.com.cn/finalpage/2016-04-30/1202284288.PDF,17,71,已人工复核（跨年快速核对第十一批B组）,逐年核对官方年报；只使用营业收入或主营业务收入列，不使用营业成本列；同一维度计算并排除贸易、深加工及其他非涉农收入。 分行业营业收入/主营业务收入列（禁止使用营业成本列） 年报水产品加工整类同时包含初加工与罐头/即食/调理/预制等深加工，无法可靠拆分；因此扩展正式分子、比例与结论不作估算，以养殖为下界、养殖加全部加工为上界。贸易收入仅作排除项记录。
002086,山东东方海洋科技股份有限公司,2015,4.0,渔业,行业分类候选+龙头企业身份核实候选,海水养殖；水产品加工仅作上下界（初加工与深加工不可拆分）,,674606421.29,,加工合并披露风险：水产品加工整类无法拆分初加工与罐头/即食/调理/预制等深加工,否,待核实,待核实,严格原始占比0.49374537408503830638063092368582277714654511808672，未达50%；扩展下界占比0.49374537408503830638063092368582277714654511808672、上界占比0.97332254056285726227437048652169967843918149313411，因加工深浅层级不可拆分而待核实；贸易及其他业务未计入。,,,,https://static.cninfo.com.cn/finalpage/2016-04-16/1202185529.PDF,16,74,已人工复核（跨年快速核对第十一批B组）,逐年核对官方年报；只使用营业收入或主营业务收入列，不使用营业成本列；同一维度计算并排除贸易、深加工及其他非涉农收入。 分行业营业收入/主营业务收入列（禁止使用营业成本列） 年报水产品加工整类同时包含初加工与罐头/即食/调理/预制等深加工，无法可靠拆分；因此扩展正式分子、比例与结论不作估算，以养殖为下界、养殖加全部加工为上界。贸易收入仅作排除项记录。
002299,福建圣农发展股份有限公司,2015,3.0,畜牧业,行业分类候选,家禽饲养加工行业（合并披露）,6571799379.43,6939825279.22,0.9469689963388582,合并披露风险：自产养殖与屠宰初加工无法可靠拆分；未估算严格分子,待核实,是,否,家禽饲养加工合并收入原始占比0.94696899633885823378312910816550711552915285355898，扩展口径达标；严格口径不估算。,,,,https://static.cninfo.com.cn/finalpage/2016-04-25/1202227356.PDF,15,76,已人工复核（跨年快速核对第十一批B组）,逐年核对官方年报；只使用营业收入或主营业务收入列，不使用营业成本列；同一维度计算并排除贸易、深加工及其他非涉农收入。 分行业营业收入/主营业务收入列（禁止使用营业成本列） 严格口径待核实；家禽饲养加工收入只用于扩展口径。年报未单列深加工收入，未将其他业务估算为深加工；贸易未单列，未估算。
300094,湛江国联水产开发股份有限公司,2015,4.0,渔业,行业分类候选+龙头企业身份核实候选,可确认的种苗/养殖；水产加工与贸易、深加工未可靠拆分,,2070469926.65,,是（合并披露含初加工、深加工及/或贸易，不能直接采用）,否,待核实,待核实,年报披露的直接种苗/养殖收入不足50%；水产品或加工销售合并口径包含初加工、精深加工及/或贸易，无法可靠得到符合扩展定义的收入分子，扩展和边界均待核实。,,,,https://static.cninfo.com.cn/finalpage/2016-04-26/1202243874.PDF,14,64,已人工复核（跨年快速核对第八批）,逐年核对官方年报；混合披露收入只作审计上界，不写入正式涉农分子；无法拆分初加工、深加工、贸易或自产/外购时明确标记待核实。
300106,新疆西部牧业股份有限公司,2015,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,自产生鲜乳、种畜；单列饲料（扩展下界）,,599902012.38,,否（下界用同一分产品维度；上界仅作敏感性边界，不写入正式分子）,否,待核实,待核实,可确认扩展下界占10.38%，若未拆分乳制品/其他中符合初加工或饲料的部分全部计入，上界占92.38%；上下界跨越门槛，不能定论。,,,,https://static.cninfo.com.cn/finalpage/2016-04-23/1202226538.PDF,25|26,87,已人工复核（跨年快速核对第十一批A组）,逐年核对官方年报；只使用营业收入或主营业务收入列，不使用营业成本列；同一维度计算并排除贸易、深加工及其他非涉农收入。 乳制品未拆分符合初加工定义的收入；早期“其他”未拆分饲料收入，禁止估算。另：2022逐公司行业分类及该公司2022公司—年份入口仍待核实，本批不外推新增。
300313,新疆天山畜牧生物工程股份有限公司,2015,3.0,畜牧业,行业分类候选,自产冻精/胚胎、牛奶、自产活畜及代牧；牛羊初加工（扩展）,,246867894.03,,否（产品维度；进口冻精和可识别进口活畜贸易排除，上界不写入正式分子）,待核实,待核实,待核实,畜牧育种产品按自产/服务与进口贸易拆分；无法拆分的活畜、种畜或冻精仅进入上界。,,,,https://static.cninfo.com.cn/finalpage/2016-04-20/1202205446.PDF,19|20|21,80,已人工复核（跨年快速核对第十二批D组）,逐年核对官方年报；纤维板/人造板、园林工程、租摆和贸易不计入初加工；自产育种与外购或进口混合且跨门槛时保留上下界。 2018不在v20该公司待复核入口、2022逐公司行业分类仍缺；均不外推。本年上下界不能唯一确定门槛归属。
600506,统一低碳科技(新疆)股份有限公司,2015,1.0,农业,行业分类候选,果品销售（仅作审计上限，正式分子待拆分自产与外购）,,57865834.04,,否（果品产品收入仅作上限；未与行业、地区或销售模式收入相加）,待核实,待核实,待核实,果品收入审计上限Decimal高精度门槛计算值=0.89494853118684954497546891315834562193756984687194；因自产与外购收入未拆分，不能据此判定50%或30%门槛。,,,,https://static.cninfo.com.cn/finalpage/2018-05-10/1204926781.PDF,10|12,45,已人工复核（跨年快速核对第十一批C组）,逐年核对官方年报；只使用营业收入或主营业务收入列，不使用营业成本列；同一维度计算并排除贸易、深加工及其他非涉农收入。 比例门槛采用Decimal 50位精度计算；文本值为高精度计算值，不表示无限精度小数 年报同时披露自产果品与外购果品购销，但未分别披露收入；不能把全部果品销售直接视为农业生产或初加工收入。
601118,海南天然橡胶产业集团股份有限公司,2015,1.0,农业,行业分类候选+龙头企业身份核实候选,自产天然橡胶收入未单列,,8400121545.48,,是（自产种植初加工与第三方贸易收入不可拆分）,待核实,待核实,待核实,"年报农业/天然橡胶合并披露收入为7,920,927,409.40元，但同时包含自产种植初加工和大规模第三方橡胶贸易；自产收入未单列，不能将合并金额作为涉农分子，严格、扩展及边界均待核实。",,,,https://static.cninfo.com.cn/finalpage/2016-04-23/1202232032.PDF,9,47,已人工复核（跨年快速核对第八批）,逐年核对官方年报；混合披露收入只作审计上界，不写入正式涉农分子；无法拆分初加工、深加工、贸易或自产/外购时明确标记待核实。
002069,獐子岛集团股份有限公司,2016,4.0,渔业,行业分类候选,水产养殖业；水产品加工仅作上下界（初加工与深加工不可拆分）,,3052101909.49,,加工合并披露风险：水产品加工整类无法拆分初加工与罐头/即食/调理/预制等深加工,否,待核实,待核实,严格原始占比0.29521666291298919900273726164386037930115144596977，未达50%；扩展下界占比0.29521666291298919900273726164386037930115144596977、上界占比0.60889383373851230780385091301881330877303333147033，因加工深浅层级不可拆分而待核实；贸易及其他业务未计入。,是,是,,https://static.cninfo.com.cn/finalpage/2017-03-21/1203181621.PDF,20,76,已人工复核（跨年快速核对第十一批B组）,逐年核对官方年报；只使用营业收入或主营业务收入列，不使用营业成本列；同一维度计算并排除贸易、深加工及其他非涉农收入。 分行业营业收入/主营业务收入列（禁止使用营业成本列） 年报水产品加工整类同时包含初加工与罐头/即食/调理/预制等深加工，无法可靠拆分；因此扩展正式分子、比例与结论不作估算，以养殖为下界、养殖加全部加工为上界。贸易收入仅作排除项记录。
002086,山东东方海洋科技股份有限公司,2016,4.0,渔业,行业分类候选,海水养殖；水产品加工仅作上下界（初加工与深加工不可拆分）,,706710877.5,,加工合并披露风险：水产品加工整类无法拆分初加工与罐头/即食/调理/预制等深加工,否,待核实,待核实,严格原始占比0.38907524176320605734556561993769510078044610258599，未达50%；扩展下界占比0.38907524176320605734556561993769510078044610258599、上界占比0.85999269940485669120042658463255364284385165700241，因加工深浅层级不可拆分而待核实；贸易及其他业务未计入。,,,,https://static.cninfo.com.cn/finalpage/2017-04-06/1203251063.PDF,20,83,已人工复核（跨年快速核对第十一批B组）,逐年核对官方年报；只使用营业收入或主营业务收入列，不使用营业成本列；同一维度计算并排除贸易、深加工及其他非涉农收入。 分行业营业收入/主营业务收入列（禁止使用营业成本列） 年报水产品加工整类同时包含初加工与罐头/即食/调理/预制等深加工，无法可靠拆分；因此扩展正式分子、比例与结论不作估算，以养殖为下界、养殖加全部加工为上界。贸易收入仅作排除项记录。
002299,福建圣农发展股份有限公司,2016,3.0,畜牧业,行业分类候选,家禽饲养加工行业（合并披露）,7989406799.9,8340420528.35,0.9579141450653637,合并披露风险：自产养殖与屠宰初加工无法可靠拆分；未估算严格分子,待核实,是,否,家禽饲养加工合并收入原始占比0.95791414506536378919946980805044912804693327151424，扩展口径达标；严格口径不估算。,,,,https://static.cninfo.com.cn/finalpage/2017-03-31/1203239273.PDF,15,72,已人工复核（跨年快速核对第十一批B组）,逐年核对官方年报；只使用营业收入或主营业务收入列，不使用营业成本列；同一维度计算并排除贸易、深加工及其他非涉农收入。 分行业营业收入/主营业务收入列（禁止使用营业成本列） 严格口径待核实；家禽饲养加工收入只用于扩展口径。年报未单列深加工收入，未将其他业务估算为深加工；贸易未单列，未估算。
300094,湛江国联水产开发股份有限公司,2016,4.0,渔业,行业分类候选,可确认的种苗/养殖；水产加工与贸易、深加工未可靠拆分,,2621366941.32,,是（合并披露含初加工、深加工及/或贸易，不能直接采用）,否,待核实,待核实,年报披露的直接种苗/养殖收入不足50%；水产品或加工销售合并口径包含初加工、精深加工及/或贸易，无法可靠得到符合扩展定义的收入分子，扩展和边界均待核实。,,,,https://static.cninfo.com.cn/finalpage/2017-04-26/1203387190.PDF,15,66,已人工复核（跨年快速核对第八批）,逐年核对官方年报；混合披露收入只作审计上界，不写入正式涉农分子；无法拆分初加工、深加工、贸易或自产/外购时明确标记待核实。
300106,新疆西部牧业股份有限公司,2016,3.0,畜牧业,行业分类候选,自产生鲜乳、种畜；单列饲料（扩展下界）,,664584792.47,,否（下界用同一分产品维度；上界仅作敏感性边界，不写入正式分子）,否,待核实,待核实,可确认扩展下界占4.41%，若未拆分乳制品/其他中符合初加工或饲料的部分全部计入，上界占88.31%；上下界跨越门槛，不能定论。,,,,https://static.cninfo.com.cn/finalpage/2017-04-28/1203415012.PDF,29|30|31,88,已人工复核（跨年快速核对第十一批A组）,逐年核对官方年报；只使用营业收入或主营业务收入列，不使用营业成本列；同一维度计算并排除贸易、深加工及其他非涉农收入。 乳制品未拆分符合初加工定义的收入；早期“其他”未拆分饲料收入，禁止估算。另：2022逐公司行业分类及该公司2022公司—年份入口仍待核实，本批不外推新增。
600506,统一低碳科技(新疆)股份有限公司,2016,1.0,农业,行业分类候选,果品销售（仅作审计上限，正式分子待拆分自产与外购）,,68031962.23,,否（果品产品收入仅作上限；未与行业、地区或销售模式收入相加）,待核实,待核实,待核实,果品收入审计上限Decimal高精度门槛计算值=0.88672048523390062447710763317784726492372995309972；因自产与外购收入未拆分，不能据此判定50%或30%门槛。,,,,https://static.cninfo.com.cn/finalpage/2018-05-10/1204926780.PDF,10,50,已人工复核（跨年快速核对第十一批C组）,逐年核对官方年报；只使用营业收入或主营业务收入列，不使用营业成本列；同一维度计算并排除贸易、深加工及其他非涉农收入。 比例门槛采用Decimal 50位精度计算；文本值为高精度计算值，不表示无限精度小数 年报同时披露自产果品与外购果品购销，但未分别披露收入；不能把全部果品销售直接视为农业生产或初加工收入。
601118,海南天然橡胶产业集团股份有限公司,2016,1.0,农业,行业分类候选,自产天然橡胶收入未单列,,8876506775.8,,是（自产种植初加工与第三方贸易收入不可拆分）,待核实,待核实,待核实,"年报农业/天然橡胶合并披露收入为8,144,831,743.78元，但同时包含自产种植初加工和大规模第三方橡胶贸易；自产收入未单列，不能将合并金额作为涉农分子，严格、扩展及边界均待核实。",,,,https://static.cninfo.com.cn/finalpage/2017-04-13/1203291103.PDF,12,62,已人工复核（跨年快速核对第八批）,逐年核对官方年报；混合披露收入只作审计上界，不写入正式涉农分子；无法拆分初加工、深加工、贸易或自产/外购时明确标记待核实。
002069,獐子岛集团股份有限公司,2017,4.0,渔业,行业分类候选,水产养殖业；水产品加工仅作上下界（初加工与深加工不可拆分）,,3205845988.9,,加工合并披露风险：水产品加工整类无法拆分初加工与罐头/即食/调理/预制等深加工,否,待核实,待核实,严格原始占比0.25921660064061226494061041635835770700706476473867，未达50%；扩展下界占比0.25921660064061226494061041635835770700706476473867、上界占比0.60022470333649657751342766009316948694172499398073，因加工深浅层级不可拆分而待核实；贸易及其他业务未计入。,是,否,,https://static.cninfo.com.cn/finalpage/2018-04-28/1204829160.PDF,22,83,已人工复核（跨年快速核对第十一批B组）,逐年核对官方年报；只使用营业收入或主营业务收入列，不使用营业成本列；同一维度计算并排除贸易、深加工及其他非涉农收入。 分行业营业收入/主营业务收入列（禁止使用营业成本列） 年报水产品加工整类同时包含初加工与罐头/即食/调理/预制等深加工，无法可靠拆分；因此扩展正式分子、比例与结论不作估算，以养殖为下界、养殖加全部加工为上界。贸易收入仅作排除项记录。
002086,山东东方海洋科技股份有限公司,2017,4.0,渔业,行业分类候选,海水养殖；水产品加工仅作上下界（初加工与深加工不可拆分）,,779407279.46,,加工合并披露风险：水产品加工整类无法拆分初加工与罐头/即食/调理/预制等深加工,否,待核实,待核实,严格原始占比0.38493763632521667441394312378443435483896756983466，未达50%；扩展下界占比0.38493763632521667441394312378443435483896756983466、上界占比0.86923623349962495357985041521952325646553180577347，因加工深浅层级不可拆分而待核实；贸易及其他业务未计入。,,,,https://static.cninfo.com.cn/finalpage/2018-05-22/1204979376.PDF,21,86,已人工复核（跨年快速核对第十一批B组）,逐年核对官方年报；只使用营业收入或主营业务收入列，不使用营业成本列；同一维度计算并排除贸易、深加工及其他非涉农收入。 分行业营业收入/主营业务收入列（禁止使用营业成本列） 年报水产品加工整类同时包含初加工与罐头/即食/调理/预制等深加工，无法可靠拆分；因此扩展正式分子、比例与结论不作估算，以养殖为下界、养殖加全部加工为上界。贸易收入仅作排除项记录。
002299,福建圣农发展股份有限公司,2017,3.0,畜牧业,行业分类候选,家禽饲养加工行业（合并披露）,7562392031.83,10158794866.3,0.7444182239486786,合并披露风险：自产养殖与屠宰初加工无法可靠拆分；未估算严格分子,待核实,是,否,家禽饲养加工合并收入原始占比0.74441822394867861217185015027632362814137592918274，扩展口径达标；严格口径不估算。,,,,https://static.cninfo.com.cn/finalpage/2018-04-23/1204675125.PDF,17,87,已人工复核（跨年快速核对第十一批B组）,逐年核对官方年报；只使用营业收入或主营业务收入列，不使用营业成本列；同一维度计算并排除贸易、深加工及其他非涉农收入。 分行业营业收入/主营业务收入列（禁止使用营业成本列） 严格口径待核实；家禽饲养加工收入只用于扩展口径。食品加工行业属于深加工，已单列但不进入分子；贸易未单列，未估算。
300094,湛江国联水产开发股份有限公司,2017,4.0,渔业,行业分类候选,可确认的种苗/养殖；水产加工与贸易、深加工未可靠拆分,,4095806660.34,,是（合并披露含初加工、深加工及/或贸易，不能直接采用）,否,待核实,待核实,年报披露的直接种苗/养殖收入不足50%；水产品或加工销售合并口径包含初加工、精深加工及/或贸易，无法可靠得到符合扩展定义的收入分子，扩展和边界均待核实。,,,,https://static.cninfo.com.cn/finalpage/2018-04-27/1204802544.PDF,17,84,已人工复核（跨年快速核对第八批）,逐年核对官方年报；混合披露收入只作审计上界，不写入正式涉农分子；无法拆分初加工、深加工、贸易或自产/外购时明确标记待核实。
