股票代码,公司全称,年份,行业分类代码,行业分类名称,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,记录类型,复核日期,涉农业务_保守不重叠口径,工作表采用涉农业务营业收入_元,工作表采用收入公式,严格口径营业收入_元,严格口径收入公式,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,扩展口径营业收入_元,扩展口径收入公式,可确认扩展口径收入下界_元,扩展口径收入下界公式,扩展口径收入上界_元,扩展口径收入上界公式,公司营业收入_元,公司营业收入公式,严格口径原始未四舍五入比例,扩展口径原始未四舍五入比例,扩展口径下界原始未四舍五入比例,扩展口径上界原始未四舍五入比例,工作表采用涉农收入占比,严格口径收入占比,扩展口径收入占比,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,金额精度或补充证据说明,复核说明,待核实点
600359,新疆塔里木农业综合开发股份有限公司,2014,1.0,农业,12|13,54,https://static.cninfo.com.cn/finalpage/2015-06-03/1201096261.PDF,第十一批A组新增跨年快速复核（未合并）,2026-08-11,种子、苗木、鲜奶/牛（严格）；农业+畜牧业分行业及园林绿化行业内单列苗木（扩展）,253023620.44,"农业241,107,237.32+畜牧业1,754,310.00+苗木10,162,073.12",111899109.11,"99,982,725.99+10,162,073.12+1,754,310.00",111899109.11,111899109.11,"99,982,725.99+10,162,073.12+1,754,310.00",253023620.44,"农业241,107,237.32+畜牧业1,754,310.00+苗木10,162,073.12",253023620.44,"农业241,107,237.32+畜牧业1,754,310.00+苗木10,162,073.12",253023620.44,"农业241,107,237.32+畜牧业1,754,310.00+苗木10,162,073.12",667729706.18,合并利润表“营业收入”,0.1675814451182067671536584025,0.3789312023985231886152835412,0.3789312023985231886152835412,0.3789312023985231886152835412,0.37893120,0.16758145,0.37893120,否,否,是,否（农业、畜牧业与园林绿化为互斥分行业；扩展仅从园林绿化中取单列苗木，不计工程施工）,,严格口径占16.76%；农业、畜牧业分行业加园林绿化行业内单列苗木的扩展口径占37.89%。苗木未包含在农业分行业，故相加不重叠。,2022逐公司行业分类及该公司2022公司—年份入口仍待核实；本批不外推新增。
600359,新疆塔里木农业综合开发股份有限公司,2015,1.0,农业,11|12,46,https://static.cninfo.com.cn/finalpage/2016-06-03/1202353960.PDF,第十一批A组新增跨年快速复核（未合并）,2026-08-11,种子、苗木、鲜奶/牛（严格）；农业+畜牧业分行业及园林绿化行业内单列苗木（扩展）,258468003.63,"农业255,716,374.96+畜牧业639,640.00+苗木2,111,988.67",80245040.64,"77,493,411.97+2,111,988.67+639,640.00",80245040.64,80245040.64,"77,493,411.97+2,111,988.67+639,640.00",258468003.63,"农业255,716,374.96+畜牧业639,640.00+苗木2,111,988.67",258468003.63,"农业255,716,374.96+畜牧业639,640.00+苗木2,111,988.67",258468003.63,"农业255,716,374.96+畜牧业639,640.00+苗木2,111,988.67",631268592.04,合并利润表“营业收入”,0.1271171125125694761311635491,0.4094422039828370105900762438,0.4094422039828370105900762438,0.4094422039828370105900762438,0.40944220,0.12711711,0.40944220,否,否,是,否（农业、畜牧业与园林绿化为互斥分行业；扩展仅从园林绿化中取单列苗木，不计工程施工）,,严格口径占12.71%；农业、畜牧业分行业加园林绿化行业内单列苗木的扩展口径占40.94%。苗木未包含在农业分行业，故相加不重叠。,2022逐公司行业分类及该公司2022公司—年份入口仍待核实；本批不外推新增。
600359,新疆塔里木农业综合开发股份有限公司,2016,1.0,农业,10|11,48,https://static.cninfo.com.cn/finalpage/2017-04-27/1203408447.PDF,第十一批A组新增跨年快速复核（未合并）,2026-08-11,种子、苗木、鲜奶/牛（严格）；农业+畜牧业分行业及园林绿化行业内单列苗木（扩展）,238397115.96,"农业235,703,992.85+畜牧业1,442,490.00+苗木1,250,633.11",96869145.84,"89,170,707.72+5,005,315.01+1,250,633.11+1,442,490.00",96869145.84,96869145.84,"89,170,707.72+5,005,315.01+1,250,633.11+1,442,490.00",238397115.96,"农业235,703,992.85+畜牧业1,442,490.00+苗木1,250,633.11",238397115.96,"农业235,703,992.85+畜牧业1,442,490.00+苗木1,250,633.11",238397115.96,"农业235,703,992.85+畜牧业1,442,490.00+苗木1,250,633.11",1562192861.03,合并利润表“营业收入”,0.06200844227141795057265817417,0.1526041514508123689706681030,0.1526041514508123689706681030,0.1526041514508123689706681030,0.15260415,0.06200844,0.15260415,否,否,否,否（农业、畜牧业与园林绿化为互斥分行业；扩展仅从园林绿化中取单列苗木，不计工程施工）,,严格口径占6.20%；农业、畜牧业分行业加园林绿化行业内单列苗木的扩展口径占15.26%。苗木未包含在农业分行业，故相加不重叠。,2022逐公司行业分类及该公司2022公司—年份入口仍待核实；本批不外推新增。
600359,新疆塔里木农业综合开发股份有限公司,2017,1.0,农业,11|12,61,https://static.cninfo.com.cn/finalpage/2018-04-17/1204639100.PDF,第十一批A组新增跨年快速复核（未合并）,2026-08-11,种子、苗木、鲜奶/牛（严格）；农业+畜牧业分行业及园林绿化行业内单列苗木（扩展）,257538087.95,"农业255,661,359.73+畜牧业907,750.00+苗木968,978.22",50966168.91,"45,356,085.76+3,733,354.93+968,978.22+907,750.00",50966168.91,50966168.91,"45,356,085.76+3,733,354.93+968,978.22+907,750.00",257538087.95,"农业255,661,359.73+畜牧业907,750.00+苗木968,978.22",257538087.95,"农业255,661,359.73+畜牧业907,750.00+苗木968,978.22",257538087.95,"农业255,661,359.73+畜牧业907,750.00+苗木968,978.22",1084701436.83,合并利润表“营业收入”,0.04698635696376207592674144573,0.2374276268155830760263380410,0.2374276268155830760263380410,0.2374276268155830760263380410,0.23742763,0.04698636,0.23742763,否,否,否,否（农业、畜牧业与园林绿化为互斥分行业；扩展仅从园林绿化中取单列苗木，不计工程施工）,,严格口径占4.70%；农业、畜牧业分行业加园林绿化行业内单列苗木的扩展口径占23.74%。苗木未包含在农业分行业，故相加不重叠。,2022逐公司行业分类及该公司2022公司—年份入口仍待核实；本批不外推新增。
600359,新疆塔里木农业综合开发股份有限公司,2018,1.0,农业,10|11,62,https://static.cninfo.com.cn/finalpage/2019-03-28/1205947730.PDF,第十一批A组新增跨年快速复核（未合并）,2026-08-11,种子、苗木、鲜奶/牛（严格）；农业+畜牧业分行业及园林绿化行业内单列苗木（扩展）,291358155.00,"农业290,155,416.27+苗木1,202,738.73",96103875.55,"91,177,659.74+3,723,477.08+1,202,738.73",96103875.55,96103875.55,"91,177,659.74+3,723,477.08+1,202,738.73",291358155.00,"农业290,155,416.27+苗木1,202,738.73",291358155.00,"农业290,155,416.27+苗木1,202,738.73",291358155.00,"农业290,155,416.27+苗木1,202,738.73",626562733.17,合并利润表“营业收入”,0.1533826869398645565794016437,0.4650103486460440996738510189,0.4650103486460440996738510189,0.4650103486460440996738510189,0.46501035,0.15338269,0.46501035,否,否,是,否（农业、畜牧业与园林绿化为互斥分行业；扩展仅从园林绿化中取单列苗木，不计工程施工）,,严格口径占15.34%；农业、畜牧业分行业加园林绿化行业内单列苗木的扩展口径占46.50%。苗木未包含在农业分行业，故相加不重叠。,2022逐公司行业分类及该公司2022公司—年份入口仍待核实；本批不外推新增。
600359,新疆塔里木农业综合开发股份有限公司,2019,1.0,农业,11,49,https://static.cninfo.com.cn/finalpage/2020-04-30/1207689907.PDF,第十一批A组新增跨年快速复核（未合并）,2026-08-11,种子、苗木、鲜奶/牛（严格）；农业+畜牧业分行业及园林绿化行业内单列苗木（扩展）,294362078.78,"农业291,726,146.95+苗木2,635,931.83",94654807.55,"68,864,684.11+1,204,668.70+21,949,522.91+2,635,931.83",94654807.55,94654807.55,"68,864,684.11+1,204,668.70+21,949,522.91+2,635,931.83",294362078.78,"农业291,726,146.95+苗木2,635,931.83",294362078.78,"农业291,726,146.95+苗木2,635,931.83",294362078.78,"农业291,726,146.95+苗木2,635,931.83",550803077.66,合并利润表“营业收入”,0.1718487266849089159826173510,0.5344234459083831982668228434,0.5344234459083831982668228434,0.5344234459083831982668228434,0.53442345,0.17184873,0.53442345,否,是,否,否（农业、畜牧业与园林绿化为互斥分行业；扩展仅从园林绿化中取单列苗木，不计工程施工）,,严格口径占17.18%；农业、畜牧业分行业加园林绿化行业内单列苗木的扩展口径占53.44%。苗木未包含在农业分行业，故相加不重叠。,2022逐公司行业分类及该公司2022公司—年份入口仍待核实；本批不外推新增。
600359,新疆塔里木农业综合开发股份有限公司,2020,1.0,农业,10,43,https://static.cninfo.com.cn/finalpage/2021-06-02/1210140909.PDF,第十一批A组新增跨年快速复核（未合并）,2026-08-11,种子、苗木、鲜奶/牛（严格）；农业+畜牧业分行业及园林绿化行业内单列苗木（扩展）,238227180.14,"农业238,217,680.14+苗木9,500.00",68751322.84,"67,338,743.39+1,403,079.45+9,500.00",68751322.84,68751322.84,"67,338,743.39+1,403,079.45+9,500.00",238227180.14,"农业238,217,680.14+苗木9,500.00",238227180.14,"农业238,217,680.14+苗木9,500.00",238227180.14,"农业238,217,680.14+苗木9,500.00",556230065.25,合并利润表“营业收入”,0.1236023133864571338001762212,0.4282889311870040092191870242,0.4282889311870040092191870242,0.4282889311870040092191870242,0.42828893,0.12360231,0.42828893,否,否,是,否（农业、畜牧业与园林绿化为互斥分行业；扩展仅从园林绿化中取单列苗木，不计工程施工）,,严格口径占12.36%；农业、畜牧业分行业加园林绿化行业内单列苗木的扩展口径占42.83%。苗木未包含在农业分行业，故相加不重叠。,2022逐公司行业分类及该公司2022公司—年份入口仍待核实；本批不外推新增。
600359,新疆塔里木农业综合开发股份有限公司,2021,1.0,农业,11|12,58,https://static.cninfo.com.cn/finalpage/2022-04-30/1213269166.PDF,第十一批A组新增跨年快速复核（未合并）,2026-08-11,种子、苗木、鲜奶/牛（严格）；农业+畜牧业分行业及园林绿化行业内单列苗木（扩展）,380463322.60,"农业377,665,515.90+苗木2,797,806.70",170068429.21,"116,224,058.35+1,011,945.50+2,797,806.70+50,034,618.66",170068429.21,170068429.21,"116,224,058.35+1,011,945.50+2,797,806.70+50,034,618.66",380463322.60,"农业377,665,515.90+苗木2,797,806.70",380463322.60,"农业377,665,515.90+苗木2,797,806.70",380463322.60,"农业377,665,515.90+苗木2,797,806.70",685361129.68,合并利润表“营业收入”,0.2481442583261267861285926320,0.5551282471733420876895505703,0.5551282471733420876895505703,0.5551282471733420876895505703,0.55512825,0.24814426,0.55512825,否,是,否,否（农业、畜牧业与园林绿化为互斥分行业；扩展仅从园林绿化中取单列苗木，不计工程施工）,,严格口径占24.81%；农业、畜牧业分行业加园林绿化行业内单列苗木的扩展口径占55.51%。苗木未包含在农业分行业，故相加不重叠。,2022逐公司行业分类及该公司2022公司—年份入口仍待核实；本批不外推新增。
600540,新疆赛里木现代农业股份有限公司,2013,1.0,农业,15,48,https://static.cninfo.com.cn/finalpage/2014-04-30/63954642.PDF,第十一批A组新增跨年快速复核（未合并）,2026-08-11,分行业农业收入（扩展口径）,1020959773.02,"农业1,020,959,773.02",0.00,0（年报未单列直接种植收入）,0.00,0.00,0（年报未单列直接种植收入）,1020959773.02,"农业1,020,959,773.02",1020959773.02,"农业1,020,959,773.02",1020959773.02,"农业1,020,959,773.02",1361014028.79,合并利润表“营业收入”,0,0.7501463992459189734345074737,0.7501463992459189734345074737,0.7501463992459189734345074737,0.75014640,0.00000000,0.75014640,否,是,否,否（扩展分子仅取同一分行业农业收入，不混入分产品或商贸收入）,,严格口径0；分行业农业收入占75.01%。,2022逐公司行业分类及该公司2022公司—年份入口仍待核实；本批不外推新增。
600540,新疆赛里木现代农业股份有限公司,2014,1.0,农业,15,51,https://static.cninfo.com.cn/finalpage/2015-04-17/1200848995.PDF,第十一批A组新增跨年快速复核（未合并）,2026-08-11,分行业农业收入（扩展口径）,560439246.17,"农业560,439,246.17",0.00,0（年报未单列直接种植收入）,0.00,0.00,0（年报未单列直接种植收入）,560439246.17,"农业560,439,246.17",560439246.17,"农业560,439,246.17",560439246.17,"农业560,439,246.17",1103264980.96,合并利润表“营业收入”,0,0.5079824483165747267860240269,0.5079824483165747267860240269,0.5079824483165747267860240269,0.50798245,0.00000000,0.50798245,否,是,否,否（扩展分子仅取同一分行业农业收入，不混入分产品或商贸收入）,,严格口径0；分行业农业收入占50.80%。2014年原产品口径48.61%已更正为分行业农业口径50.798245%，避免混入商贸维度。,2022逐公司行业分类及该公司2022公司—年份入口仍待核实；本批不外推新增。
600540,新疆赛里木现代农业股份有限公司,2015,1.0,农业,14|15,52,https://static.cninfo.com.cn/finalpage/2016-04-29/1202266220.PDF,第十一批A组新增跨年快速复核（未合并）,2026-08-11,分行业农业收入（扩展口径）,465017200.00,"农业46,501.72万元×10,000",0.00,0（年报未单列直接种植收入）,0.00,0.00,0（年报未单列直接种植收入）,465017200.00,"农业46,501.72万元×10,000",465017200.00,"农业46,501.72万元×10,000",465017200.00,"农业46,501.72万元×10,000",1192420710.73,合并利润表“营业收入”,0,0.3899774599816506493026232545,0.3899774599816506493026232545,0.3899774599816506493026232545,0.38997746,0.00000000,0.38997746,否,否,是,否（扩展分子仅取同一分行业农业收入，不混入分产品或商贸收入）,主营构成表单位为万元，换算为元；来源精度为万元。,严格口径0；分行业农业收入占39.00%。,2022逐公司行业分类及该公司2022公司—年份入口仍待核实；本批不外推新增。
600540,新疆赛里木现代农业股份有限公司,2016,1.0,农业,13|14,62,https://static.cninfo.com.cn/finalpage/2017-06-06/1203589810.PDF,第十一批A组新增跨年快速复核（未合并）,2026-08-11,分行业农业收入（扩展口径）,488300968.46,"农业488,300,968.46",0.00,0（年报未单列直接种植收入）,0.00,0.00,0（年报未单列直接种植收入）,488300968.46,"农业488,300,968.46",488300968.46,"农业488,300,968.46",488300968.46,"农业488,300,968.46",1050263247.15,合并利润表“营业收入”,0,0.4649319775637737834364434658,0.4649319775637737834364434658,0.4649319775637737834364434658,0.46493198,0.00000000,0.46493198,否,否,是,否（扩展分子仅取同一分行业农业收入，不混入分产品或商贸收入）,,严格口径0；分行业农业收入占46.49%。,2022逐公司行业分类及该公司2022公司—年份入口仍待核实；本批不外推新增。
600540,新疆赛里木现代农业股份有限公司,2017,1.0,农业,14|15,60,https://static.cninfo.com.cn/finalpage/2018-05-05/1204910340.PDF,第十一批A组新增跨年快速复核（未合并）,2026-08-11,分行业农业收入（扩展口径）,595054245.33,"农业595,054,245.33",0.00,0（年报未单列直接种植收入）,0.00,0.00,0（年报未单列直接种植收入）,595054245.33,"农业595,054,245.33",595054245.33,"农业595,054,245.33",595054245.33,"农业595,054,245.33",1102602781.42,合并利润表“营业收入”,0,0.5396814295748940248487768956,0.5396814295748940248487768956,0.5396814295748940248487768956,0.53968143,0.00000000,0.53968143,否,是,否,否（扩展分子仅取同一分行业农业收入，不混入分产品或商贸收入）,,严格口径0；分行业农业收入占53.97%。,2022逐公司行业分类及该公司2022公司—年份入口仍待核实；本批不外推新增。
600540,新疆赛里木现代农业股份有限公司,2018,1.0,农业,16,63,https://static.cninfo.com.cn/finalpage/2019-03-28/1205949320.PDF,第十一批A组新增跨年快速复核（未合并）,2026-08-11,分行业农业收入（扩展口径）,682875124.19,"农业682,875,124.19",0.00,0（年报未单列直接种植收入）,0.00,0.00,0（年报未单列直接种植收入）,682875124.19,"农业682,875,124.19",682875124.19,"农业682,875,124.19",682875124.19,"农业682,875,124.19",1283510819.63,合并利润表“营业收入”,0,0.5320369051402727208033204634,0.5320369051402727208033204634,0.5320369051402727208033204634,0.53203691,0.00000000,0.53203691,否,是,否,否（扩展分子仅取同一分行业农业收入，不混入分产品或商贸收入）,,严格口径0；分行业农业收入占53.20%。,2022逐公司行业分类及该公司2022公司—年份入口仍待核实；本批不外推新增。
600540,新疆赛里木现代农业股份有限公司,2019,1.0,农业,14,62,https://static.cninfo.com.cn/finalpage/2020-04-29/1207668099.PDF,第十一批A组新增跨年快速复核（未合并）,2026-08-11,分行业农业收入（扩展口径）,1154754982.13,"农业1,154,754,982.13",0.00,0（年报未单列直接种植收入）,0.00,0.00,0（年报未单列直接种植收入）,1154754982.13,"农业1,154,754,982.13",1154754982.13,"农业1,154,754,982.13",1154754982.13,"农业1,154,754,982.13",1380228765.64,合并利润表“营业收入”,0,0.8366402808555799228343345310,0.8366402808555799228343345310,0.8366402808555799228343345310,0.83664028,0.00000000,0.83664028,否,是,否,否（扩展分子仅取同一分行业农业收入，不混入分产品或商贸收入）,,严格口径0；分行业农业收入占83.66%。,2022逐公司行业分类及该公司2022公司—年份入口仍待核实；本批不外推新增。
