股票代码,公司全称,年份,行业分类代码,行业分类名称,涉农业务_保守不重叠口径,工作表采用涉农业务营业收入_元,严格口径营业收入_元,严格口径收入上界_元,扩展口径营业收入_元,不可直接采用的合并披露收入_元,公司营业收入_元,工作表采用涉农收入占比,严格口径收入占比,严格口径收入上界占比,扩展口径收入占比,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,复核说明,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,记录类型,复核日期
300094,湛江国联水产开发股份有限公司,2013,4.0,渔业,可确认的种苗/养殖；水产加工与贸易、深加工未可靠拆分,,50729909.78,,,2200249935.96,2213827410.03,,0.02291502,,,否,待核实,待核实,是（合并披露含初加工、深加工及/或贸易，不能直接采用）,年报披露的直接种苗/养殖收入不足50%；水产品或加工销售合并口径包含初加工、精深加工及/或贸易，无法可靠得到符合扩展定义的收入分子，扩展和边界均待核实。,22,67|80,https://static.cninfo.com.cn/finalpage/2014-04-25/63918502.PDF,本次新增跨年快速复核（未合并）,2026-08-11
300094,湛江国联水产开发股份有限公司,2014,4.0,渔业,可确认的种苗/养殖；水产加工与贸易、深加工未可靠拆分,,58309070.00,,,2125946854.50,2129362231.99,,0.02738335,,,否,待核实,待核实,是（合并披露含初加工、深加工及/或贸易，不能直接采用）,年报披露的直接种苗/养殖收入不足50%；水产品或加工销售合并口径包含初加工、精深加工及/或贸易，无法可靠得到符合扩展定义的收入分子，扩展和边界均待核实。,2014年报131；2015年报14（同期产品数）,63,https://static.cninfo.com.cn/finalpage/2015-04-30/1200945594.PDF,本次新增跨年快速复核（未合并）,2026-08-11
300094,湛江国联水产开发股份有限公司,2015,4.0,渔业,可确认的种苗/养殖；水产加工与贸易、深加工未可靠拆分,,52716502.16,,,2068941559.87,2070469926.65,,0.02546113,,,否,待核实,待核实,是（合并披露含初加工、深加工及/或贸易，不能直接采用）,年报披露的直接种苗/养殖收入不足50%；水产品或加工销售合并口径包含初加工、精深加工及/或贸易，无法可靠得到符合扩展定义的收入分子，扩展和边界均待核实。,14,64,https://static.cninfo.com.cn/finalpage/2016-04-26/1202243874.PDF,本次新增跨年快速复核（未合并）,2026-08-11
300094,湛江国联水产开发股份有限公司,2016,4.0,渔业,可确认的种苗/养殖；水产加工与贸易、深加工未可靠拆分,,64639580.88,,,2604200300.22,2621366941.32,,0.02465873,,,否,待核实,待核实,是（合并披露含初加工、深加工及/或贸易，不能直接采用）,年报披露的直接种苗/养殖收入不足50%；水产品或加工销售合并口径包含初加工、精深加工及/或贸易，无法可靠得到符合扩展定义的收入分子，扩展和边界均待核实。,15,66,https://static.cninfo.com.cn/finalpage/2017-04-26/1203387190.PDF,本次新增跨年快速复核（未合并）,2026-08-11
300094,湛江国联水产开发股份有限公司,2017,4.0,渔业,可确认的种苗/养殖；水产加工与贸易、深加工未可靠拆分,,52428135.60,,,4090238762.13,4095806660.34,,0.01280044,,,否,待核实,待核实,是（合并披露含初加工、深加工及/或贸易，不能直接采用）,年报披露的直接种苗/养殖收入不足50%；水产品或加工销售合并口径包含初加工、精深加工及/或贸易，无法可靠得到符合扩展定义的收入分子，扩展和边界均待核实。,17,84,https://static.cninfo.com.cn/finalpage/2018-04-27/1204802544.PDF,本次新增跨年快速复核（未合并）,2026-08-11
300094,湛江国联水产开发股份有限公司,2018,4.0,渔业,可确认的种苗/养殖；水产加工与贸易、深加工未可靠拆分,,31898726.00,,,4723620273.89,4737778725.97,,0.00673284,,,否,待核实,待核实,是（合并披露含初加工、深加工及/或贸易，不能直接采用）,年报披露的直接种苗/养殖收入不足50%；水产品或加工销售合并口径包含初加工、精深加工及/或贸易，无法可靠得到符合扩展定义的收入分子，扩展和边界均待核实。,18,85,https://static.cninfo.com.cn/finalpage/2019-04-18/1206048768.PDF,本次新增跨年快速复核（未合并）,2026-08-11
300094,湛江国联水产开发股份有限公司,2019,4.0,渔业,可确认的种苗/养殖；水产加工与贸易、深加工未可靠拆分,,57213889.16,,,4623444874.37,4637165159.34,,0.01233812,,,否,待核实,待核实,是（合并披露含初加工、深加工及/或贸易，不能直接采用）,年报披露的直接种苗/养殖收入不足50%；水产品或加工销售合并口径包含初加工、精深加工及/或贸易，无法可靠得到符合扩展定义的收入分子，扩展和边界均待核实。,25,111,https://static.cninfo.com.cn/finalpage/2020-05-22/1207845534.PDF,本次新增跨年快速复核（未合并）,2026-08-11
300094,湛江国联水产开发股份有限公司,2020,4.0,渔业,可确认的种苗/养殖；水产加工与贸易、深加工未可靠拆分,,,,,4414481552.97,4494106122.88,,,,,否,待核实,待核实,是（合并披露含初加工、深加工及/或贸易，不能直接采用）,年报披露的直接种苗/养殖收入不足50%；水产品或加工销售合并口径包含初加工、精深加工及/或贸易，无法可靠得到符合扩展定义的收入分子，扩展和边界均待核实。,14,76|178,https://static.cninfo.com.cn/finalpage/2021-04-29/1209854106.PDF,本次新增跨年快速复核（未合并）,2026-08-11
300094,湛江国联水产开发股份有限公司,2021,,,可确认的种苗/养殖；水产加工与贸易、深加工未可靠拆分,,,,,4369408776.17,4474169975.45,,,,,否,待核实,待核实,是（合并披露含初加工、深加工及/或贸易，不能直接采用）,年报披露的直接种苗/养殖收入不足50%；水产品或加工销售合并口径包含初加工、精深加工及/或贸易，无法可靠得到符合扩展定义的收入分子，扩展和边界均待核实。,19,82,https://static.cninfo.com.cn/finalpage/2022-05-25/1213500520.PDF,本次新增跨年快速复核（未合并）,2026-08-11
300094,湛江国联水产开发股份有限公司,2022,,,可确认的种苗/养殖；水产加工与贸易、深加工未可靠拆分,,,,,5029115830.89,5114218375.88,,,,,否,待核实,待核实,是（合并披露含初加工、深加工及/或贸易，不能直接采用）,年报披露的直接种苗/养殖收入不足50%；水产品或加工销售合并口径包含初加工、精深加工及/或贸易，无法可靠得到符合扩展定义的收入分子，扩展和边界均待核实。,15,72,https://static.cninfo.com.cn/finalpage/2023-04-29/1216702702.PDF,本次新增跨年快速复核（未合并）,2026-08-11
601118,海南天然橡胶产业集团股份有限公司,2013,1.0,农业,自产天然橡胶收入未单列,,,,,11437906232.88,11694732913.16,,,,,待核实,待核实,待核实,是（自产种植初加工与第三方贸易收入不可拆分）,"年报农业/天然橡胶合并披露收入为11,437,906,232.88元，但同时包含自产种植初加工和大规模第三方橡胶贸易；自产收入未单列，不能将合并金额作为涉农分子，严格、扩展及边界均待核实。",13,52,https://static.cninfo.com.cn/finalpage/2014-04-18/63863610.PDF,本次新增跨年快速复核（未合并）,2026-08-11
601118,海南天然橡胶产业集团股份有限公司,2014,1.0,农业,自产天然橡胶收入未单列,,,,,10818419306.53,11198671739.10,,,,,待核实,待核实,待核实,是（自产种植初加工与第三方贸易收入不可拆分）,"年报农业/天然橡胶合并披露收入为10,818,419,306.53元，但同时包含自产种植初加工和大规模第三方橡胶贸易；自产收入未单列，不能将合并金额作为涉农分子，严格、扩展及边界均待核实。",11,53,https://static.cninfo.com.cn/finalpage/2015-04-15/1200834425.PDF,本次新增跨年快速复核（未合并）,2026-08-11
601118,海南天然橡胶产业集团股份有限公司,2015,1.0,农业,自产天然橡胶收入未单列,,,,,7920927409.40,8400121545.48,,,,,待核实,待核实,待核实,是（自产种植初加工与第三方贸易收入不可拆分）,"年报农业/天然橡胶合并披露收入为7,920,927,409.40元，但同时包含自产种植初加工和大规模第三方橡胶贸易；自产收入未单列，不能将合并金额作为涉农分子，严格、扩展及边界均待核实。",9,47,https://static.cninfo.com.cn/finalpage/2016-04-23/1202232032.PDF,本次新增跨年快速复核（未合并）,2026-08-11
601118,海南天然橡胶产业集团股份有限公司,2016,1.0,农业,自产天然橡胶收入未单列,,,,,8144831743.78,8876506775.80,,,,,待核实,待核实,待核实,是（自产种植初加工与第三方贸易收入不可拆分）,"年报农业/天然橡胶合并披露收入为8,144,831,743.78元，但同时包含自产种植初加工和大规模第三方橡胶贸易；自产收入未单列，不能将合并金额作为涉农分子，严格、扩展及边界均待核实。",12,62,https://static.cninfo.com.cn/finalpage/2017-04-13/1203291103.PDF,本次新增跨年快速复核（未合并）,2026-08-11
601118,海南天然橡胶产业集团股份有限公司,2017,1.0,农业,自产天然橡胶收入未单列,,,,,10271653925.31,10818322651.34,,,,,待核实,待核实,待核实,是（自产种植初加工与第三方贸易收入不可拆分）,"年报农业/天然橡胶合并披露收入为10,271,653,925.31元，但同时包含自产种植初加工和大规模第三方橡胶贸易；自产收入未单列，不能将合并金额作为涉农分子，严格、扩展及边界均待核实。",13,62,https://static.cninfo.com.cn/finalpage/2024-04-30/1219927686.PDF,本次新增跨年快速复核（未合并）,2026-08-11
601118,海南天然橡胶产业集团股份有限公司,2018,1.0,农业,自产天然橡胶收入未单列,,,,,6519261296.34,6754522891.75,,,,,待核实,待核实,待核实,是（自产种植初加工与第三方贸易收入不可拆分）,"年报农业/天然橡胶合并披露收入为6,519,261,296.34元，但同时包含自产种植初加工和大规模第三方橡胶贸易；自产收入未单列，不能将合并金额作为涉农分子，严格、扩展及边界均待核实。",14,79,https://static.cninfo.com.cn/finalpage/2024-04-30/1219927658.PDF,本次新增跨年快速复核（未合并）,2026-08-11
601118,海南天然橡胶产业集团股份有限公司,2019,1.0,农业,自产天然橡胶收入未单列,,,,,13443468791.91,13747601241.97,,,,,待核实,待核实,待核实,是（自产种植初加工与第三方贸易收入不可拆分）,"年报农业/天然橡胶合并披露收入为13,443,468,791.91元，但同时包含自产种植初加工和大规模第三方橡胶贸易；自产收入未单列，不能将合并金额作为涉农分子，严格、扩展及边界均待核实。",18,89,https://static.cninfo.com.cn/finalpage/2024-04-30/1219927659.PDF,本次新增跨年快速复核（未合并）,2026-08-11
601118,海南天然橡胶产业集团股份有限公司,2020,1.0,农业,自产天然橡胶收入未单列,,,,,15190587885.67,15532109816.38,,,,,待核实,待核实,待核实,是（自产种植初加工与第三方贸易收入不可拆分）,"年报农业/天然橡胶合并披露收入为15,190,587,885.67元，但同时包含自产种植初加工和大规模第三方橡胶贸易；自产收入未单列，不能将合并金额作为涉农分子，严格、扩展及边界均待核实。",14,70,https://static.cninfo.com.cn/finalpage/2024-04-30/1219927649.PDF,本次新增跨年快速复核（未合并）,2026-08-11
601118,海南天然橡胶产业集团股份有限公司,2021,1.0,农业,自产天然橡胶收入未单列,,,,,14682866114.20,15207422670.09,,,,,待核实,待核实,待核实,是（自产种植初加工与第三方贸易收入不可拆分）,"年报农业/天然橡胶合并披露收入为14,682,866,114.20元，但同时包含自产种植初加工和大规模第三方橡胶贸易；自产收入未单列，不能将合并金额作为涉农分子，严格、扩展及边界均待核实。",14,77,https://static.cninfo.com.cn/finalpage/2024-04-30/1219927646.PDF,本次新增跨年快速复核（未合并）,2026-08-11
601118,海南天然橡胶产业集团股份有限公司,2022,,,自产天然橡胶收入未单列,,,,,14791688496.94,15371271093.62,,,,,待核实,待核实,待核实,是（自产种植初加工与第三方贸易收入不可拆分）,"年报农业/天然橡胶合并披露收入为14,791,688,496.94元，但同时包含自产种植初加工和大规模第三方橡胶贸易；自产收入未单列，不能将合并金额作为涉农分子，严格、扩展及边界均待核实。",15,83,https://static.cninfo.com.cn/finalpage/2024-04-30/1219927655.PDF,本次新增跨年快速复核（未合并）,2026-08-11
