股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业成本_元_反向证据,公司营业收入公式,严格口径成本下界_元_反向证据,严格口径成本上界_元_反向证据,扩展口径成本下界_元_反向证据,扩展口径成本上界_元_反向证据,单列初加工或农业投入品收入_元,单列初加工或农业投入品成本_元_反向证据,未拆上界项目,未拆上界项目收入_元,未拆上界项目成本_元_反向证据,明确排除类别,明确排除收入_元_反向证据,明确排除成本_元_反向证据,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,补充证据说明,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
002505,湖南大康牧业股份有限公司,2015,3.0,畜牧业,可单列畜牧养殖收入；2016乳制品交叉项仅作严格上界，不把笼统农林牧渔业整体计入严格口径,,152500253.06,155363722.66,下界=152500253.06；上界=155363722.66,0.0394324372664811737035871366498833640508685426428180038795186,0.0401728529910508306234242582417915398424910285278523313920088,直接养殖及可确认饲料、屠宰初加工；混合农资经销/粮食贸易行业仅作扩展上界,,349596903.02,409557417.00,下界=349596903.02；上界=409557417.00,0.0903962955488898437891466043020923110093286572351474116417971,0.105900461335762783954356484139674672431946041331683120486958,3867380857.78,3901501714.68,当年年报合并利润表营业收入,212442285.87,3901501714.68,401170344.35,3901501714.68,,,牛奶销售及其他,59960513.98,3689059428.81,商品贸易/食品或医药深加工（依公司而异）,,,收入决定纳入范围；成本仅作反向核对，不按成本率推算收入,否,否,否,产品与行业披露存在交叉映射；仅构造互斥上下界，不机械相加,2016农林牧渔业同时映射巴西大宗贸易与安源乳业，严格上界受乳制品产品行约束；2017畜牧养殖行业含羊及牧场原奶。农资/粮食混合行业只进扩展上界，乳制品贸易排除。,混合业务未拆，正式分子留空。,19|20,88,官方年报收入构成表与合并利润表逐年核对；上下界使用原始金额比较30%/50%，不以显示百分比反推。,https://static.cninfo.com.cn/finalpage/2016-04-26/1202245398.PDF,不适用,跨年快速复核第二十批X组（未合并）,已人工复核（第二十批X组；主表未合并）,2026-08-11
002505,湖南大康国际农业食品股份有限公司,2016,3.0,畜牧业,可单列畜牧养殖收入；2016乳制品交叉项仅作严格上界，不把笼统农林牧渔业整体计入严格口径,,113235980.14,491033982.14,下界=113235980.14；上界=491033982.14,0.0181958866512607325252741135401413853677661610032218020257026,0.0789042375920624670745996173321427585936074402380527565975062,直接养殖及可确认饲料、屠宰初加工；混合农资经销/粮食贸易行业仅作扩展上界,,187364397.63,2669939338.63,下界=187364397.63；上界=2669939338.63,0.0301075800954975955195589746416515408321099623862561589677858,0.429032481649286544994970504653456858447479176201672213473730,6223163636.39,5732543143.90,当年年报合并利润表营业收入,101505485.00,361550902.75,171202804.00,2273894143.90,,,乳制品与农林牧渔业交叉映射；农资/粮食混合行业及其他,2482574941.00,2102691339.90,商品贸易/食品或医药深加工（依公司而异）,,,收入决定纳入范围；成本仅作反向核对，不按成本率推算收入,否,否,待核实,产品与行业披露存在交叉映射；仅构造互斥上下界，不机械相加,2016农林牧渔业同时映射巴西大宗贸易与安源乳业，严格上界受乳制品产品行约束；2017畜牧养殖行业含羊及牧场原奶。农资/粮食混合行业只进扩展上界，乳制品贸易排除。,混合业务未拆，正式分子留空。,24|25,100,官方年报收入构成表与合并利润表逐年核对；上下界使用原始金额比较30%/50%，不以显示百分比反推。,https://static.cninfo.com.cn/finalpage/2017-06-09/1203602818.PDF,不适用,跨年快速复核第二十批X组（未合并）,已人工复核（第二十批X组；主表未合并）,2026-08-11
002505,湖南大康国际农业食品股份有限公司,2017,3.0,畜牧业,可单列畜牧养殖收入；2016乳制品交叉项仅作严格上界，不把笼统农林牧渔业整体计入严格口径,,141152695.32,146490072.13,下界=141152695.32；上界=146490072.13,0.0114035233204992450824529950438496175725486261780028663340300,0.0118347223194637578652726717291569108031933240787657820023468,直接养殖及可确认饲料、屠宰初加工；混合农资经销/粮食贸易行业仅作扩展上界,,141152695.32,8111939925.95,下界=141152695.32；上界=8111939925.95,0.0114035233204992450824529950438496175725486261780028663340300,0.655351964128967681062802182560272656183494558233156968160959,12377989797.79,11453087706.18,当年年报合并利润表营业收入,95570209.54,96122965.11,95570209.54,7325534936.02,,,农林牧渔业混合农资经销与粮食贸易；其他,7970787230.63,7229964726.48,商品贸易/食品或医药深加工（依公司而异）,,,收入决定纳入范围；成本仅作反向核对，不按成本率推算收入,否,待核实,待核实,产品与行业披露存在交叉映射；仅构造互斥上下界，不机械相加,2016农林牧渔业同时映射巴西大宗贸易与安源乳业，严格上界受乳制品产品行约束；2017畜牧养殖行业含羊及牧场原奶。农资/粮食混合行业只进扩展上界，乳制品贸易排除。,混合业务未拆，正式分子留空。,24|25,85,官方年报收入构成表与合并利润表逐年核对；上下界使用原始金额比较30%/50%，不以显示百分比反推。,https://static.cninfo.com.cn/finalpage/2018-06-14/1205058656.PDF,不适用,跨年快速复核第二十批X组（未合并）,已人工复核（第二十批X组；主表未合并）,2026-08-11
002847,盐津铺子食品股份有限公司,2019,,,无直接农业生产收入；全部产品均为休闲食品深加工/销售,0.00,0.00,0.00,下界=0.00；上界=0.00,0,0,无可确认初加工、农业投入品或生产性服务收入；其他类亦为深加工食品,0.00,0.00,0.00,下界=0.00；上界=0.00,0,0,1399275040.98,799428180.46,当年年报合并利润表营业收入,0.00,0.00,0.00,0.00,,,其他类礼盒/组合装（明确休闲食品深加工）,0.00,0.00,商品贸易/食品或医药深加工（依公司而异）,,,收入决定纳入范围；成本仅作反向核对，不按成本率推算收入,否,否,否,采用同一产品维度；其他与各深加工产品互斥，不叠加地区、渠道或采购额,主营为休闲食品深加工/销售；坚果、果干等产品名称和农产品采购不能替代直接农业收入。,无,15|16,89,官方年报收入构成表与合并利润表逐年核对；上下界使用原始金额比较30%/50%，不以显示百分比反推。,https://static.cninfo.com.cn/finalpage/2020-03-07/1207350907.PDF,不适用,跨年快速复核第二十批X组（未合并）,已人工复核（第二十批X组；主表未合并）,2026-08-11
002847,盐津铺子食品股份有限公司,2020,,,无直接农业生产收入；全部产品均为休闲食品深加工/销售,0.00,0.00,0.00,下界=0.00；上界=0.00,0,0,无可确认初加工、农业投入品或生产性服务收入；其他类亦为深加工食品,0.00,0.00,0.00,下界=0.00；上界=0.00,0,0,1958851487.13,1100248386.50,当年年报合并利润表营业收入,0.00,0.00,0.00,0.00,,,其他休闲食品（明确深加工）,0.00,0.00,商品贸易/食品或医药深加工（依公司而异）,,,收入决定纳入范围；成本仅作反向核对，不按成本率推算收入,否,否,否,采用同一产品维度；其他与各深加工产品互斥，不叠加地区、渠道或采购额,主营为休闲食品深加工/销售；坚果、果干等产品名称和农产品采购不能替代直接农业收入。,无,19|20,88,官方年报收入构成表与合并利润表逐年核对；上下界使用原始金额比较30%/50%，不以显示百分比反推。,https://static.cninfo.com.cn/finalpage/2021-03-31/1209492236.PDF,不适用,跨年快速复核第二十批X组（未合并）,已人工复核（第二十批X组；主表未合并）,2026-08-11
002847,盐津铺子食品股份有限公司,2021,,,无直接农业生产收入；全部产品均为休闲食品深加工/销售,0.00,0.00,0.00,下界=0.00；上界=0.00,0,0,无可确认初加工、农业投入品或生产性服务收入；其他类亦为深加工食品,0.00,0.00,0.00,下界=0.00；上界=0.00,0,0,2281504301.67,1466799028.76,当年年报合并利润表营业收入,0.00,0.00,0.00,0.00,,,其他（含辣条等明确深加工食品）,0.00,0.00,商品贸易/食品或医药深加工（依公司而异）,,,收入决定纳入范围；成本仅作反向核对，不按成本率推算收入,否,否,否,采用同一产品维度；其他与各深加工产品互斥，不叠加地区、渠道或采购额,主营为休闲食品深加工/销售；坚果、果干等产品名称和农产品采购不能替代直接农业收入。,无,20|21,90,官方年报收入构成表与合并利润表逐年核对；上下界使用原始金额比较30%/50%，不以显示百分比反推。,https://static.cninfo.com.cn/finalpage/2022-03-31/1212750970.PDF,不适用,跨年快速复核第二十批X组（未合并）,已人工复核（第二十批X组；主表未合并）,2026-08-11
002847,盐津铺子食品股份有限公司,2022,待核实,待核实,无直接农业生产收入；全部产品均为休闲食品深加工/销售,0.00,0.00,0.00,下界=0.00；上界=0.00,0,0,无可确认初加工、农业投入品或生产性服务收入；其他类亦为深加工食品,0.00,0.00,0.00,下界=0.00；上界=0.00,0,0,2893520454.12,1888914286.73,当年年报合并利润表营业收入,0.00,0.00,0.00,0.00,,,其他休闲食品（明确深加工）,0.00,0.00,商品贸易/食品或医药深加工（依公司而异）,,,收入决定纳入范围；成本仅作反向核对，不按成本率推算收入,否,否,否,采用同一产品维度；其他与各深加工产品互斥，不叠加地区、渠道或采购额,主营为休闲食品深加工/销售；坚果、果干等产品名称和农产品采购不能替代直接农业收入。,2022行业字段仍待核实；无,20|21|22,92,官方年报收入构成表与合并利润表逐年核对；上下界使用原始金额比较30%/50%，不以显示百分比反推。,https://static.cninfo.com.cn/finalpage/2023-04-15/1216420073.PDF,待核实；不插值、不复制相邻年份,跨年快速复核第二十批X组（未合并）,已人工复核（第二十批X组；主表未合并）,2026-08-11
300783,三只松鼠股份有限公司,2020,,,无直接农业生产收入；全部产品均为休闲食品深加工/销售,0.00,0.00,0.00,下界=0.00；上界=0.00,0,0,无可确认初加工、农业投入品或生产性服务收入；其他类亦为深加工食品,0.00,0.00,0.00,下界=0.00；上界=0.00,0,0,9794123156.82,7453794454.54,当年年报合并利润表营业收入,0.00,0.00,0.00,0.00,,,其他坚果/果干/休闲食品（明确深加工）,0.00,0.00,商品贸易/食品或医药深加工（依公司而异）,,,收入决定纳入范围；成本仅作反向核对，不按成本率推算收入,否,否,否,采用同一产品维度；其他与各深加工产品互斥，不叠加地区、渠道或采购额,主营为休闲食品深加工/销售；坚果、果干等产品名称和农产品采购不能替代直接农业收入。,无,25|26|27,111,官方年报收入构成表与合并利润表逐年核对；上下界使用原始金额比较30%/50%，不以显示百分比反推。,https://static.cninfo.com.cn/finalpage/2021-03-27/1209464627.PDF,不适用,跨年快速复核第二十批X组（未合并）,已人工复核（第二十批X组；主表未合并）,2026-08-11
300783,三只松鼠股份有限公司,2021,,,无直接农业生产收入；全部产品均为休闲食品深加工/销售,0.00,0.00,0.00,下界=0.00；上界=0.00,0,0,无可确认初加工、农业投入品或生产性服务收入；其他类亦为深加工食品,0.00,0.00,0.00,下界=0.00；上界=0.00,0,0,9770215328.66,6899404820.53,当年年报合并利润表营业收入,0.00,0.00,0.00,0.00,,,其他坚果/果干/休闲食品（明确深加工）,0.00,0.00,商品贸易/食品或医药深加工（依公司而异）,,,收入决定纳入范围；成本仅作反向核对，不按成本率推算收入,否,否,否,采用同一产品维度；其他与各深加工产品互斥，不叠加地区、渠道或采购额,主营为休闲食品深加工/销售；坚果、果干等产品名称和农产品采购不能替代直接农业收入。,无,22|23|24,100,官方年报收入构成表与合并利润表逐年核对；上下界使用原始金额比较30%/50%，不以显示百分比反推。,https://static.cninfo.com.cn/finalpage/2022-04-23/1213049252.PDF,不适用,跨年快速复核第二十批X组（未合并）,已人工复核（第二十批X组；主表未合并）,2026-08-11
300783,三只松鼠股份有限公司,2022,待核实,待核实,无直接农业生产收入；全部产品均为休闲食品深加工/销售,0.00,0.00,0.00,下界=0.00；上界=0.00,0,0,无可确认初加工、农业投入品或生产性服务收入；其他类亦为深加工食品,0.00,0.00,0.00,下界=0.00；上界=0.00,0,0,7293157824.12,5342813150.88,当年年报合并利润表营业收入,0.00,0.00,0.00,0.00,,,其他坚果/果干/休闲食品（明确深加工）,0.00,0.00,商品贸易/食品或医药深加工（依公司而异）,,,收入决定纳入范围；成本仅作反向核对，不按成本率推算收入,否,否,否,采用同一产品维度；其他与各深加工产品互斥，不叠加地区、渠道或采购额,主营为休闲食品深加工/销售；坚果、果干等产品名称和农产品采购不能替代直接农业收入。,2022行业字段仍待核实；无,22,80,官方年报收入构成表与合并利润表逐年核对；上下界使用原始金额比较30%/50%，不以显示百分比反推。,https://static.cninfo.com.cn/finalpage/2023-04-26/1216582867.PDF,待核实；不插值、不复制相邻年份,跨年快速复核第二十批X组（未合并）,已人工复核（第二十批X组；主表未合并）,2026-08-11
