股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业收入公式,未拆候选收入上界_元,未拆候选上界公式,深加工排除类别,深加工收入_元_反向证据,深加工成本_元_反向证据,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,排除业务说明,纳入或剔除理由,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
002702,海欣食品股份有限公司,2019,待核实,待核实,未确认；以其他产品未拆候选项作保守上界,,0.00,8611692.23,0—其他产品8611692.23,0,0.0062170035660395365023522579560609046928082515626960,未确认；以其他产品未拆候选项作保守上界,,0.00,8611692.23,0—其他产品8611692.23,0,0.0062170035660395365023522579560609046928082515626960,1385183736.59,合并利润表营业收入,8611692.23,0—其他产品8611692.23,食品加工制造业（速冻鱼肉/肉制品等）,1385183736.59,983847399.66,深加工收入取营业收入列；对应营业成本仅作反向证据，未进入涉农分子,否,否,否,待核实（未拆候选项只作整体上界，不与深加工类别相加）,速冻鱼肉制品、速冻肉制品、常温休闲制品、速冻米面及菜肴均为食品深加工,鱼糜或鱼浆是生产原料/中间材料；年报未单列公司外售原料鱼、初加工水产品或农业投入品收入。,其他产品未拆分；2014年鱼糜亦可能属于初加工候选。正式分子留空，须取得产品性质及外销明细后确认。 因上界仍低于30%，不影响三类样本结论。,13|14,71,https://static.cninfo.com.cn/finalpage/2020-04-29/1207657400.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十四批I组（未合并）,已人工复核（第十四批I组；主表未合并）,2026-08-11
002702,海欣食品股份有限公司,2020,待核实,待核实,未确认；以其他产品未拆候选项作保守上界,,0.00,11940198.04,0—其他产品11940198.04,0,0.0074358944853736695435806315810628692414304621540325,未确认；以其他产品未拆候选项作保守上界,,0.00,11940198.04,0—其他产品11940198.04,0,0.0074358944853736695435806315810628692414304621540325,1605751408.05,合并利润表营业收入,11940198.04,0—其他产品11940198.04,食品加工制造业（速冻鱼肉/肉制品、米面及菜肴等）,1605751408.05,1210068647.01,深加工收入取营业收入列；对应营业成本仅作反向证据，未进入涉农分子,否,否,否,待核实（未拆候选项只作整体上界，不与深加工类别相加）,速冻鱼肉制品、速冻肉制品、常温休闲制品、速冻米面及菜肴均为食品深加工,鱼糜或鱼浆是生产原料/中间材料；年报未单列公司外售原料鱼、初加工水产品或农业投入品收入。,其他产品未拆分；2014年鱼糜亦可能属于初加工候选。正式分子留空，须取得产品性质及外销明细后确认。 因上界仍低于30%，不影响三类样本结论。,17|18,52|88,https://static.cninfo.com.cn/finalpage/2021-04-21/1209737590.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十四批I组（未合并）,已人工复核（第十四批I组；主表未合并）,2026-08-11
002702,海欣食品股份有限公司,2021,待核实,待核实,未确认；以其他产品未拆候选项作保守上界,,0.00,12431304.48,0—其他产品12431304.48,0,0.0080186562941536609317662042950611192038573095724048,未确认；以其他产品未拆候选项作保守上界,,0.00,12431304.48,0—其他产品12431304.48,0,0.0080186562941536609317662042950611192038573095724048,1550297708.74,合并利润表营业收入,12431304.48,0—其他产品12431304.48,食品加工制造业（速冻鱼肉/肉制品、米面及菜肴等）,1550297708.74,1252294626.51,深加工收入取营业收入列；对应营业成本仅作反向证据，未进入涉农分子,否,否,否,待核实（未拆候选项只作整体上界，不与深加工类别相加）,速冻鱼肉制品、速冻肉制品、常温休闲制品、速冻米面及菜肴均为食品深加工,鱼糜或鱼浆是生产原料/中间材料；年报未单列公司外售原料鱼、初加工水产品或农业投入品收入。,其他产品未拆分；2014年鱼糜亦可能属于初加工候选。正式分子留空，须取得产品性质及外销明细后确认。 因上界仍低于30%，不影响三类样本结论。,17|18|19,79,https://static.cninfo.com.cn/finalpage/2022-04-27/1213135765.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十四批I组（未合并）,已人工复核（第十四批I组；主表未合并）,2026-08-11
002702,海欣食品股份有限公司,2022,待核实,待核实,未确认；以其他产品未拆候选项作保守上界,,0.00,13543983.57,0—其他产品13543983.57,0,0.0083532795035386616994591160304803308413278040031216,未确认；以其他产品未拆候选项作保守上界,,0.00,13543983.57,0—其他产品13543983.57,0,0.0083532795035386616994591160304803308413278040031216,1621397148.78,合并利润表营业收入,13543983.57,0—其他产品13543983.57,食品加工制造业（速冻鱼肉/肉制品、米面及菜肴等）,1621397148.78,1257364590.80,深加工收入取营业收入列；对应营业成本仅作反向证据，未进入涉农分子,否,否,否,待核实（未拆候选项只作整体上界，不与深加工类别相加）,速冻鱼肉制品、速冻肉制品、常温休闲制品、速冻米面及菜肴均为食品深加工,鱼糜或鱼浆是生产原料/中间材料；年报未单列公司外售原料鱼、初加工水产品或农业投入品收入。,其他产品未拆分；2014年鱼糜亦可能属于初加工候选。正式分子留空，须取得产品性质及外销明细后确认。 因上界仍低于30%，不影响三类样本结论。,15|16,68,https://static.cninfo.com.cn/finalpage/2023-04-21/1216487337.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十四批I组（未合并）,已人工复核（第十四批I组；主表未合并）,2026-08-11
600305,江苏恒顺醋业股份有限公司,2014,待核实,待核实,未确认；以非调味品剩余收入（含米业、茶庄、饲料残渣等未拆项目）作保守上界,,0.00,170923930.55,0—（营业收入-调味品收入）=170923930.55,0,0.14154248635968160531164152175088297490451739741114,未确认；以非调味品剩余收入（含米业、茶庄、饲料残渣等未拆项目）作保守上界,,0.00,170923930.55,0—（营业收入-调味品收入）=170923930.55,0,0.14154248635968160531164152175088297490451739741114,1207580387.67,合并利润表营业收入,170923930.55,0—（营业收入-调味品收入）=170923930.55,酱醋调味品,1036656457.12,597385240.89,深加工收入取营业收入列；对应营业成本仅作反向证据，未进入涉农分子,否,否,否,待核实（未拆候选项只作整体上界，不与深加工类别相加）,食醋、料酒、酱及复合调味料均为发酵或调味食品深加工,粮食等农产品仅为酿造原料；年报未单列种植、初加工农产品或农业投入品收入。,非调味品剩余收入混合米业、茶庄、饲料残渣等项目，正式分子留空；须取得业务明细后确认可纳入口径。 因上界仍低于30%，不影响三类样本结论。,12,55,https://static.cninfo.com.cn/finalpage/2015-04-21/1200874128.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十四批I组（未合并）,已人工复核（第十四批I组；主表未合并）,2026-08-11
600305,江苏恒顺醋业股份有限公司,2015,待核实,待核实,未确认；以非调味品剩余收入（含米业、茶庄、饲料残渣等未拆项目）作保守上界,,0.00,167192785.73,0—（营业收入-调味品收入）=167192785.73,0,0.12807505123026099403011518338379513275755743155875,未确认；以非调味品剩余收入（含米业、茶庄、饲料残渣等未拆项目）作保守上界,,0.00,167192785.73,0—（营业收入-调味品收入）=167192785.73,0,0.12807505123026099403011518338379513275755743155875,1305428216.69,合并利润表营业收入,167192785.73,0—（营业收入-调味品收入）=167192785.73,酱醋调味品,1138235430.96,669629072.34,深加工收入取营业收入列；对应营业成本仅作反向证据，未进入涉农分子,否,否,否,待核实（未拆候选项只作整体上界，不与深加工类别相加）,食醋、料酒、酱及复合调味料均为发酵或调味食品深加工,粮食等农产品仅为酿造原料；年报未单列种植、初加工农产品或农业投入品收入。,非调味品剩余收入混合米业、茶庄、饲料残渣等项目，正式分子留空；须取得业务明细后确认可纳入口径。 因上界仍低于30%，不影响三类样本结论。,13,50,https://static.cninfo.com.cn/finalpage/2016-04-19/1202195631.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十四批I组（未合并）,已人工复核（第十四批I组；主表未合并）,2026-08-11
600305,江苏恒顺醋业股份有限公司,2018,待核实,待核实,未确认；以非调味品剩余收入（含米业、茶庄、饲料残渣等未拆项目）作保守上界,,0.00,165682071.52,0—（营业收入-调味品收入）=165682071.52,0,0.097823537218650891602779630727311418738631871442486,未确认；以非调味品剩余收入（含米业、茶庄、饲料残渣等未拆项目）作保守上界,,0.00,165682071.52,0—（营业收入-调味品收入）=165682071.52,0,0.097823537218650891602779630727311418738631871442486,1693683097.45,合并利润表营业收入,165682071.52,0—（营业收入-调味品收入）=165682071.52,调味品（醋、料酒等）,1528001025.93,865836658.82,深加工收入取营业收入列；对应营业成本仅作反向证据，未进入涉农分子,否,否,否,待核实（未拆候选项只作整体上界，不与深加工类别相加）,食醋、料酒、酱及复合调味料均为发酵或调味食品深加工,粮食等农产品仅为酿造原料；年报未单列种植、初加工农产品或农业投入品收入。,非调味品剩余收入混合米业、茶庄、饲料残渣等项目，正式分子留空；须取得业务明细后确认可纳入口径。 因上界仍低于30%，不影响三类样本结论。,16,67,https://static.cninfo.com.cn/finalpage/2019-04-16/1206019033.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十四批I组（未合并）,已人工复核（第十四批I组；主表未合并）,2026-08-11
600305,江苏恒顺醋业股份有限公司,2019,待核实,待核实,未确认；以非调味品剩余收入（含米业、茶庄、饲料残渣等未拆项目）作保守上界,,0.00,112242089.57,0—（营业收入-调味品收入）=112242089.57,0,0.061261041894018183067901471014622915884599049492132,未确认；以非调味品剩余收入（含米业、茶庄、饲料残渣等未拆项目）作保守上界,,0.00,112242089.57,0—（营业收入-调味品收入）=112242089.57,0,0.061261041894018183067901471014622915884599049492132,1832193611.14,合并利润表营业收入,112242089.57,0—（营业收入-调味品收入）=112242089.57,调味品（醋、料酒等）,1719951521.57,919885978.70,深加工收入取营业收入列；对应营业成本仅作反向证据，未进入涉农分子,否,否,否,待核实（未拆候选项只作整体上界，不与深加工类别相加）,食醋、料酒、酱及复合调味料均为发酵或调味食品深加工,粮食等农产品仅为酿造原料；年报未单列种植、初加工农产品或农业投入品收入。,非调味品剩余收入混合米业、茶庄、饲料残渣等项目，正式分子留空；须取得业务明细后确认可纳入口径。 因上界仍低于30%，不影响三类样本结论。,15,66,https://static.cninfo.com.cn/finalpage/2020-04-21/1207537597.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十四批I组（未合并）,已人工复核（第十四批I组；主表未合并）,2026-08-11
600305,江苏恒顺醋业股份有限公司,2020,待核实,待核实,未确认；以非调味品剩余收入（含米业、茶庄、饲料残渣等未拆项目）作保守上界,,0.00,74974366.32,0—（营业收入-调味品收入）=74974366.32,0,0.037220870453926375907227339172848179308338827068255,未确认；以非调味品剩余收入（含米业、茶庄、饲料残渣等未拆项目）作保守上界,,0.00,74974366.32,0—（营业收入-调味品收入）=74974366.32,0,0.037220870453926375907227339172848179308338827068255,2014309859.11,合并利润表营业收入,74974366.32,0—（营业收入-调味品收入）=74974366.32,调味品（醋、料酒等）,1939335492.79,1150560486.89,深加工收入取营业收入列；对应营业成本仅作反向证据，未进入涉农分子,否,否,否,待核实（未拆候选项只作整体上界，不与深加工类别相加）,食醋、料酒、酱及复合调味料均为发酵或调味食品深加工,粮食等农产品仅为酿造原料；年报未单列种植、初加工农产品或农业投入品收入。,非调味品剩余收入混合米业、茶庄、饲料残渣等项目，正式分子留空；须取得业务明细后确认可纳入口径。 因上界仍低于30%，不影响三类样本结论。,16,66,https://static.cninfo.com.cn/finalpage/2021-03-30/1209473089.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十四批I组（未合并）,已人工复核（第十四批I组；主表未合并）,2026-08-11
600305,江苏恒顺醋业股份有限公司,2021,待核实,待核实,未确认；以非调味品剩余收入（含米业、茶庄、饲料残渣等未拆项目）作保守上界,,0.00,47201871.02,0—（营业收入-调味品收入）=47201871.02,0,0.024930374798846072275953636470351010718559443346881,未确认；以非调味品剩余收入（含米业、茶庄、饲料残渣等未拆项目）作保守上界,,0.00,47201871.02,0—（营业收入-调味品收入）=47201871.02,0,0.024930374798846072275953636470351010718559443346881,1893347829.74,合并利润表营业收入,47201871.02,0—（营业收入-调味品收入）=47201871.02,调味品（醋、料酒及复合调味料等）,1846145958.72,1163758845.24,深加工收入取营业收入列；对应营业成本仅作反向证据，未进入涉农分子,否,否,否,待核实（未拆候选项只作整体上界，不与深加工类别相加）,食醋、料酒、酱及复合调味料均为发酵或调味食品深加工,粮食等农产品仅为酿造原料；年报未单列种植、初加工农产品或农业投入品收入。,非调味品剩余收入混合米业、茶庄、饲料残渣等项目，正式分子留空；须取得业务明细后确认可纳入口径。 因上界仍低于30%，不影响三类样本结论。,16,81,https://static.cninfo.com.cn/finalpage/2022-04-26/1213121119.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十四批I组（未合并）,已人工复核（第十四批I组；主表未合并）,2026-08-11
600305,江苏恒顺醋业股份有限公司,2022,待核实,待核实,未确认；以非调味品剩余收入（含米业、茶庄、饲料残渣等未拆项目）作保守上界,,0.00,107404480.47,0—（营业收入-调味品收入）=107404480.47,0,0.050212003067505277214238126885614460636661402438379,未确认；以非调味品剩余收入（含米业、茶庄、饲料残渣等未拆项目）作保守上界,,0.00,107404480.47,0—（营业收入-调味品收入）=107404480.47,0,0.050212003067505277214238126885614460636661402438379,2139020033.23,合并利润表营业收入,107404480.47,0—（营业收入-调味品收入）=107404480.47,调味品（醋、酒、酱系列）,2031615552.76,1340053782.89,深加工收入取营业收入列；对应营业成本仅作反向证据，未进入涉农分子,否,否,否,待核实（未拆候选项只作整体上界，不与深加工类别相加）,食醋、料酒、酱及复合调味料均为发酵或调味食品深加工,粮食等农产品仅为酿造原料；年报未单列种植、初加工农产品或农业投入品收入。,非调味品剩余收入混合米业、茶庄、饲料残渣等项目，正式分子留空；须取得业务明细后确认可纳入口径。 因上界仍低于30%，不影响三类样本结论。,17,73,https://static.cninfo.com.cn/finalpage/2023-02-28/1215989970.PDF,沿用v23原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十四批I组（未合并）,已人工复核（第十四批I组；主表未合并）,2026-08-11
