股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业收入公式,主营/混合/初加工披露收入_元,对应成本_元_反向证据,审计其他业务收入_元_上界,审计其他业务成本_元_反向证据,深加工或排除类别,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,2022行业字段处理,记录类型,复核状态
300908,仲景食品股份有限公司,2022,待核实,待核实,未披露可确认的直接农业收入；审计其他业务只作上界,,0.00,2553232.00,下界=0.00；上界=2553232.00,0,0.00289595402895333616121953354899220521168661073774842257952054,未披露可确认的农业初加工收入；审计其他业务只作上界,,0.00,2553232.00,下界=0.00；上界=2553232.00,0,0.00289595402895333616121953354899220521168661073774842257952054,881654879.35,合并利润表营业收入,879101647.35,556255109.17,2553232.00,214243.89,调味食品、调味配料等食品深加工,排除类主营成本556255109.17及其他业务成本214243.89仅作反向证据,否,否,否,主营业务明确排除；其他业务为互斥审计层级，不叠加行业、产品、地区或销售模式,香菇酱、辣椒酱及调味配料均为食品深加工，不能因原料涉农纳入；审计其他业务只作上界。,审计其他业务性质未拆，但上界远低于30%。2022行业分类字段保持待核实，不插值。,23|24,88,https://static.cninfo.com.cn/finalpage/2023-04-08/1216357908.PDF,沿用v31原值；待核实不插值、不复制相邻年份,跨年快速复核第二十批Y组（未合并）,年报收入/成本、上下界、30%/50%阈值与页码链接已复核
600285,河南羚锐制药股份有限公司,2020,,,未披露可确认的直接农业收入；审计其他业务只作上界,,0.00,3439381.90,下界=0.00；上界=3439381.90,0,0.00147513088381393858292484029553500909926100792952259603687792,未披露可确认的农业初加工收入；审计其他业务只作上界,,0.00,3439381.90,下界=0.00；上界=3439381.90,0,0.00147513088381393858292484029553500909926100792952259603687792,2331577446.95,合并利润表营业收入,2328138065.05,537146634.29,3439381.90,1256149.55,贴膏剂、片剂、胶囊剂、软膏剂等药品制造,排除类主营成本537146634.29及其他业务成本1256149.55仅作反向证据,否,否,否,主营业务明确排除；其他业务为互斥审计层级，不叠加行业、产品、地区或销售模式,主营为药品研发制造销售，采购中药材不形成农业生产收入；审计其他业务只作上界。,审计其他业务性质未拆，但上界远低于30%。,15|16,73,https://static.cninfo.com.cn/finalpage/2021-04-28/1209841465.PDF,沿用v31原值；待核实不插值、不复制相邻年份,跨年快速复核第二十批Y组（未合并）,年报收入/成本、上下界、30%/50%阈值与页码链接已复核
600285,河南羚锐制药股份有限公司,2021,,,未披露可确认的直接农业收入；审计其他业务只作上界,,0.00,3483099.28,下界=0.00；上界=3483099.28,0,0.00129314466718823526466040178614508347874382954001610229723054,未披露可确认的农业初加工收入；审计其他业务只作上界,,0.00,3483099.28,下界=0.00；上界=3483099.28,0,0.00129314466718823526466040178614508347874382954001610229723054,2693510918.29,合并利润表营业收入,2690027819.01,692240882.62,3483099.28,752460.04,贴膏剂、片剂、胶囊剂、软膏剂等药品制造,排除类主营成本692240882.62及其他业务成本752460.04仅作反向证据,否,否,否,主营业务明确排除；其他业务为互斥审计层级，不叠加行业、产品、地区或销售模式,主营为药品研发制造销售，采购中药材不形成农业生产收入；审计其他业务只作上界。,审计其他业务性质未拆，但上界远低于30%。,20|21,77,https://static.cninfo.com.cn/finalpage/2022-04-26/1213104121.PDF,沿用v31原值；待核实不插值、不复制相邻年份,跨年快速复核第二十批Y组（未合并）,年报收入/成本、上下界、30%/50%阈值与页码链接已复核
600285,河南羚锐制药股份有限公司,2022,待核实,待核实,未披露可确认的直接农业收入；审计其他业务只作上界,,0.00,3443632.09,下界=0.00；上界=3443632.09,0,0.00114716527426296565705239238310391279260163879588779579338739,未披露可确认的农业初加工收入；审计其他业务只作上界,,0.00,3443632.09,下界=0.00；上界=3443632.09,0,0.00114716527426296565705239238310391279260163879588779579338739,3001862213.98,合并利润表营业收入,2998418581.89,831562320.69,3443632.09,551493.28,贴膏剂、片剂、胶囊剂、软膏剂等药品制造,排除类主营成本831562320.69及其他业务成本551493.28仅作反向证据,否,否,否,主营业务明确排除；其他业务为互斥审计层级，不叠加行业、产品、地区或销售模式,主营为药品研发制造销售，采购中药材不形成农业生产收入；审计其他业务只作上界。,审计其他业务性质未拆，但上界远低于30%。2022行业分类字段保持待核实，不插值。,18|19,81,https://static.cninfo.com.cn/finalpage/2023-04-26/1216584813.PDF,沿用v31原值；待核实不插值、不复制相邻年份,跨年快速复核第二十批Y组（未合并）,年报收入/成本、上下界、30%/50%阈值与页码链接已复核
600882,上海妙可蓝多食品科技股份有限公司,2020,,,未披露可确认的直接农业收入；审计其他业务只作上界,,0.00,1663092.69,下界=0.00；上界=1663092.69,0,0.000584195763888824585856640047877319890430902956837836181952608,未披露可确认的农业初加工收入；审计其他业务只作上界,,0.00,1663092.69,下界=0.00；上界=1663092.69,0,0.000584195763888824585856640047877319890430902956837836181952608,2846807171.16,合并利润表营业收入,2845144078.47,1822773679.70,1663092.69,1726791.38,奶酪、液态奶加工及乳制品贸易,排除类主营成本1822773679.70及其他业务成本1726791.38仅作反向证据,否,否,否,主营业务明确排除；其他业务为互斥审计层级，不叠加行业、产品、地区或销售模式,奶酪为深加工，乳制品贸易不属于农业生产或初加工；液态奶未拆基础乳与调制/发酵品，亦无自产原奶外销收入。,审计其他业务性质未拆，但上界远低于30%。,21,95,https://static.cninfo.com.cn/finalpage/2021-04-29/1209858472.PDF,沿用v31原值；待核实不插值、不复制相邻年份,跨年快速复核第二十批Y组（未合并）,年报收入/成本、上下界、30%/50%阈值与页码链接已复核
600882,上海妙可蓝多食品科技股份有限公司,2021,,,未披露可确认的直接农业收入；审计其他业务只作上界,,0.00,9432655.06,下界=0.00；上界=9432655.06,0,0.00210630001237350873822213467550985788437096734761731291567491,未披露可确认的农业初加工收入；审计其他业务只作上界,,0.00,9432655.06,下界=0.00；上界=9432655.06,0,0.00210630001237350873822213467550985788437096734761731291567491,4478305561.69,合并利润表营业收入,4468872906.63,2764594677.97,9432655.06,2678269.41,奶酪、液态奶加工及乳制品贸易,排除类主营成本2764594677.97及其他业务成本2678269.41仅作反向证据,否,否,否,主营业务明确排除；其他业务为互斥审计层级，不叠加行业、产品、地区或销售模式,奶酪为深加工，乳制品贸易不属于农业生产或初加工；液态奶未拆基础乳与调制/发酵品，亦无自产原奶外销收入。,审计其他业务性质未拆，但上界远低于30%。,25|26,102,https://static.cninfo.com.cn/finalpage/2022-03-25/1212670265.PDF,沿用v31原值；待核实不插值、不复制相邻年份,跨年快速复核第二十批Y组（未合并）,年报收入/成本、上下界、30%/50%阈值与页码链接已复核
600882,上海妙可蓝多食品科技股份有限公司,2022,待核实,待核实,未披露可确认的直接农业收入；审计其他业务只作上界,,0.00,11939006.89,下界=0.00；上界=11939006.89,0,0.00247208056111811055355909011230453246360565906580305835404985,未披露可确认的农业初加工收入；审计其他业务只作上界,,0.00,11939006.89,下界=0.00；上界=11939006.89,0,0.00247208056111811055355909011230453246360565906580305835404985,4829537951.87,合并利润表营业收入,4817598944.98,3175155788.45,11939006.89,5008494.71,奶酪、液态奶加工及乳制品贸易,排除类主营成本3175155788.45及其他业务成本5008494.71仅作反向证据,否,否,否,主营业务明确排除；其他业务为互斥审计层级，不叠加行业、产品、地区或销售模式,奶酪为深加工，乳制品贸易不属于农业生产或初加工；液态奶未拆基础乳与调制/发酵品，亦无自产原奶外销收入。,审计其他业务性质未拆，但上界远低于30%。2022行业分类字段保持待核实，不插值。,25|26,93,https://static.cninfo.com.cn/finalpage/2023-03-23/1216190739.PDF,沿用v31原值；待核实不插值、不复制相邻年份,跨年快速复核第二十批Y组（未合并）,年报收入/成本、上下界、30%/50%阈值与页码链接已复核
603336,宏辉果蔬股份有限公司,2020,,,公司+基地+农户模式下未单列公司自营种植收入；其他业务只作严格上界,,0.00,1304631.40,下界=0.00；上界=1304631.40,0,0.00135330096236451588053515169178782133286784695837635513861080,水果蔬菜采后收购、预冷、分级、加工包装等初加工服务收入；其他业务只作上界,962731777.56,962731777.56,964036408.96,下界=962731777.56；上界=964036408.96,0.998646699037635484119464848308212178667132153041623644861389,1,964036408.96,合并利润表营业收入,962731777.56,842938735.80,1304631.40,862074.83,2021粮油/食品；2022食用油、食品、冻肉及供应链管理,果蔬产品成本842938735.80仅作反向核对，不以毛利率估算收入,否,是,否,水果、蔬菜为互斥产品项目；不叠加果蔬服务行业、地区或销售模式，其他业务仅作上界,果蔬主要向基地/农户采购，未证明公司直接种植外销；采后预冷、预选分级和包装属于扩展口径初加工，深加工和冻肉贸易排除。,其他业务未拆；严格口径无单列自营种植收入。,18,77,https://static.cninfo.com.cn/finalpage/2021-03-27/1209463305.PDF,沿用v31原值；待核实不插值、不复制相邻年份,跨年快速复核第二十批Y组（未合并）,年报收入/成本、上下界、30%/50%阈值与页码链接已复核
603336,宏辉果蔬股份有限公司,2021,,,公司+基地+农户模式下未单列公司自营种植收入；其他业务只作严格上界,,0.00,24513488.48,下界=0.00；上界=24513488.48,0,0.0251611168972382151715824843593987939137190226978416153160888,水果蔬菜采后收购、预冷、分级、加工包装等初加工服务收入；其他业务只作上界,943037467.03,943037467.03,967550955.51,下界=943037467.03；上界=967550955.51,0.967951826431243997220230112552386537602687527895239574478059,0.993112943328482212391812596911785331516406550593081189794148,974260744.47,合并利润表营业收入,943037467.03,842341130.45,24513488.48,21680101.29,2021粮油/食品；2022食用油、食品、冻肉及供应链管理,果蔬产品成本842341130.45仅作反向核对，不以毛利率估算收入,否,是,否,水果、蔬菜为互斥产品项目；不叠加果蔬服务行业、地区或销售模式，其他业务仅作上界,果蔬主要向基地/农户采购，未证明公司直接种植外销；采后预冷、预选分级和包装属于扩展口径初加工，深加工和冻肉贸易排除。,其他业务未拆；严格口径无单列自营种植收入。,17|18,76,https://static.cninfo.com.cn/finalpage/2022-04-16/1212940255.PDF,沿用v31原值；待核实不插值、不复制相邻年份,跨年快速复核第二十批Y组（未合并）,年报收入/成本、上下界、30%/50%阈值与页码链接已复核
603336,宏辉果蔬股份有限公司,2022,待核实,待核实,公司+基地+农户模式下未单列公司自营种植收入；其他业务只作严格上界,,0.00,7994573.56,下界=0.00；上界=7994573.56,0,0.00705725894317817997478937676572844548625729533881859675141811,水果蔬菜采后收购、预冷、分级、加工包装等初加工服务收入；其他业务只作上界,975174851.37,975174851.37,983169424.93,下界=975174851.37；上界=983169424.93,0.860841593281103655557875789259004346048209400628820892162274,0.867898852224281835532665166024732791534466695967639488913692,1132815675.94,合并利润表营业收入,975174851.37,885435622.96,7994573.56,6502844.83,2021粮油/食品；2022食用油、食品、冻肉及供应链管理,果蔬产品成本885435622.96仅作反向核对，不以毛利率估算收入,否,是,否,水果、蔬菜为互斥产品项目；不叠加果蔬服务行业、地区或销售模式，其他业务仅作上界,果蔬主要向基地/农户采购，未证明公司直接种植外销；采后预冷、预选分级和包装属于扩展口径初加工，深加工和冻肉贸易排除。,其他业务未拆；严格口径无单列自营种植收入。2022行业分类字段保持待核实，不插值。,17|18,77,https://static.cninfo.com.cn/finalpage/2023-03-28/1216235580.PDF,沿用v31原值；待核实不插值、不复制相邻年份,跨年快速复核第二十批Y组（未合并）,年报收入/成本、上下界、30%/50%阈值与页码链接已复核
