股票代码,公司全称,年份,行业分类代码,行业分类名称,严格口径涉农业务,严格口径正式涉农收入_元,严格口径收入下界_元,严格口径收入上界_元,严格口径上下界公式,严格口径下界占比_原始未四舍五入,严格口径上界占比_原始未四舍五入,扩展口径涉农业务,扩展口径正式涉农收入_元,扩展口径收入下界_元,扩展口径收入上界_元,扩展口径上下界公式,扩展口径下界占比_原始未四舍五入,扩展口径上界占比_原始未四舍五入,公司营业收入_元,公司营业收入公式,直接农业收入_元,确认初加工收入_元,农业投入品收入_元,产畜肥猪收入_元,直接农业成本_元_反向证据,农业投入品成本_元_反向证据,贸易收入_元_排除证据,白酒收入_元_排除证据,屠宰或猪肉收入_元_排除证据,房地产收入_元_排除证据,未拆其他营业收入上界增量_元,深加工或混合类别,深加工或混合类别收入_元_反向证据,深加工或混合类别成本_元_反向证据,收入成本判别,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,纳入或剔除理由,待核实点,研究口径与税法差异说明,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,2022行业字段处理,记录类型,复核状态,复核日期
600127,金健米业股份有限公司,2019,待核实,待核实,未披露合并外销种植或养殖产品收入,0.00,0.00,0.00,下界=上界=0（未披露外销直接农业产品）,0,0,粮油食品混合大类（含大米/食用油等初加工候选，也含面制品等深加工）,,0.00,2094441662.37,下界=0；上界=粮油食品混合产品2094441662.37,0,0.509835366259959042541560890370753369567039323626504976695504,4108074490.27,合并利润表营业收入,0.00,0.00,0.00,0.00,0.00,0.00,1390917073.60,0.00,0.00,0.00,0.00,粮油食品混合大类（仅作扩展上界，不作正式分子）,2094441662.37,1893871011.91,粮油食品营业成本1893871011.91，仅核对对应收入，未按成本结构倒推收入,否,待核实,待核实,行业与产品是同一收入的不同维度；仅采用产品维度粮油食品作上界，不跨维度相加,农产品贸易、进出口贸易不纳入；乳品和休闲食品按深加工排除。粮油食品未拆大米/油脂与面制品，不能按成本比例估算。,取得大米、食用油、面制品各自营业收入后，方可形成扩展正式分子。,,11,65,https://static.cninfo.com.cn/finalpage/2020-05-13/1207783879.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批L组（未合并）,已人工复核（第十五批L组；主表未合并）,2026-08-11
600127,金健米业股份有限公司,2020,待核实,待核实,未披露合并外销种植或养殖产品收入,0.00,0.00,0.00,下界=上界=0（未披露外销直接农业产品）,0,0,粮油食品混合大类（含大米/食用油等初加工候选，也含面制品等深加工）,,0.00,2620056573.20,下界=0；上界=粮油食品混合产品2620056573.20,0,0.458372676657714580716492501994173462825366800304256016262167,5715996407.78,合并利润表营业收入,0.00,0.00,0.00,0.00,0.00,0.00,2197583835.28,0.00,0.00,0.00,0.00,粮油食品混合大类（仅作扩展上界，不作正式分子）,2620056573.20,2418914319.21,粮油食品营业成本2418914319.21，仅核对对应收入，未按成本结构倒推收入,否,否,待核实,行业与产品是同一收入的不同维度；仅采用产品维度粮油食品作上界，不跨维度相加,农产品贸易、进出口贸易不纳入；乳品和休闲食品按深加工排除。粮油食品未拆大米/油脂与面制品，不能按成本比例估算。,取得大米、食用油、面制品各自营业收入后，方可形成扩展正式分子。,,13|14,61,https://static.cninfo.com.cn/finalpage/2021-04-02/1209625390.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批L组（未合并）,已人工复核（第十五批L组；主表未合并）,2026-08-11
600127,金健米业股份有限公司,2021,待核实,待核实,未披露合并外销种植或养殖产品收入,0.00,0.00,0.00,下界=上界=0（未披露外销直接农业产品）,0,0,粮油食品混合大类（含大米/食用油等初加工候选，也含面制品等深加工）,,0.00,3357591083.33,下界=0；上界=粮油食品混合产品3357591083.33,0,0.500648621291954902951060920823991904275624805775493786792730,6706482232.32,合并利润表营业收入,0.00,0.00,0.00,0.00,0.00,0.00,2006673469.38,0.00,0.00,0.00,0.00,粮油食品混合大类（仅作扩展上界，不作正式分子）,3357591083.33,3180341026.41,粮油食品营业成本3180341026.41，仅核对对应收入，未按成本结构倒推收入,否,待核实,待核实,行业与产品是同一收入的不同维度；仅采用产品维度粮油食品作上界，不跨维度相加,农产品贸易、进出口贸易不纳入；乳品和休闲食品按深加工排除。粮油食品未拆大米/油脂与面制品，不能按成本比例估算。,取得大米、食用油、面制品各自营业收入后，方可形成扩展正式分子。,,16|23,74,https://static.cninfo.com.cn/finalpage/2022-03-31/1212748210.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批L组（未合并）,已人工复核（第十五批L组；主表未合并）,2026-08-11
600127,金健米业股份有限公司,2022,待核实,待核实,未披露合并外销种植或养殖产品收入,0.00,0.00,0.00,下界=上界=0（未披露外销直接农业产品）,0,0,粮油食品混合大类（含大米/食用油等初加工候选，也含面制品等深加工）,,0.00,3178213951.61,下界=0；上界=粮油食品混合产品3178213951.61,0,0.495661020172201550568234308148717047638539279561875254422932,6412071601.89,合并利润表营业收入,0.00,0.00,0.00,0.00,0.00,0.00,2948458693.50,0.00,0.00,0.00,0.00,粮油食品混合大类（仅作扩展上界，不作正式分子）,3178213951.61,3035907220.34,粮油食品营业成本3035907220.34，仅核对对应收入，未按成本结构倒推收入,否,否,待核实,行业与产品是同一收入的不同维度；仅采用产品维度粮油食品作上界，不跨维度相加,农产品贸易、进出口贸易不纳入；乳品和休闲食品按深加工排除。粮油食品未拆大米/油脂与面制品，不能按成本比例估算。,取得大米、食用油、面制品各自营业收入后，方可形成扩展正式分子。,,16|17,79,https://static.cninfo.com.cn/finalpage/2023-03-31/1216277949.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批L组（未合并）,已人工复核（第十五批L组；主表未合并）,2026-08-11
600962,国投中鲁果汁股份有限公司,2014,待核实,待核实,未单列直接农业收入；以未拆其他营业收入作保守上界,,0.00,7065887.45,下界=产畜肥猪0.00；上界=产品残差（已含肥猪）7065887.45,0,0.00805132787635899968139667979380076293516648641434897257948047,饲料（农业投入品）及明确的产畜肥猪；未拆其他营业收入作上界,,0.00,7065887.45,下界=产畜肥猪0.00+饲料0.00；上界=产品残差（已含肥猪）7065887.45+饲料0.00=7065887.45,0,0.00805132787635899968139667979380076293516648641434897257948047,877605229.66,合并利润表营业收入,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7065887.45,浓缩果汁、香料及果糖（饮料制造深加工）,870539342.21,731459402.10,果汁成本731459402.10；饲料成本0.00；产畜肥猪成本0.00；成本均未误作收入,否,否,否,采用产品维度果汁/饲料；不再叠加行业维度饮料制造业/饲料制造业,浓缩苹果汁等按本研究筛选规则属于饮料制造深加工，不按果品初加工纳入；饲料为农业投入品，明确外销产畜肥猪为直接农业。,未拆其他营业收入仅作保守上界，正式分子留空；其上界不影响样本结论。,浓缩果汁曾被相关税法口径列入农产品初加工范围，不改变本研究按业务实质将其作为饮料制造深加工排除的筛选规则。,11|12,44,https://static.cninfo.com.cn/finalpage/2015-04-28/1200924088.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批L组（未合并）,已人工复核（第十五批L组；主表未合并）,2026-08-11
600962,国投中鲁果汁股份有限公司,2015,待核实,待核实,未单列直接农业收入；以未拆其他营业收入作保守上界,,0.00,13258414.45,下界=产畜肥猪0.00；上界=产品残差（已含肥猪）13258414.45,0,0.0120760680857914080315526864649165167529489976510611847710468,饲料（农业投入品）及明确的产畜肥猪；未拆其他营业收入作上界,,0.00,13258414.45,下界=产畜肥猪0.00+饲料0.00；上界=产品残差（已含肥猪）13258414.45+饲料0.00=13258414.45,0,0.0120760680857914080315526864649165167529489976510611847710468,1097908222.76,合并利润表营业收入,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13258414.45,浓缩果汁、香料及果糖（饮料制造深加工）,1084649808.31,862029547.16,果汁成本862029547.16；饲料成本0.00；产畜肥猪成本0.00；成本均未误作收入,否,否,否,采用产品维度果汁/饲料；不再叠加行业维度饮料制造业/饲料制造业,浓缩苹果汁等按本研究筛选规则属于饮料制造深加工，不按果品初加工纳入；饲料为农业投入品，明确外销产畜肥猪为直接农业。,未拆其他营业收入仅作保守上界，正式分子留空；其上界不影响样本结论。,浓缩果汁曾被相关税法口径列入农产品初加工范围，不改变本研究按业务实质将其作为饮料制造深加工排除的筛选规则。,10,41,https://static.cninfo.com.cn/finalpage/2016-03-29/1202094810.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批L组（未合并）,已人工复核（第十五批L组；主表未合并）,2026-08-11
600962,国投中鲁果汁股份有限公司,2018,待核实,待核实,未单列直接农业收入；以未拆其他营业收入作保守上界,,0.00,5380711.14,下界=产畜肥猪0.00；上界=产品残差（已含肥猪）5380711.14,0,0.00558634082602003317056624365008654926854296906023887728827187,饲料（农业投入品）及明确的产畜肥猪；未拆其他营业收入作上界,,14178441.29,19559152.43,下界=产畜肥猪0.00+饲料14178441.29；上界=产品残差（已含肥猪）5380711.14+饲料14178441.29=19559152.43,0.0147202857330221121427317582501905951083501075404102430607857,0.0203066265590421453132980019002771443768930766006491203490576,963190630.07,合并利润表营业收入,0.00,0.00,14178441.29,0.00,0.00,12065977.15,0.00,0.00,0.00,0.00,5380711.14,浓缩果汁、香料及果糖（饮料制造深加工）,943631477.64,695495533.10,果汁成本695495533.10；饲料成本12065977.15；产畜肥猪成本0.00；成本均未误作收入,否,否,否,采用产品维度果汁/饲料；不再叠加行业维度饮料制造业/饲料制造业,浓缩苹果汁等按本研究筛选规则属于饮料制造深加工，不按果品初加工纳入；饲料为农业投入品，明确外销产畜肥猪为直接农业。,未拆其他营业收入仅作保守上界，正式分子留空；其上界不影响样本结论。,浓缩果汁曾被相关税法口径列入农产品初加工范围，不改变本研究按业务实质将其作为饮料制造深加工排除的筛选规则。,11|12,56,https://static.cninfo.com.cn/finalpage/2019-03-30/1205968389.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批L组（未合并）,已人工复核（第十五批L组；主表未合并）,2026-08-11
600962,国投中鲁果汁股份有限公司,2019,待核实,待核实,未单列直接农业收入；以未拆其他营业收入作保守上界,,0.00,4022736.54,下界=产畜肥猪0.00；上界=产品残差（已含肥猪）4022736.54,0,0.00302438304182547423446670272623598671711607332729415224222215,饲料（农业投入品）及明确的产畜肥猪；未拆其他营业收入作上界,,14983665.94,19006402.48,下界=产畜肥猪0.00+饲料14983665.94；上界=产品残差（已含肥猪）4022736.54+饲料14983665.94=19006402.48,0.0112650542044480878957403230048983766099543081040847535376897,0.0142894372462735621302070257311343633270703814313789057799119,1330101539.51,合并利润表营业收入,0.00,0.00,14983665.94,0.00,0.00,10950575.58,0.00,0.00,0.00,0.00,4022736.54,浓缩果汁、香料及果糖（饮料制造深加工）,1311095137.03,1049619226.07,果汁成本1049619226.07；饲料成本10950575.58；产畜肥猪成本0.00；成本均未误作收入,否,否,否,采用产品维度果汁/饲料；不再叠加行业维度饮料制造业/饲料制造业,浓缩苹果汁等按本研究筛选规则属于饮料制造深加工，不按果品初加工纳入；饲料为农业投入品，明确外销产畜肥猪为直接农业。,未拆其他营业收入仅作保守上界，正式分子留空；其上界不影响样本结论。,浓缩果汁曾被相关税法口径列入农产品初加工范围，不改变本研究按业务实质将其作为饮料制造深加工排除的筛选规则。,11|12,61,https://static.cninfo.com.cn/finalpage/2020-04-01/1207440513.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批L组（未合并）,已人工复核（第十五批L组；主表未合并）,2026-08-11
600962,国投中鲁果汁股份有限公司,2020,待核实,待核实,未单列直接农业收入；以未拆其他营业收入作保守上界,,0.00,15692150.56,下界=产畜肥猪0.00；上界=产品残差（已含肥猪）15692150.56,0,0.0136746931663720253612587096330482275298087560011589336270537,饲料（农业投入品）及明确的产畜肥猪；未拆其他营业收入作上界,,8911255.39,24603405.95,下界=产畜肥猪0.00+饲料8911255.39；上界=产品残差（已含肥猪）15692150.56+饲料8911255.39=24603405.95,0.00776558208000196996234615361745203263617900582930185660484347,0.0214402752463739953236048632505002601659877618304607902318971,1147532187.31,合并利润表营业收入,0.00,0.00,8911255.39,0.00,0.00,7818121.20,0.00,0.00,0.00,0.00,15692150.56,浓缩果汁、香料及果糖（饮料制造深加工）,1122928781.36,930919511.79,果汁成本930919511.79；饲料成本7818121.20；产畜肥猪成本0.00；成本均未误作收入,否,否,否,采用产品维度果汁/饲料；不再叠加行业维度饮料制造业/饲料制造业,浓缩苹果汁等按本研究筛选规则属于饮料制造深加工，不按果品初加工纳入；饲料为农业投入品，明确外销产畜肥猪为直接农业。,未拆其他营业收入仅作保守上界，正式分子留空；其上界不影响样本结论。,浓缩果汁曾被相关税法口径列入农产品初加工范围，不改变本研究按业务实质将其作为饮料制造深加工排除的筛选规则。,12|13,57,https://static.cninfo.com.cn/finalpage/2021-04-01/1209567423.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批L组（未合并）,已人工复核（第十五批L组；主表未合并）,2026-08-11
600962,国投中鲁果汁股份有限公司,2021,待核实,待核实,2021—2022年行业说明明确的产畜肥猪收入,,611555.45,8788680.45,下界=产畜肥猪611555.45；上界=产品残差（已含肥猪）8788680.45,0.000421802767448945292655290038351877067424639510174030969198581,0.00606173935010217285559155126349195678540394188517833023430683,饲料（农业投入品）及明确的产畜肥猪；未拆其他营业收入作上界,,3506043.29,11683168.29,下界=产畜肥猪611555.45+饲料2894487.84；上界=产品残差（已含肥猪）8788680.45+饲料2894487.84=11683168.29,0.00241819243458267776191213065302163728759025029588821097385508,0.00805812901723590532484839187816171700556955267089251023896332,1449861160.70,合并利润表营业收入,611555.45,0.00,2894487.84,611555.45,1171537.05,2568090.92,0.00,0.00,0.00,0.00,8177125.00,浓缩果汁、香料及果糖（饮料制造深加工）,1438177992.41,1212063239.99,果汁成本1212063239.99；饲料成本2568090.92；产畜肥猪成本1171537.05；成本均未误作收入,否,否,否,行业说明的产畜肥猪与产品说明的欧洲饲料文字上相互独立；果汁/饲料产品维度不与饮料/饲料行业维度机械相加,浓缩苹果汁等按本研究筛选规则属于饮料制造深加工，不按果品初加工纳入；饲料为农业投入品，明确外销产畜肥猪为直接农业。,未拆其他营业收入仅作保守上界，正式分子留空；其上界不影响样本结论。,浓缩果汁曾被相关税法口径列入农产品初加工范围，不改变本研究按业务实质将其作为饮料制造深加工排除的筛选规则。,12|13,63,https://static.cninfo.com.cn/finalpage/2022-03-31/1212741281.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批L组（未合并）,已人工复核（第十五批L组；主表未合并）,2026-08-11
600962,国投中鲁果汁股份有限公司,2022,待核实,待核实,2021—2022年行业说明明确的产畜肥猪收入,,146637.80,8101626.21,下界=产畜肥猪146637.80；上界=产品残差（已含肥猪）8101626.21,0.0000849320390555351908846003807803870765062169396334125725168570,0.00469243014885021152832374415264252595830026354787130664293991,饲料（农业投入品）及明确的产畜肥猪；未拆其他营业收入作上界,,8744540.90,16699529.31,下界=产畜肥猪146637.80+饲料8597903.10；上界=产品残差（已含肥猪）8101626.21+饲料8597903.10=16699529.31,0.00506480381757994765387707132737717497357463855088665573916052,0.00967230192737462399131621509923931385536868515912454980958358,1726531019.75,合并利润表营业收入,146637.80,0.00,8597903.10,146637.80,469840.66,7665331.01,0.00,0.00,0.00,0.00,7954988.41,浓缩果汁、香料及果糖（饮料制造深加工）,1709831490.44,1331247553.96,果汁成本1331247553.96；饲料成本7665331.01；产畜肥猪成本469840.66；成本均未误作收入,否,否,否,行业说明的产畜肥猪与产品说明的欧洲饲料文字上相互独立；果汁/饲料产品维度不与饮料/饲料行业维度机械相加,浓缩苹果汁等按本研究筛选规则属于饮料制造深加工，不按果品初加工纳入；饲料为农业投入品，明确外销产畜肥猪为直接农业。,未拆其他营业收入仅作保守上界，正式分子留空；其上界不影响样本结论。,浓缩果汁曾被相关税法口径列入农产品初加工范围，不改变本研究按业务实质将其作为饮料制造深加工排除的筛选规则。,13|14,68,https://static.cninfo.com.cn/finalpage/2023-03-31/1216282151.PDF,沿用v24原值；待核实字段不插值、不复制相邻年份,跨年快速复核第十五批L组（未合并）,已人工复核（第十五批L组；主表未合并）,2026-08-11
